"parid"	"scheduleID"	"react1"	"react2"	"accuracy"	"note"	"number"	"correctans"	"audio"	"video"	"context"	"group"	"type"	"beep_response"	"length1"	"length2"	"SUBJECT"	"ITEM"	"RT"	"GROUP"	"AUDIO"	"VISUAL"	"PREDICT"	"ACC"	"CONDITION"	"RTcut"	"LogRT"
"210719_a25"	14557507	649.936546314772	314.570761116362	1	""	"103L"	"raft"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.88043848360488	2.23050193729011	2.56586772248852	"210719_a25"	"103L"	314.570761116362	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	5.7512090464333
"210719_a25"	14557507	649.397376909235	282.856972868845	1	""	"104L"	"rent"	"aM"	"vM"	"L"	"a"	"aMvM"	2.8652414388202	2.21584406191096	2.58238446595135	"210719_a25"	"104L"	282.856972868845	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	"(-50,1e+03]"	5.64494137366436
"210719_a25"	14557507	704.099835063044	569.997138984694	1	""	"105L"	"rim"	"aNM"	"vM"	"L"	"a"	"aNMvM"	3.16273187667557	2.45863204161253	2.59273473769088	"210719_a25"	"105L"	569.997138984694	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	"(-50,1e+03]"	6.3456313414909
"210719_a25"	14557507	632.539918530287	401.610896163817	1	""	"107H"	"rope"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.64967295613284	2.01713303760255	2.24806205996902	"210719_a25"	"107H"	401.610896163817	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	"(-50,1e+03]"	5.99548369989147
"210719_a25"	14557507	505.119702644845	459.219239681845	1	""	"108L"	"row"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.86972984653699	2.36461014389215	2.41051060685515	"210719_a25"	"108L"	459.219239681845	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	6.12952774238951
"210719_a25"	14557507	513.965024490247	267.587620644187	1	""	"109L"	"sand"	"aM"	"vM"	"L"	"a"	"aMvM"	2.64140496700209	2.12743994251184	2.3738173463579	"210719_a25"	"109L"	267.587620644187	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	"(-50,1e+03]"	5.58944706651207
"210719_a25"	14557507	497.071343584239	326.236126575119	1	""	"10H"	"bowl"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.79791957819848	2.30084823461424	2.47168345162336	"210719_a25"	"10H"	326.236126575119	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	5.78762143382505
"210719_a25"	14557507	475.716270054721	313.27414042506	1	""	"110L"	"scab"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.50137118406009	2.02565491400537	2.18809704363503	"210719_a25"	"110L"	313.27414042506	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	"(-50,1e+03]"	5.74707865521249
"210719_a25"	14557507	503.496754742931	237.04205777319	1	""	"111H"	"seeds"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.44576365964356	1.94226690490063	2.20872160187037	"210719_a25"	"111H"	237.04205777319	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	"(-50,1e+03]"	5.46823758434976
"210719_a25"	14557507	443.311424083132	279.930013826712	1	""	"112H"	"shed"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.42587114745228	1.98255972336915	2.14594113362557	"210719_a25"	"112H"	279.930013826712	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	"(-50,1e+03]"	5.6345396213075
"210719_a25"	14557507	469.749665745597	290.414709035687	1	""	"113H"	"sheep"	"aM"	"vM"	"H"	"a"	"aMvM"	2.72799432959839	2.25824466385279	2.4375796205627	"210719_a25"	"113H"	290.414709035687	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	5.67130993261726
"210719_a25"	14557507	759.351345168845	456.985159271295	1	""	"114L"	"silk"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.60764188636777	1.84829054119893	2.15065672709648	"210719_a25"	"114L"	456.985159271295	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	"(-50,1e+03]"	6.12465091612466
"210719_a25"	14557507	466.869534569859	208.943492903179	1	""	"115H"	"skirt"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.6378086059164	2.17093907134654	2.42886511301322	"210719_a25"	"115H"	208.943492903179	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	5.34206384652424
"210719_a25"	14557507	609.706667357252	359.571406940502	1	""	"116H"	"sleeves"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.95517407755754	2.34546741020029	2.59560267061704	"210719_a25"	"116H"	359.571406940502	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	"(-50,1e+03]"	5.88491278592248
"210719_a25"	14557507	398.775793865258	114.530258150998	1	""	"117H"	"slice"	"aM"	"vM"	"H"	"a"	"aMvM"	2.52206865618731	2.12329286232205	2.40753839803631	"210719_a25"	"117H"	114.530258150998	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	4.74083905141038
