"","parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","videoname","Task.Version","Spreadsheet","Response","display","row_number","filename","Experiment.Version","Participant.OS","Participant.Browser","randomiser.t27m","date.of.birth.year","date.of.birth.month","sex","languages","response.6","response.6.text","mask.problems","Difficulty.x","Tiring","more.info.on.masks","Difficulty.y","Distraction","response.4.1","response.4.2","response.4.3","response.4.4","response.4.text","response.5","Comments","block","SUBJECT","ITEM","RT","GROUP","AUDIO","VISUAL","PREDICT","ACC","CONDITION","TRIAL","BLOCK","AGE","SEX"
"21","210719_a25",14557507,343.858862462167,238.500961227577,0,"spin","122L","spoon","aNM","vNM","L","a","aNMvNM",2.55495273920108,2.21109387673891,2.3164517779735,"122L_aNM_vNM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14557507?filename=122LaNMvNMmp4-123-2.weba","Block1",108,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv",7,"Windows 10","Chrome 92.0.4515.107","Version8",26,3,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,2,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA,4,"210719_a25","122L",238.500961227577,"a","aNM","vNM","L","0","aNMvNM",108,"4",26.25,"Female"
"33","210719_a25",14557507,487.866399451959,354.75436665264,0,"ten","134L","tin","aM","vM","L","a","aMvM",2.26796424025919,1.78009784080723,1.91320987360655,"134L_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14557507?filename=134LaMvMmp4-86-2.weba","Block1",73,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv",7,"Windows 10","Chrome 92.0.4515.107","Version8",26,3,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,2,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA,3,"210719_a25","134L",354.75436665264,"a","aM","vM","L","0","aMvM",73,"3",26.25,"Female"
"46","210719_a25",14557507,538.916889590977,353.540993387037,0,"clark?","21H","clerk","aNM","vNM","H","a","aNMvNM",3.07813370039808,2.5392168108071,2.72459270701104,"21H_aNM_vNM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14557507?filename=21HaNMvNMmp4-28-2.weba","Block1",19,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv",7,"Windows 10","Chrome 92.0.4515.107","Version8",26,3,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,2,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA,1,"210719_a25","21H",353.540993387037,"a","aNM","vNM","H","0","aNMvNM",19,"1",26.25,"Female"
"137","210719_a41",14610319,622.613071064866,467.186823293006,0,"snail","118L","sling","aM","vNM","L","a","aMvNM",2.95888363813267,2.3362705670678,2.49169681483966,"118L_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=118LaMvNMmp4-130-2.weba","Block1",115,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!",4,"210719_a41","118L",467.186823293006,"a","aM","vNM","L","0","aMvNM",115,"4",51.6666666666667,"Male"
"158","210719_a41",14610319,256.35041508586,87.84801123964,0,"nasalisation 'mban'","140H","van","aM","vNM","H","a","aMvNM",2.85208491167553,2.59573449658967,2.76423690043589,"140H_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=140HaMvNMmp4-44-2.weba","Block1",33,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!",2,"210719_a41","140H",87.84801123964,"a","aM","vNM","H","0","aMvNM",33,"2",51.6666666666667,"Male"
"163","210719_a41",14610319,704.232199472739,471.75224089575,0,"pulsed?","17L","calf","aM","vM","L","a","aMvM",3.42767699303266,2.72344479355992,2.95592475213691,"17L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=17LaMvMmp4-70-2.weba","Block1",59,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!",2,"210719_a41","17L",471.75224089575,"a","aM","vM","L","0","aMvM",59,"2",51.6666666666667,"Male"
"183","210719_a41",14610319,349.786181005089,247.373978624139,0,"wrongthencorrectsit","38H","den","aNM","vNM","H","a","aNMvNM",2.79584460896278,2.44605842795769,2.54847063033864,"38H_aNM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=38HaNMvNMmp4-122-2.weba","Block1",107,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!",4,"210719_a41","38H",247.373978624139,"a","aNM","vNM","H","0","aNMvNM",107,"4",51.6666666666667,"Male"
"234","210719_a41",14610319,552.021266574378,282.595531280138,0,"bet","94L","pet","aM","vM","L","a","aMvM",2.91004044612093,2.35801917954655,2.62744491484079,"94L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=94LaMvMmp4-49-2.weba","Block1",38,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!",2,"210719_a41","94L",282.595531280138,"a","aM","vM","L","0","aMvM",38,"2",51.6666666666667,"Male"
"237","210719_a41",14610319,794.307417295195,653.145291226835,0,"time","98L","pine","aM","vM","L","a","aMvM",2.71108065509717,1.91677323780198,2.05793536387034,"98L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=98LaMvMmp4-92-2.weba","Block1",79,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!",3,"210719_a41","98L",653.145291226835,"a","aM","vM","L","0","aMvM",79,"3",51.6666666666667,"Male"
"325","210719_c12",14456668,5683.39750400003,5571.13000400005,0,"I dont' know","65H","herd","aM","vM","H","c","aMvM",8.02636517939544,2.34296767539541,2.45523517539539,"65H_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14456668?filename=65HaMvMmp4-13-2.weba","Block1",4,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv",3,"Chromium OS 13904.77.0","Chrome 91.0.4472.147","Version2",10,7,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"I don't know",2,1,NA,1,1,"Everything worked well",NA,NA,NA,NA,NA,NA,1,"210719_c12","65H",5571.13000400005,"c","aM","vM","H","0","aMvM",4,"1",10.5833333333333,"Female"
