"GROUP"	"SUBJECT"	"AGE"	"sex"	"Participant.OS"	"Participant.Browser"	"randomiser_t27m"	"languages"	"response_6"	"mask.problems"	"Difficulty.x"	"Tiring"	"Difficulty.y"	"Distraction"	"n"	"Mean"	"Conf.level"	"Trad.lower"	"Trad.upper"
"a"	"210719_a25"	26.25	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version8"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	2	1	2	112	339	0.95	317	361
"a"	"210719_a41"	51.6666666666667	"Male"	"Windows 10"	"Chrome 92.0.4515.107"	"Version1"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	3	2	1	110	356	0.95	331	381
"c"	"210719_c12"	10.5833333333333	"Female"	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version2"	"English and another language (bilingual)"	"Born and raised in the UK"	"I don't know"	2	1	1	1	115	342	0.95	316	368
"c"	"210719_c26"	11.3333333333333	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version4"	"English"	"Born and raised in the UK"	"No"	2	2	2	1	110	526	0.95	497	554
"c"	"210719_c29"	11.5833333333333	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version2"	"English"	"Born and raised in the UK"	"No"	2	1	2	1	99	340	0.95	299	381
"c"	"210719_c47"	10.5833333333333	"Male"	"Windows 10"	"Chrome 92.0.4515.107"	"Version5"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	1	1	2	114	1250	0.95	1190	1310
"c"	"210719_c53"	11.0833333333333	"Male"	"Windows 10"	"Edge 92.0.902.67"	"Version4"	"English and another language (bilingual)"	"Born and raised in the UK"	"Yes sometimes"	2	2	2	1	108	966	0.95	894	1040
"c"	"210719_c66"	10.4166666666667	"Male"	"Windows 10"	"Chrome 92.0.4515.107"	"Version1"	"English"	"Born and raised in the UK"	"Yes sometimes"	4	3	1	1	100	229	0.95	197	261
"c"	"210719_c71"	11.25	"Female"	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version5"	"English and another language (bilingual)"	"Born and raised in the UK"	"No"	2	3	2	1	110	265	0.95	229	301
"a"	"210723_a76"	21.6666666666667	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version8"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	1	2	1	108	238	0.95	215	262
"a"	"210723_a78"	22.25	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version7"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	4	5	3	106	205	0.95	172	237
"a"	"210723_a79"	21.4166666666667	"Male"	"Windows 10"	"Chrome 91.0.4472.124"	"Version5"	"English"	"Born and raised in the UK"	"Yes sometimes"	4	3	2	2	109	141	0.95	116	165
"a"	"210725_a118"	50.9166666666667	"Male"	"Mac OS 10.15"	"Firefox 90.0"	"Version3"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	3	2	2	112	662	0.95	630	694
"a"	"210725_a120"	20.75	"Male"	"Windows 10"	"Chrome 92.0.4515.107"	"Version4"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	3	3	2	105	782	0.95	705	859
"a"	"210725_a139"	28.9166666666667	"Female"	"Mac OS 10.15.7"	"Chrome 91.0.4472.114"	"Version4"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	1	1	1	115	777	0.95	733	821
"a"	"210725_a147"	59.1666666666667	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version5"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	3	1	1	111	354	0.95	322	386
"a"	"210725_a156"	27.5	"Male"	"Windows 10"	"Chrome 92.0.4515.131"	"Version8"	"English"	"Born and raised in the UK"	"No"	2	1	2	2	100	676	0.95	630	721
"a"	"210725_a165"	24.4166666666667	"Female"	"Chromium OS 13904.97.0"	"Chrome 91.0.4472.167"	"Version5"	"English"	"Born and raised in the UK"	"No"	2	3	1	1	114	508	0.95	471	545
"a"	"210725_a176"	20.6666666666667	"Female"	"Windows 10"	"Chrome 92.0.4515.159"	"Version7"	"English"	"Born and raised in the UK"	"No"	2	1	1	1	111	242	0.95	214	270
"a"	"210725_a185"	26.5833333333333	"Female"	"Mac OS 10.15.6"	"Chrome 91.0.4472.106"	"Version3"	"English and another language (bilingual)"	"Born and raised in the UK"	"Yes sometimes"	3	1	2	2	114	303	0.95	270	335
"a"	"210725_a83"	23.5833333333333	"Female"	"Windows 10"	"Chrome 91.0.4472.164"	"Version7"	"English and another language (bilingual)"	"Raised in the UK from this age (please specify):"	"Yes sometimes"	2	3	2	3	115	1060	0.95	974	1140
"a"	"210725_a90"	36	"Male"	"Mac OS 10.15.7"	"Chrome 91.0.4472.114"	"Version3"	"English"	"Born and raised in the UK"	"Yes sometimes"	4	4	1	1	113	515	0.95	477	553
"a"	"210725_a96"	24.5833333333333	"Male"	"Mac OS 10.15.7"	"Chrome 92.0.4515.107"	"Version8"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	2	2	3	109	215	0.95	189	241
"c"	"210725_c122"	11	"Female"	"Windows 10"	"Chrome 92.0.4515.131"	"Version4"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	2	3	2	107	518	0.95	464	573
"c"	"210725_c130"	11.25	"Male"	"Windows 10"	"Chrome 92.0.4515.131"	"Version4"	"English"	"Born and raised in the UK"	"No"	1	1	2	1	107	538	0.95	473	603
"c"	"210725_c135"	10	"Male"	"Windows 10"	"Chrome 92.0.4515.159"	"Version5"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	4	2	2	93	477	0.95	354	601
"c"	"210725_c76"	10.4166666666667	"Female"	"Mac OS 10.13.6"	"Chrome 91.0.4472.101"	"Version2"	"English"	"Born and raised in the UK"	"No"	2	2	2	2	106	936	0.95	849	1020
"c"	"210725_c81"	11.9166666666667	"Male"	"Mac OS 10.13.6"	"Chrome 91.0.4472.101"	"Version8"	"English"	"Born and raised in the UK"	"No"	2	1	2	2	105	1340	0.95	1280	1400
"c"	"210725_c84"	10.75	"Female"	"Mac OS 10.15.7"	"Chrome 92.0.4515.131"	"Version1"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	2	2	2	108	788	0.95	748	828
"c"	"210725_c86"	11	"Female"	"Chromium OS 13904.97.0"	"Chrome 91.0.4472.167"	"Version7"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	3	2	3	101	663	0.95	594	733
