"parid"	"scheduleID"	"react1"	"react2"	"accuracy"	"note"	"number"	"correctans"	"audio"	"video"	"context"	"group"	"type"	"beep_response"	"length1"	"length2"	"batch"	"original_label"	"videoname"	"Task.Version"	"Spreadsheet"	"Response"	"display"	"randomise_blocks"	"row_number"	"filename"	"rowmean"	"block"	"Experiment.Version"	"Participant.OS"	"Participant.Browser"	"randomiser_t27m"	"date.of.birth_year"	"date.of.birth_month"	"sex"	"languages"	"response_6"	"response_6_text"	"mask.problems"	"Difficulty.x"	"Tiring"	"more.info.on.masks"	"Difficulty.y"	"Distraction"	"response_4_1"	"response_4_2"	"response_4_3"	"response_4_4"	"response_4_text"	"response_5"	"Comments"	"SUBJECT"	"ITEM"	"RT"	"GROUP"	"AUDIO"	"VIDEO"	"PREDICT"	"ACOUSTIC"	"VISUAL"	"PREDICTABILITY"	"ACC"	"CONDITION"	"TRIAL"	"BLOCK"	"AGE"	"SEX"	"LIST"
"210719_a25"	14557507	890.293005558671	575.217567397281	1	"including pre-nasalisation"	"39H"	"dent"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.67036455284181	1.78007154728314	2.09514698544453	1	"14557507_39HaNMvM"	"39H_aNM_vM.mp4"	7	"Version8"	"https://gorilla.sc/uploads/schedule/14557507?filename=39HaNMvMmp4-59-2.weba"	"Block1"	1	48	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv"	46	2	7	"Windows 10"	"Chrome 92.0.4515.107"	"Version8"	26	3	"Female"	"English"	"Born and raised in the UK"	NA	"Yes sometimes"	3	2	""	1	2	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_a25"	"39H"	575.217567397281	"Adults"	"aNM"	"vM"	"H"	"No Acoustic Mask"	"Visual Mask"	"High Predictability"	"1"	"aNMvM"	48	"2"	26.25	"Female"	"Version8"
"210719_a25"	14557507	633.130951215499	351.740805712849	1	"including prenasalisation"	"9L"	"blast"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.48854260588226	1.85541165466676	2.13680180016941	1	"14557507_9LaNMvNM"	"9L_aNM_vNM.mp4"	7	"Version8"	"https://gorilla.sc/uploads/schedule/14557507?filename=9LaNMvNMmp4-132-2.weba"	"Block1"	4	117	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv"	106	4	7	"Windows 10"	"Chrome 92.0.4515.107"	"Version8"	26	3	"Female"	"English"	"Born and raised in the UK"	NA	"Yes sometimes"	3	2	""	1	2	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_a25"	"9L"	351.740805712849	"Adults"	"aNM"	"vNM"	"L"	"No Acoustic Mask"	"No Visual Mask"	"Low Predictability"	"1"	"aNMvNM"	117	"4"	26.25	"Female"	"Version8"
"210719_c12"	14456668	307.086101861472	143.704691605052	1	"onset not sure"	"112H"	"shed"	"aNM"	"vNM"	"H"	"c"	"aNMvNM"	2.28964582523062	1.98255972336915	2.14594113362557	1	"14456668_112HaNMvNM"	"112H_aNM_vNM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/14456668?filename=112HaNMvNMmp4-93-2.weba"	"Block1"	4	80	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv"	76	3	3	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version2"	10	7	"Female"	"English and another language (bilingual)"	"Born and raised in the UK"	NA	"I don't know"	2	1	NA	1	1	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_c12"	"112H"	143.704691605052	"Children"	"aNM"	"vNM"	"H"	"No Acoustic Mask"	"No Visual Mask"	"High Predictability"	"1"	"aNMvNM"	80	"3"	10.5833333333333	"Female"	"Version2"
"210719_c12"	14456668	459.433274026313	316.209815175983	1	"including pre-nasalisation"	"12H"	"bread"	"aNM"	"vNM"	"H"	"c"	"aNMvNM"	2.75744794151899	2.29801466749268	2.44123812634301	1	"14456668_12HaNMvNM"	"12H_aNM_vNM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/14456668?filename=12HaNMvNMmp4-29-2.weba"	"Block1"	3	20	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv"	16	1	3	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version2"	10	7	"Female"	"English and another language (bilingual)"	"Born and raised in the UK"	NA	"I don't know"	2	1	NA	1	1	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_c12"	"12H"	316.209815175983	"Children"	"aNM"	"vNM"	"H"	"No Acoustic Mask"	"No Visual Mask"	"High Predictability"	"1"	"aNMvNM"	20	"1"	10.5833333333333	"Female"	"Version2"
"210719_c12"	14456668	352.057433132525	79.2878017223848	1	"preceded by f"	"131H"	"thief"	"aM"	"vM"	"H"	"c"	"aMvM"	2.20602676439585	1.85396933126333	2.12673896267347	1	"14456668_131HaMvM"	"131H_aM_vM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/14456668?filename=131HaMvMmp4-121-2.weba"	"Block1"	2	106	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv"	106	4	3	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version2"	10	7	"Female"	"English and another language (bilingual)"	"Born and raised in the UK"	NA	"I don't know"	2	1	NA	1	1	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_c12"	"131H"	79.2878017223848	"Children"	"aM"	"vM"	"H"	"Acoustic Mask"	"Visual Mask"	"High Predictability"	"1"	"aMvM"	106	"4"	10.5833333333333	"Female"	"Version2"
"210719_c12"	14456668	601.386703740346	256.200933942656	1	"say 'many thorns'"	"132L"	"thorns"	"aM"	"vNM"	"L"	"c"	"aMvNM"	2.91141015318285	2.3100234494425	2.65520921924019	1	"14456668_132LaMvNM"	"132L_aM_vNM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/14456668?filename=132LaMvNMmp4-32-2.weba"	"Block1"	3	23	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv"	16	1	3	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version2"	10	7	"Female"	"English and another language (bilingual)"	"Born and raised in the UK"	NA	"I don't know"	2	1	NA	1	1	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_c12"	"132L"	256.200933942656	"Children"	"aM"	"vNM"	"L"	"Acoustic Mask"	"No Visual Mask"	"Low Predictability"	"1"	"aMvNM"	23	"1"	10.5833333333333	"Female"	"Version2"
"210719_c12"	14456668	660.346897312911	554.574747012241	1	"pre-nasalisation"	"2H"	"barn"	"aNM"	"vNM"	"H"	"c"	"aNMvNM"	2.58348807714492	1.92314117983201	2.02891333013268	1	"14456668_2HaNMvNM"	"2H_aNM_vNM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/14456668?filename=2HaNMvNMmp4-69-2.weba"	"Block1"	1	58	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv"	46	2	3	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version2"	10	7	"Female"	"English and another language (bilingual)"	"Born and raised in the UK"	NA	"I don't know"	2	1	NA	1	1	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_c12"	"2H"	554.574747012241	"Children"	"aNM"	"vNM"	"H"	"No Acoustic Mask"	"No Visual Mask"	"High Predictability"	"1"	"aNMvNM"	58	"2"	10.5833333333333	"Female"	"Version2"
"210719_c12"	14456668	653.279822563012	550.867620182062	1	"pre-nasalisation"	"38H"	"den"	"aNM"	"vM"	"H"	"c"	"aNMvM"	3.0993382505207	2.44605842795769	2.54847063033864	1	"14456668_38HaNMvM"	"38H_aNM_vM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/14456668?filename=38HaNMvMmp4-16-2.weba"	"Block1"	3	7	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv"	16	1	3	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version2"	10	7	"Female"	"English and another language (bilingual)"	"Born and raised in the UK"	NA	"I don't know"	2	1	NA	1	1	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_c12"	"38H"	550.867620182062	"Children"	"aNM"	"vM"	"H"	"No Acoustic Mask"	"Visual Mask"	"High Predictability"	"1"	"aNMvM"	7	"1"	10.5833333333333	"Female"	"Version2"
"210719_c12"	14456668	401.295235963021	275.561011853841	1	"including pre-nasalisation"	"58H"	"goal"	"aNM"	"vM"	"H"	"c"	"aNMvM"	2.47632547086205	2.07503023489903	2.20076445900821	1	"14456668_58HaNMvM"	"58H_aNM_vM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/14456668?filename=58HaNMvMmp4-130-2.weba"	"Block1"	2	115	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv"	106	4	3	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version2"	10	7	"Female"	"English and another language (bilingual)"	"Born and raised in the UK"	NA	"I don't know"	2	1	NA	1	1	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_c12"	"58H"	275.561011853841	"Children"	"aNM"	"vM"	"H"	"No Acoustic Mask"	"Visual Mask"	"High Predictability"	"1"	"aNMvM"	115	"4"	10.5833333333333	"Female"	"Version2"
"210719_c12"	14456668	561.345996056081	448.583099230681	1	"pre-nasalisation"	"5H"	"beam"	"aNM"	"vM"	"H"	"c"	"aNMvM"	2.6849907026521	2.12364470659602	2.23640760342142	1	"14456668_5HaNMvM"	"5H_aNM_vM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/14456668?filename=5HaNMvMmp4-77-2.weba"	"Block1"	4	64	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv"	76	3	3	"Chromium OS 13904.77.0"	"Chrome 91.0.4472.147"	"Version2"	10	7	"Female"	"English and another language (bilingual)"	"Born and raised in the UK"	NA	"I don't know"	2	1	NA	1	1	"Everything worked well"	NA	NA	NA	NA	NA	NA	"210719_c12"	"5H"	448.583099230681	"Children"	"aNM"	"vM"	"H"	"No Acoustic Mask"	"Visual Mask"	"High Predictability"	"1"	"aNMvM"	64	"3"	10.5833333333333	"Female"	"Version2"
