"","parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","batch","original_label","videoname","Task.Version","Spreadsheet","Response","display","randomise_blocks","row_number","filename","rowmean","block","Experiment.Version","Participant.OS","Participant.Browser","randomiser_t27m","date.of.birth_year","date.of.birth_month","sex","languages","response_6","response_6_text","mask.problems","Difficulty.x","Tiring","more.info.on.masks","Difficulty.y","Distraction","response_4_1","response_4_2","response_4_3","response_4_4","response_4_text","response_5","Comments","SUBJECT","ITEM","RT","GROUP","AUDIO","VIDEO","PREDICT","ACOUSTIC","VISUAL","PREDICTABILITY","ACC","CONDITION","TRIAL","BLOCK","AGE","SEX"
"21","210719_a25",14557507,343.858862462167,238.500961227577,0,"spin","122L","spoon","aNM","vNM","L","a","aNMvNM",2.55495273920108,2.21109387673891,2.3164517779735,1,"14557507_122LaNMvNM","122L_aNM_vNM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14557507?filename=122LaNMvNMmp4-123-2.weba","Block1",4,108,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv",106,4,7,"Windows 10","Chrome 92.0.4515.107","Version8",26,3,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,2,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA,"210719_a25","122L",238.500961227577,"Adults","aNM","vNM","L","No Acoustic Mask","No Visual Mask","Low Predictability","0","aNMvNM",108,4,26.25,"Female"
"33","210719_a25",14557507,487.866399451959,354.75436665264,0,"ten","134L","tin","aM","vM","L","a","aMvM",2.26796424025919,1.78009784080723,1.91320987360655,1,"14557507_134LaMvM","134L_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14557507?filename=134LaMvMmp4-86-2.weba","Block1",2,73,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv",76,3,7,"Windows 10","Chrome 92.0.4515.107","Version8",26,3,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,2,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA,"210719_a25","134L",354.75436665264,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",73,3,26.25,"Female"
"137","210719_a41",14610319,622.613071064866,467.186823293006,0,"snail","118L","sling","aM","vNM","L","a","aMvNM",2.95888363813267,2.3362705670678,2.49169681483966,1,"14610319_118LaMvNM","118L_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=118LaMvNMmp4-130-2.weba","Block1",3,115,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",106,4,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","118L",467.186823293006,"Adults","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",115,4,51.6666666666667,"Male"
"163","210719_a41",14610319,704.232199472739,471.75224089575,0,"pulsed?","17L","calf","aM","vM","L","a","aMvM",3.42767699303266,2.72344479355992,2.95592475213691,1,"14610319_17LaMvM","17L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=17LaMvMmp4-70-2.weba","Block1",4,59,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",46,2,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","17L",471.75224089575,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",59,2,51.6666666666667,"Male"
"233","210719_a41",14610319,552.021266574378,282.595531280138,0,"bet","94L","pet","aM","vM","L","a","aMvM",2.91004044612093,2.35801917954655,2.62744491484079,1,"14610319_94LaMvM","94L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=94LaMvMmp4-49-2.weba","Block1",4,38,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",46,2,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","94L",282.595531280138,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",38,2,51.6666666666667,"Male"
"236","210719_a41",14610319,794.307417295195,653.145291226835,0,"time","98L","pine","aM","vM","L","a","aMvM",2.71108065509717,1.91677323780198,2.05793536387034,1,"14610319_98LaMvM","98L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=98LaMvMmp4-92-2.weba","Block1",1,79,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",76,3,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","98L",653.145291226835,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",79,3,51.6666666666667,"Male"
"323","210719_c12",14456668,5683.39750400003,5571.13000400005,0,"I dont' know","65H","herd","aM","vM","H","c","aMvM",8.02636517939544,2.34296767539541,2.45523517539539,1,"14456668_65HaMvM","65H_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14456668?filename=65HaMvMmp4-13-2.weba","Block1",3,4,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv",16,1,3,"Chromium OS 13904.77.0","Chrome 91.0.4472.147","Version2",10,7,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"I don't know",2,1,NA,1,1,"Everything worked well",NA,NA,NA,NA,NA,NA,"210719_c12","65H",5571.13000400005,"Children","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",4,1,10.5833333333333,"Female"
"428","210719_c26",14526592,1034.83938448773,926.735408602498,0,"'fame'","50L","flame","aM","vNM","L","c","aMvNM",3.38549494567201,2.35065556118428,2.45875953706951,1,"14526592_50LaMvNM","50L_aM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=50LaMvNMmp4-15-2.weba","Block1",1,6,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",16,1,5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","","210719_c26","50L",926.735408602498,"Children","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",6,1,11.3333333333333,"Female"
"493","210719_c29",14956811,393.773939513221,198.107930005401,0,"spoold","121L","spool","aM","vM","L","c","aMvM",2.5247124647612,2.13093852524798,2.3266045347558,1,"14956811_121LaMvM","121L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=121LaMvMmp4-91-2.weba","Block1",3,78,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","121L",198.107930005401,"Children","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",78,3,11.5833333333333,"Female"
"517","210719_c29",14956811,313.586915749411,130.738983299911,0,"cars?","21L","clerk","aM","vNM","L","c","aMvNM",2.47243973412874,2.15885281837933,2.34170075082883,1,"14956811_21LaMvNM","21L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=21LaMvNMmp4-80-2.weba","Block1",3,67,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","21L",130.738983299911,"Children","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",67,3,11.5833333333333,"Female"
"536","210719_c29",14956811,1275.9078321006,1229.2715821006,0,"sounds like boy","3L","bay","aM","vM","L","c","aMvM",3.69359498845037,2.41768715634977,2.46432340634977,1,"14956811_3LaMvM","3L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=3LaMvMmp4-16-2.weba","Block1",2,7,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",16,1,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","3L",1229.2715821006,"Children","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",7,1,11.5833333333333,"Female"
"564","210719_c29",14956811,875.224374248885,666.303243296515,0,"cannot hear","74L","kick","aM","vNM","L","c","aMvNM",3.28807559588824,2.41285122163936,2.62177235259173,1,"14956811_74LaMvNM","74L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=74LaMvNMmp4-29-2.weba","Block1",2,20,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",16,1,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","74L",666.303243296515,"Children","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",20,1,11.5833333333333,"Female"
"577","210719_c29",14956811,535.096590061177,410.469506727847,0,"Is there a devoicing of b?","8L","blame","aM","vM","L","c","aMvM",2.30438712776112,1.76929053769994,1.89391762103327,1,"14956811_8LaMvM","8L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=8LaMvMmp4-85-2.weba","Block1",3,72,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","8L",410.469506727847,"Children","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",72,3,11.5833333333333,"Female"
"586","210719_c29",14956811,395.066132378758,84.1025907120874,0,"dust","9H","blast","aM","vNM","H","c","aMvNM",2.65720242532453,2.26213629294577,2.57309983461244,1,"14956811_9HaMvNM","9H_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=9HaMvNMmp4-129-2.weba","Block1",4,114,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",106,4,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","9H",84.1025907120874,"Children","aM","vNM","H","Acoustic Mask","No Visual Mask","High Predictability","0","aMvNM",114,4,11.5833333333333,"Female"
"619","210719_c47",14557278,5872.32339925812,5746.13161004244,0,"discard_she siad i don't know","134H","tin","aM","vM","H","c","aMvM",7.8594462806882,1.98712288143008,2.11331467064576,1,"14557278_134HaMvM","134H_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14557278?filename=134HaMvMmp4-29-2.weba","Block1",2,20,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-6srq.csv",16,1,5,"Windows 10","Chrome 92.0.4515.107","Version5",10,7,"Male","English","Born and raised in the UK",NA,"Yes sometimes",3,1,"He says he understands his teachers quite well when they wear face masks.",1,2,"Everything worked well",NA,NA,NA,NA,"A couple of times my child pressed next first instead of saying the word.","Very enjoyable","210719_c47","134H",5746.13161004244,"Children","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",20,1,10.5833333333333,"Male"
"706","210719_c53",15074698,1133.12513107384,803.457538481219,0,"graft","103H","raft","aM","vNM","H","c","aMvNM",4.04368902636396,2.91056389529012,3.24023148788274,1,"15074698_103HaMvNM","103H_aM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15074698?filename=103HaMvNMmp4-71-2.weba","Block1",2,60,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv",46,2,9,"Windows 10","Edge 92.0.902.67","Version4",11,1,"Male","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",2,2,"",2,1,"Everything worked well","","","","","","","210719_c53","103H",803.457538481219,"Children","aM","vNM","H","Acoustic Mask","No Visual Mask","High Predictability","0","aMvNM",60,2,11.0833333333333,"Male"
"716","210719_c53",15074698,902.740141085933,729.785279974754,0,"sick?","114H","silk","aM","vM","H","c","aMvM",2.80074109531893,1.898000954233,2.07095581534418,1,"15074698_114HaMvM","114H_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15074698?filename=114HaMvMmp4-61-2.weba","Block1",2,50,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv",46,2,9,"Windows 10","Edge 92.0.902.67","Version4",11,1,"Male","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",2,2,"",2,1,"Everything worked well","","","","","","","210719_c53","114H",729.785279974754,"Children","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",50,2,11.0833333333333,"Male"
"720","210719_c53",15074698,557.260347666385,410.270995814645,0,"slink?","118H","sling","aM","vM","H","c","aMvM",2.70865733246904,2.15139698480266,2.2983863366544,1,"15074698_118HaMvM","118H_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15074698?filename=118HaMvMmp4-77-2.weba","Block1",3,64,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv",76,3,9,"Windows 10","Edge 92.0.902.67","Version4",11,1,"Male","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",2,2,"",2,1,"Everything worked well","","","","","","","210719_c53","118H",410.270995814645,"Children","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",64,3,11.0833333333333,"Male"
"780","210719_c53",15074698,1274.42388566373,1157.30254557365,0,"cannot figure out what the child said","58L","goal","aM","vNM","L","c","aMvNM",3.22829457781972,1.95387069215599,2.07099203224607,1,"15074698_58LaMvNM","58L_aM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15074698?filename=58LaMvNMmp4-47-2.weba","Block1",2,36,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv",46,2,9,"Windows 10","Edge 92.0.902.67","Version4",11,1,"Male","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",2,2,"",2,1,"Everything worked well","","","","","","","210719_c53","58L",1157.30254557365,"Children","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",36,2,11.0833333333333,"Male"
"840","210719_c66",14758562,711.562047173278,463.960278328028,0,"discard_spoon","121H","spool","aNM","vM","H","c","aNMvM",2.54978819368465,1.83822614651137,2.08582791535662,1,"14758562_121HaNMvM","121H_aNM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14758562?filename=audioFile-11-2.weba","Block1",3,2,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",16,1,9,"Windows 10","Chrome 92.0.4515.107","Version1",10,5,"Male","English","Born and raised in the UK","","Yes sometimes",4,3,"",1,1,"Everything worked well","","","","","NO","MY CHILD ENJOID","210719_c66","121H",463.960278328028,"Children","aNM","vM","H","No Acoustic Mask","Visual Mask","High Predictability","0","aNMvM",2,1,10.4166666666667,"Male"
"871","210719_c66",14758562,402.222493409793,70.5686533840431,0,"discard_tops","28H","cops","aM","vNM","H","c","aMvNM",2.51187553207927,2.10965303866948,2.44130687869523,1,"14758562_28HaMvNM","28H_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14758562?filename=audioFile-116-2.weba","Block1",4,101,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",106,4,9,"Windows 10","Chrome 92.0.4515.107","Version1",10,5,"Male","English","Born and raised in the UK","","Yes sometimes",4,3,"",1,1,"Everything worked well","","","","","NO","MY CHILD ENJOID","210719_c66","28H",70.5686533840431,"Children","aM","vNM","H","Acoustic Mask","No Visual Mask","High Predictability","0","aMvNM",101,4,10.4166666666667,"Male"
"872","210719_c66",14758562,271.289343382606,161.218673447966,0,"discard_bar","2H","barn","aM","vM","H","c","aMvM",2.21779961358249,1.94651027019988,2.05658094013452,1,"14758562_2HaMvM","2H_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14758562?filename=audioFile-99-2.weba","Block1",1,86,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version1",10,5,"Male","English","Born and raised in the UK","","Yes sometimes",4,3,"",1,1,"Everything worked well","","","","","NO","MY CHILD ENJOID","210719_c66","2H",161.218673447966,"Children","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",86,3,10.4166666666667,"Male"
