parid,scheduleID,react1,react2,accuracy,note,number,correctans,audio,video,context,group,type,beep_response,length1,length2
210719_a25,14557507,1033.879862,872.5327001,1,,100L,pole,aNM,vM,L,a,aNMvM,2.615005749,1.581125886,1.742473049
210719_a25,14557507,1019.022696,826.4305823,1,,101L,pool,aM,vM,L,a,aMvM,2.976632468,1.957609772,2.150201886
210719_a25,14557507,743.3085997,544.4180905,1,,102L,prize,aNM,vM,L,a,aNMvM,2.97470738,2.23139878,2.430289289
210719_a25,14557507,649.9365463,314.5707611,1,,103L,raft,aM,vNM,L,a,aMvNM,2.880438484,2.230501937,2.565867722
210719_a25,14557507,649.3973769,282.8569729,1,,104L,rent,aM,vM,L,a,aMvM,2.865241439,2.215844062,2.582384466
210719_a25,14557507,704.0998351,569.997139,1,,105L,rim,aNM,vM,L,a,aNMvM,3.162731877,2.458632042,2.592734738
210719_a25,14557507,632.5399185,401.6108962,1,,107H,rope,aNM,vNM,H,a,aNMvNM,2.649672956,2.017133038,2.24806206
210719_a25,14557507,505.1197026,459.2192397,1,,108L,row,aM,vNM,L,a,aMvNM,2.869729847,2.364610144,2.410510607
210719_a25,14557507,513.9650245,267.5876206,1,,109L,sand,aM,vM,L,a,aMvM,2.641404967,2.127439943,2.373817346
210719_a25,14557507,497.0713436,326.2361266,1,,10H,bowl,aM,vNM,H,a,aMvNM,2.797919578,2.300848235,2.471683452
210719_a25,14557507,475.7162701,313.2741404,1,,110L,scab,aNM,vM,L,a,aNMvM,2.501371184,2.025654914,2.188097044
210719_a25,14557507,503.4967547,237.0420578,1,,111H,seeds,aNM,vNM,H,a,aNMvNM,2.44576366,1.942266905,2.208721602
210719_a25,14557507,443.3114241,279.9300138,1,,112H,shed,aNM,vM,H,a,aNMvM,2.425871147,1.982559723,2.145941134
210719_a25,14557507,469.7496657,290.414709,1,,113H,sheep,aM,vM,H,a,aMvM,2.72799433,2.258244664,2.437579621
210719_a25,14557507,759.3513452,456.9851593,1,,114L,silk,aNM,vNM,L,a,aNMvNM,2.607641886,1.848290541,2.150656727
210719_a25,14557507,466.8695346,208.9434929,1,,115H,skirt,aM,vNM,H,a,aMvNM,2.637808606,2.170939071,2.428865113
210719_a25,14557507,609.7066674,359.5714069,1,,116H,sleeves,aNM,vM,H,a,aNMvM,2.955174078,2.34546741,2.595602671
210719_a25,14557507,398.7757939,114.5302582,1,,117H,slice,aM,vM,H,a,aMvM,2.522068656,2.123292862,2.407538398
210719_a25,14557507,607.0404883,447.5510146,1,,118L,sling,aNM,vNM,L,a,aNMvNM,2.93590097,2.328860482,2.488349955
210719_a25,14557507,518.1178639,201.549653,1,,119H,splash,aM,vNM,H,a,aMvNM,2.690457261,2.172339397,2.488907608
210719_a25,14557507,523.4071557,100.5744689,1,,120H,sponge,aNM,vM,H,a,aNMvM,2.733147628,2.209740472,2.632573159
210719_a25,14557507,519.4913093,315.2218018,1,,121H,spool,aM,vM,H,a,aMvM,2.398405598,1.878914289,2.083183797
210719_a25,14557507,343.8588625,238.5009612,0,spin,122L,spoon,aNM,vNM,L,a,aNMvNM,2.554952739,2.211093877,2.316451778
210719_a25,14557507,639.8641479,455.3143872,1,,123H,sport,aM,vNM,H,a,aMvNM,2.707774025,2.067909878,2.252459638
210719_a25,14557507,418.0602813,318.1809562,1,,124H,spray,aNM,vM,H,a,aNMvM,2.513387017,2.095326736,2.195206061
210719_a25,14557507,406.3405444,210.5509908,1,,126H,strap,aM,vM,H,a,aMvM,2.469438584,2.06309804,2.258887593
210719_a25,14557507,712.4597569,293.0674529,1,,127L,swamps,aNM,vNM,L,a,aNMvNM,2.723539473,2.011079716,2.43047202
210719_a25,14557507,368.6744472,204.1595663,1,,128H,swan,aM,vNM,H,a,aMvNM,2.555095422,2.186420975,2.350935856
210719_a25,14557507,715.3248548,666.3862168,1,,129L,tea,aM,vNM,L,a,aMvNM,2.938805616,2.223480762,2.272419399
210719_a25,14557507,682.8888299,539.665371,1,,12H,bread,aNM,vM,H,a,aNMvM,2.980903497,2.298014667,2.441238126
210719_a25,14557507,735.5892155,394.1204655,1,,130L,tent,aM,vM,L,a,aMvM,2.481927767,1.746338552,2.087807302
210719_a25,14557507,452.0993602,217.8896486,1,,131L,thief,aNM,vM,L,a,aNMvM,2.695488842,2.243389482,2.477599194
210719_a25,14557507,519.8635281,213.0563943,1,,132H,thorns,aNM,vNM,H,a,aNMvNM,2.815227413,2.295363884,2.602171018
210719_a25,14557507,557.8573784,321.9010912,1,,133L,throat,aM,vNM,L,a,aMvNM,2.397402399,1.839545021,2.075501308
210719_a25,14557507,487.8663995,354.7543667,0,ten,134L,tin,aM,vM,L,a,aMvM,2.26796424,1.780097841,1.913209874
210719_a25,14557507,557.6880556,432.8554097,1,,136L,trail,aNM,vM,L,a,aNMvM,2.419583905,1.861895849,1.986728495
210719_a25,14557507,565.8679094,370.3420153,1,,137H,trap,aNM,vNM,H,a,aNMvNM,2.577273803,2.011405894,2.206931788
210719_a25,14557507,581.6158676,305.5873589,1,,138L,truck,aM,vNM,L,a,aMvNM,2.530767109,1.949151242,2.22517975
