"parid"	"scheduleID"	"react1"	"react2"	"accuracy"	"note"	"number"	"correctans"	"audio"	"video"	"context"	"group"	"type"	"beep_response"	"length1"	"length2"	"SUBJECT"	"ITEM"	"RT"	"GROUP"	"AUDIO"	"VISUAL"	"PREDICT"	"ACC"	"CONDITION"	"LogRT"
"210719_a25"	14557507	649.9365463	314.5707611	1	""	"103L"	"raft"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.880438484	2.230501937	2.565867722	"210719_a25"	"103L"	314.5707611	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	5.75120904638128
"210719_a25"	14557507	649.3973769	282.8569729	1	""	"104L"	"rent"	"aM"	"vM"	"L"	"a"	"aMvM"	2.865241439	2.215844062	2.582384466	"210719_a25"	"104L"	282.8569729	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	5.6449413737745
"210719_a25"	14557507	704.0998351	569.997139	1	""	"105L"	"rim"	"aNM"	"vM"	"L"	"a"	"aNMvM"	3.162731877	2.458632042	2.592734738	"210719_a25"	"105L"	569.997139	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	6.34563134151775
"210719_a25"	14557507	632.5399185	401.6108962	1	""	"107H"	"rope"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.649672956	2.017133038	2.24806206	"210719_a25"	"107H"	401.6108962	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	5.99548369998157
"210719_a25"	14557507	505.1197026	459.2192397	1	""	"108L"	"row"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.869729847	2.364610144	2.410510607	"210719_a25"	"108L"	459.2192397	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	6.12952774242904
"210719_a25"	14557507	513.9650245	267.5876206	1	""	"109L"	"sand"	"aM"	"vM"	"L"	"a"	"aMvM"	2.641404967	2.127439943	2.373817346	"210719_a25"	"109L"	267.5876206	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	5.58944706634694
"210719_a25"	14557507	497.0713436	326.2361266	1	""	"10H"	"bowl"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.797919578	2.300848235	2.471683452	"210719_a25"	"10H"	326.2361266	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	5.78762143390132
"210719_a25"	14557507	475.7162701	313.2741404	1	""	"110L"	"scab"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.501371184	2.025654914	2.188097044	"210719_a25"	"110L"	313.2741404	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	5.74707865513249
"210719_a25"	14557507	503.4967547	237.0420578	1	""	"111H"	"seeds"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.44576366	1.942266905	2.208721602	"210719_a25"	"111H"	237.0420578	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	5.46823758446286
"210719_a25"	14557507	443.3114241	279.9300138	1	""	"112H"	"shed"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.425871147	1.982559723	2.145941134	"210719_a25"	"112H"	279.9300138	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	5.63453962121208
"210719_a25"	14557507	469.7496657	290.414709	1	""	"113H"	"sheep"	"aM"	"vM"	"H"	"a"	"aMvM"	2.72799433	2.258244664	2.437579621	"210719_a25"	"113H"	290.414709	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	5.67130993249438
"210719_a25"	14557507	759.3513452	456.9851593	1	""	"114L"	"silk"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.607641886	1.848290541	2.150656727	"210719_a25"	"114L"	456.9851593	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	6.12465091618748
"210719_a25"	14557507	466.8695346	208.9434929	1	""	"115H"	"skirt"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.637808606	2.170939071	2.428865113	"210719_a25"	"115H"	208.9434929	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	5.34206384650903
"210719_a25"	14557507	609.7066674	359.5714069	1	""	"116H"	"sleeves"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.955174078	2.34546741	2.595602671	"210719_a25"	"116H"	359.5714069	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	5.88491278580984
"210719_a25"	14557507	398.7757939	114.5302582	1	""	"117H"	"slice"	"aM"	"vM"	"H"	"a"	"aMvM"	2.522068656	2.123292862	2.407538398	"210719_a25"	"117H"	114.5302582	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	4.74083905183824
"210719_a25"	14557507	607.0404883	447.5510146	1	""	"118L"	"sling"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.93590097	2.328860482	2.488349955	"210719_a25"	"118L"	447.5510146	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	6.10379053032365
"210719_a25"	14557507	518.1178639	201.549653	1	""	"119H"	"splash"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.690457261	2.172339397	2.488907608	"210719_a25"	"119H"	201.549653	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	5.30603576790454
"210719_a25"	14557507	523.4071557	100.5744689	1	""	"120H"	"sponge"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.733147628	2.209740472	2.632573159	"210719_a25"	"120H"	100.5744689	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	4.61089843718557
"210719_a25"	14557507	519.4913093	315.2218018	1	""	"121H"	"spool"	"aM"	"vM"	"H"	"a"	"aMvM"	2.398405598	1.878914289	2.083183797	"210719_a25"	"121H"	315.2218018	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	5.75327652373893
"210719_a25"	14557507	639.8641479	455.3143872	1	""	"123H"	"sport"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.707774025	2.067909878	2.252459638	"210719_a25"	"123H"	455.3143872	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	6.12098814122651
"210719_a25"	14557507	418.0602813	318.1809562	1	""	"124H"	"spray"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.513387017	2.095326736	2.195206061	"210719_a25"	"124H"	318.1809562	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	5.76262026558975
"210719_a25"	14557507	406.3405444	210.5509908	1	""	"126H"	"strap"	"aM"	"vM"	"H"	"a"	"aMvM"	2.469438584	2.06309804	2.258887593	"210719_a25"	"126H"	210.5509908	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	5.34972786036747
"210719_a25"	14557507	712.4597569	293.0674529	1	""	"127L"	"swamps"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.723539473	2.011079716	2.43047202	"210719_a25"	"127L"	293.0674529	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	5.6804027971975
"210719_a25"	14557507	368.6744472	204.1595663	1	""	"128H"	"swan"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.555095422	2.186420975	2.350935856	"210719_a25"	"128H"	204.1595663	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	5.3189018758399
"210719_a25"	14557507	715.3248548	666.3862168	1	""	"129L"	"tea"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.938805616	2.223480762	2.272419399	"210719_a25"	"129L"	666.3862168	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	6.50186940756551
"210719_a25"	14557507	682.8888299	539.665371	1	""	"12H"	"bread"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.980903497	2.298014667	2.441238126	"210719_a25"	"12H"	539.665371	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	6.29094926414191
"210719_a25"	14557507	735.5892155	394.1204655	1	""	"130L"	"tent"	"aM"	"vM"	"L"	"a"	"aMvM"	2.481927767	1.746338552	2.087807302	"210719_a25"	"130L"	394.1204655	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	5.97665661256593
"210719_a25"	14557507	452.0993602	217.8896486	1	""	"131L"	"thief"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.695488842	2.243389482	2.477599194	"210719_a25"	"131L"	217.8896486	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	5.38398873554451
"210719_a25"	14557507	519.8635281	213.0563943	1	""	"132H"	"thorns"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.815227413	2.295363884	2.602171018	"210719_a25"	"132H"	213.0563943	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	5.36155689263799
"210719_a25"	14557507	557.8573784	321.9010912	1	""	"133L"	"throat"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.397402399	1.839545021	2.075501308	"210719_a25"	"133L"	321.9010912	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	5.77424432817165
"210719_a25"	14557507	557.6880556	432.8554097	1	""	"136L"	"trail"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.419583905	1.861895849	1.986728495	"210719_a25"	"136L"	432.8554097	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	6.07040374544669
"210719_a25"	14557507	565.8679094	370.3420153	1	""	"137H"	"trap"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.577273803	2.011405894	2.206931788	"210719_a25"	"137H"	370.3420153	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	5.91442694435109
"210719_a25"	14557507	581.6158676	305.5873589	1	""	"138L"	"truck"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.530767109	1.949151242	2.22517975	"210719_a25"	"138L"	305.5873589	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	5.7222356915808
"210719_a25"	14557507	628.7897706	453.1987072	1	""	"139L"	"tub"	"aM"	"vM"	"L"	"a"	"aMvM"	3.009774754	2.380984984	2.556576047	"210719_a25"	"139L"	453.1987072	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	6.11633067654608
"210719_a25"	14557507	613.2875267	489.5912171	1	""	"140L"	"van"	"aNM"	"vM"	"L"	"a"	"aNMvM"	3.207581337	2.59429381	2.71799012	"210719_a25"	"140L"	489.5912171	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	6.19357079210747
"210719_a25"	14557507	445.6247687	99.87518804	1	""	"141H"	"wax"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.766028708	2.320403939	2.66615352	"210719_a25"	"141H"	99.87518804	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	4.60392128683811
"210719_a25"	14557507	516.5641259	378.5965474	1	""	"14H"	"broom"	"aM"	"vM"	"H"	"a"	"aMvM"	2.553078669	2.036514543	2.174482122	"210719_a25"	"14H"	378.5965474	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	5.93647111934642
"210719_a25"	14557507	530.3889813	364.0291824	1	""	"15L"	"bruise"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.593946382	2.063557401	2.2299172	"210719_a25"	"15L"	364.0291824	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	5.89723403585175
"210719_a25"	14557507	444.6007035	282.5108597	1	""	"16H"	"cake"	"aM"	"vNM"	"H"	"a"	"aMvNM"	3.094756561	2.650155858	2.812245702	"210719_a25"	"16H"	282.5108597	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	5.64371699126357
"210719_a25"	14557507	569.8762103	337.3962517	1	""	"17L"	"calf"	"aM"	"vNM"	"L"	"a"	"aMvNM"	3.293321004	2.723444794	2.955924752	"210719_a25"	"17L"	337.3962517	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	5.82125806068442
"210719_a25"	14557507	487.4076185	255.2408504	1	""	"19L"	"chat"	"aM"	"vM"	"L"	"a"	"aMvM"	2.817978243	2.330570625	2.562737393	"210719_a25"	"19L"	255.2408504	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	5.54220761076078
"210719_a25"	14557507	697.6910775	308.1145425	1	""	"20L"	"chunks"	"aNM"	"vM"	"L"	"a"	"aNMvM"	3.019134983	2.321443905	2.71102044	"210719_a25"	"20L"	308.1145425	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	5.73047160507294
"210719_a25"	14557507	511.9430047	216.882588	1	""	"22L"	"cliff"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.480189941	1.968246937	2.263307353	"210719_a25"	"22L"	216.882588	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	5.37935613798532
"210719_a25"	14557507	623.9699927	387.6431078	1	""	"23L"	"clock"	"aM"	"vM"	"L"	"a"	"aMvM"	2.930356561	2.306386568	2.542713453	"210719_a25"	"23L"	387.6431078	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	5.96008509106669
"210719_a25"	14557507	757.5297268	702.6112003	1	""	"24L"	"clue"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.992367943	2.234838216	2.289756743	"210719_a25"	"24L"	702.6112003	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	6.554803680923
"210719_a25"	14557507	564.2146802	254.0959302	1	""	"25H"	"coach"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.605006482	2.040791802	2.350910552	"210719_a25"	"25H"	254.0959302	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	5.53771187366893
"210719_a25"	14557507	688.252408	396.8600469	1	""	"26L"	"coast"	"aM"	"vNM"	"L"	"a"	"aMvNM"	3.026659224	2.338406816	2.629799177	"210719_a25"	"26L"	396.8600469	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	5.98358369183479
"210719_a25"	14557507	532.6981812	396.7440145	1	""	"27L"	"coin"	"aM"	"vM"	"L"	"a"	"aMvM"	2.885228668	2.352530487	2.488484654	"210719_a25"	"27L"	396.7440145	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	5.98329127296632
"210719_a25"	14557507	638.1744148	288.9219638	1	""	"28L"	"cops"	"aNM"	"vM"	"L"	"a"	"aNMvM"	3.016534845	2.37836043	2.727612881	"210719_a25"	"28L"	288.9219638	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	5.66615663019679
"210719_a25"	14557507	667.0767067	375.5091223	1	""	"29H"	"crash"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.830847656	2.163770949	2.455338534	"210719_a25"	"29H"	375.5091223	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	5.92828276465078
"210719_a25"	14557507	380.5048234	274.7326731	1	""	"2H"	"barn"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.303646003	1.92314118	2.02891333	"210719_a25"	"2H"	274.7326731	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	5.61579852705488
"210719_a25"	14557507	502.312924	423.1477961	1	""	"30L"	"crew"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.700194161	2.197881237	2.277046365	"210719_a25"	"30L"	423.1477961	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	6.04772151778399
"210719_a25"	14557507	602.8264649	404.0980496	1	""	"32L"	"crop"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.947360385	2.34453392	2.543262336	"210719_a25"	"32L"	404.0980496	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	6.00165754554469
"210719_a25"	14557507	432.8046421	345.8380472	1	""	"33H"	"crown"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.284481066	1.851676424	1.938643019	"210719_a25"	"33H"	345.8380472	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	5.84597059380168
"210719_a25"	14557507	406.0537938	264.8857026	1	""	"35H"	"curb"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.845222469	2.439168675	2.580336766	"210719_a25"	"35H"	264.8857026	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	5.57929842200151
