"Participant Public ID","Experiment Version","Participant OS","Participant Browser","randomiser-t27m","date of birth-year","date of birth-month","sex","languages","response-6","response-6-text","mask problems","Difficulty.x","Tiring","more info on masks","Difficulty.y","Distraction","response-4-1","response-4-2","response-4-3","response-4-4","response-4-text","response-5","Comments"
"210719_a15",5,"Mac OS 10.15.7","Safari 14.1.1","Version1",29,2,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,4,"I like to see facial expressions because I prefer the emotive context behind speech",2,1,"Everything worked well",NA,NA,NA,NA,"loading time - twice","I would be interested in hearing the findings when they are ready to be shared please."
"210719_a22",7,"Mac OS 10.15.7","Safari 14.0.2","Version8",25,6,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"Yes sometimes",3,4,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA
"210719_a25",7,"Windows 10","Chrome 92.0.4515.107","Version8",26,3,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,2,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA
"210719_a42",7,"Chromium OS 13904.77.0","Chrome 91.0.4472.147","Version5",20,10,"Female","English and another language (bilingual)","Raised in the UK from this age (please specify):","7","Yes frequently",4,4,"I never realised how much I rely on lip reading just in normal conversation until everyone started wearing masks",3,1,"Everything worked well",NA,NA,NA,NA,NA,NA
"210725_a101",8,"Windows 10","Chrome 91.0.4472.164","Version6",45,11,"Female","English","Born and raised in the UK",NA,"Yes sometimes",2,2,"",1,1,"Everything worked well","",NA,"",NA,"","'a notch' in South English sounds identical to 'an arch' in Northern English"
"210719_a41",8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!"
"210725_a105",8,"Windows 10","Chrome 91.0.4472.101","Version6",49,1,"Female","English","Born and raised in the UK",NA,"Yes frequently",3,4,"work in audiology in NHS. Majority of pts have a hearing loss and we struggle with communication both ways",1,1,"Everything worked well","",NA,"",NA,"It started raining and this sounded heavy on the roof of the building. My phone beeped once with a message.","no"
"210719_a68",8,"Windows 10","Chrome 92.0.4515.107","Version2",23,1,"Male","English","Born and raised in the UK",NA,"Yes sometimes",3,3,"",2,1,"Everything worked well","",NA,"",NA,"",""
"210725_a102",8,"Windows 10","Chrome 90.0.4430.212","Version4",32,5,"Female","English","Born and raised in the UK",NA,"No",2,3,"",1,1,"Everything worked well","",NA,"",NA,"",""
"210725_a107",8,"Windows 10","Chrome 91.0.4472.164","Version1",35,10,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"No",2,4,"",1,2,"Everything worked well","",NA,"",NA,"",""
"210723_a76",8,"Windows 10","Chrome 92.0.4515.107","Version8",21,8,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,1,"Sometimes there is absolutely no problem understanding and sometimes it is quite hard.",2,1,"Everything worked well","",NA,"",NA,"Sometimes it took a while to load my responses.","I really enjoyed doing it - than you so much!"
