"parid","scheduleID","accuracy","original_label","note.x","correctans","note.y","duration2","id"
"210719_a25",14557507,1,"14557507_39HaNMvM","including pre-nasalisation","dent","1_including pre-nasalisation",0.114772671568623,67
"210719_a25",14557507,1,"14557507_9LaNMvNM","including prenasalisation","blast","1_including prenasalisation",0.124345416666671,128
"210719_c12",14456668,1,"14456668_112HaNMvNM","onset not sure","shed","1_onset not sure",0.102570601851852,13
"210719_c12",14456668,1,"14456668_12HaNMvNM","including pre-nasalisation","bread","1_including pre-nasalisation",0.176312499999998,30
"210719_c12",14456668,1,"14456668_131HaMvM","preceded by f","thief","1_preceded by f",0.121082916666662,32
"210719_c12",14456668,1,"14456668_132LaMvNM","say 'many thorns'","thorns","1_say 'many thorns'",0.27025536616161,33
"210719_c12",14456668,1,"14456668_2HaNMvNM","pre-nasalisation","barn","1_pre-nasalisation",0.137320900537645,58
"210719_c12",14456668,1,"14456668_38HaNMvM","pre-nasalisation","den","1_pre-nasalisation",0.292417708333346,66
"210719_c12",14456668,1,"14456668_58HaNMvM","including pre-nasalisation","goal","1_including pre-nasalisation",0.0513104166666523,86
"210719_c12",14456668,1,"14456668_5HaNMvM","pre-nasalisation","beam","1_pre-nasalisation",0.147233101851839,88
"210719_c12",14456668,1,"14456668_60LaNMvNM","pre-nasalisation","grin","1_pre-nasalisation",0.196756558641951,89
"210719_c12",14456668,1,"14456668_61HaMvM","pre-nasalisation","growl","1_pre-nasalisation",0.287266426282031,90
"210719_c12",14456668,1,"14456668_72LaNMvNM","pre-nasalisation","juice","1_pre-nasalisation",0.101754166666652,101
"210719_c47",14557278,1,"14557278_23HaMvM"," s","clock","1__ s",0.6908463010204,50
"210719_c47",14557278,1,"14557278_72HaMvM","unsure_juiced","juice","1_unsure_juiced",0.718084508145409,99
"210719_c53",15074698,1,"15074698_12LaNMvM","pre-nasaling","bread","1__pre-nasaling",0.557052083333332,30
"210719_c53",15074698,1,"15074698_140HaNMvNM","pre-nasaling","van","1__pre-nasaling",0.608193569862152,41
"210719_c53",15074698,1,"15074698_41HaMvM","pre-nasaling","dive","1__pre-nasaling",0.823388262750399,70
