label	timetype	timepoint
14729926_100LaMvNM	b	7.957348908293926
14729926_100LaMvNM	rstart	10.031302083333333
14729926_102LaNMvM	b	37.133592519340134
14729926_102LaNMvM	rstart	39.53671875
14729926_105LaMvNM	b	103.51879142681058
14729926_105LaMvNM	rstart	106.38815625
14729926_107HaNMvM	b	118.6310230600587
14729926_107HaNMvM	rstart	121.15463541666666
14729926_110LaMvNM	b	167.72864466817333
14729926_110LaMvNM	rstart	170.29867708333333
14729926_113HaMvNM	b	199.62708044220733
14729926_113HaMvNM	rstart	201.90623958333333
14729926_114LaNMvM	b	207.93216022345212
14729926_114LaNMvM	rstart	210.46732291666666
14729926_115LaMvM	b	214.71619578147323
14729926_115LaMvM	rstart	217.34311331700982
14729926_116LaNMvNM	b	222.5705388503319
14729926_116LaNMvNM	rstart	225.25338541666667
14729926_117HaMvNM	b	233.6834475600991
14729926_117HaMvNM	rstart	236.63805208333332
14729926_119LaMvM	b	262.11429640319085
14729926_119LaMvM	rstart	264.96582291666664
14729926_120LaNMvNM	b	271.8939151444323
14729926_120LaNMvNM	rstart	274.47880208333333
14729926_121HaMvNM	b	282.2569304362204
14729926_121HaMvNM	rstart	285.00096874999997
14729926_122LaNMvM	b	295.1880205839606
14729926_122LaNMvM	rstart	297.81215625
14729926_124LaNMvNM	b	317.6665394085026
14729926_124LaNMvNM	rstart	327.14128124999996
14729926_126HaMvNM	b	335.84360645590414
14729926_126HaMvNM	rstart	338.21638541666664
14729926_128LaMvM	b	352.0761620322581
14729926_128LaMvM	rstart	354.59384374999996
14729926_129HaMvM	b	363.92921395993403
14729926_129HaMvM	rstart	366.1486145833333
14729926_131LaMvNM	b	399.1217489040658
14729926_131LaMvNM	rstart	401.96857291666663
14729926_132HaNMvM	b	408.862293141855
14729926_132HaNMvM	rstart	411.7934895833333
14729926_133HaMvM	b	419.3192351295576
14729926_133HaMvM	rstart	421.97057291666664
14729926_136LaMvNM	b	437.6174125003215
14729926_136LaMvNM	rstart	442.73190625
14729926_137HaNMvM	b	454.51258255995737
14729926_137HaNMvM	rstart	456.76782291666666
14729926_139HaNMvNM	b	472.94299326163724
14729926_139HaNMvNM	rstart	475.46328124999997
14729926_140LaMvNM	b	499.9746621063158
14729926_140LaMvNM	rstart	502.57276041666665
14729926_15LaNMvM	b	542.1522837767131
14729926_15LaNMvM	rstart	544.6407604166667
14729926_17HaMvM	b	573.4315963442975
14729926_17HaMvM	rstart	576.2048645833333
14729926_20LaMvNM	b	598.0777073009663
14729926_20LaMvNM	rstart	601.2601145833333
14729926_21HaNMvM	b	609.9883843196545
14729926_21HaNMvM	rstart	619.7143229166667
14729926_24LaMvNM	b	651.9702333502565
14729926_24LaMvNM	rstart	654.44640625
14729926_25HaNMvM	b	666.2874929940464
14729926_25HaNMvM	rstart	668.8321354166667
14729926_26HaMvM	b	674.3719086307408
14729926_26HaMvM	rstart	678.7226770833333
14729926_27HaNMvNM	b	684.8554112704713
14729926_27HaNMvNM	rstart	692.4246145833333
14729926_28LaMvNM	b	701.6895340019339
14729926_28LaMvNM	rstart	704.61340625
14729926_29HaNMvM	b	711.6286608573522
14729926_29HaNMvM	rstart	714.0876979166667
14729926_2LaNMvNM	b	723.4274844783198
14729926_2LaNMvNM	rstart	725.58621875
14729926_31HaNMvNM	b	766.8519551971951
14729926_31HaNMvNM	rstart	769.1293229166666
14729926_32LaMvNM	b	777.4052529606317
14729926_32LaMvNM	rstart	780.5590074404762
14729926_33HaNMvM	b	790.381835545186
14729926_33HaNMvM	rstart	792.6393229166666
14729926_36HaMvNM	b	811.8611466404836
14729926_36HaMvNM	rstart	814.24765625
14729926_37LaNMvM	b	820.8273200970314
14729926_37LaNMvM	rstart	823.6309479166666
14729926_38LaMvM	b	832.1025248993195
14729926_38LaMvM	rstart	834.8664895833333
14729926_40HaMvNM	b	867.9573356316818
14729926_40HaMvNM	rstart	873.3513020833333
14729926_42LaMvM	b	907.883061697469
14729926_42LaMvM	rstart	910.2782604166666
14729926_43LaNMvNM	b	914.8066570555902
14729926_43LaNMvNM	rstart	917.6281145833333
14729926_44LaNMvNM	b	929.0486066650634
14729926_44LaNMvNM	rstart	932.14234375
14729926_45HaMvNM	b	946.0233897792278
14729926_45HaMvNM	rstart	948.91728125
14729926_46HaMvNM	b	958.162670347859
14729926_46HaMvNM	rstart	960.8308645833333
14729926_47LaNMvM	b	972.1101981489492
14729926_47LaNMvM	rstart	974.5315729166666
14729926_53HaMvNM	b	1048.4616334416662
14729926_53HaMvNM	rstart	1050.5963854166664
14729926_54HaNMvM	b	1062.5927663466273
14729926_54HaNMvM	rstart	1065.3201145833332
14729926_55HaNMvNM	b	1077.2753804606336
14729926_55HaNMvNM	rstart	1079.9980127314814
14729926_58LaMvM	b	1097.1533617468654
14729926_58LaMvM	rstart	1099.9330312499999
14729926_59HaMvM	b	1112.4697431505215
14729926_59HaMvM	rstart	1114.6281770833332
14729926_5LaMvM	b	1127.797685384162
14729926_5LaMvM	rstart	1130.5397187499998
14729926_62HaNMvM	b	1172.686331049333
14729926_62HaNMvM	rstart	1174.9586770833332
14729926_63HaMvM	b	1180.1391024789648
14729926_63HaMvM	rstart	1182.8144687499998
14729926_64HaNMvNM	b	1188.6887045117005
14729926_64HaNMvNM	rstart	1191.1686770833333
14729926_65LaMvNM	b	1203.2891929928508
14729926_65LaMvNM	rstart	1205.6919479166665
14729926_66HaNMvM	b	1220.8754736839899
14729926_66HaNMvM	rstart	1223.6437187499998
14729926_67HaMvM	b	1228.8362195284367
14729926_67HaMvM	rstart	1231.4698020833332
14729926_68HaNMvNM	b	1237.973997559044
14729926_68HaNMvNM	rstart	1245.9180520833331
14729926_69LaMvNM	b	1255.458726673604
14729926_69LaMvNM	rstart	1258.261677083333
14729926_70HaNMvM	b	1264.111619808327
14729926_70HaNMvM	rstart	1266.4613229166664
14729926_73LaMvNM	b	1299.4082586355648
14729926_73LaMvNM	rstart	1302.0454687499998
14729926_74HaNMvM	b	1308.1549430307616
14729926_74HaNMvM	rstart	1310.8502604166665
14729926_76HaMvNM	b	1341.593858822674
14729926_76HaMvNM	rstart	1344.1290312499998
14729926_80LaNMvNM	b	1392.221039905352
14729926_80LaNMvNM	rstart	1394.9331354166666
14729926_81HaMvNM	b	1401.4752108919035
14729926_81HaMvNM	rstart	1404.2097604166665
14729926_82LaNMvM	b	1412.731962667609
14729926_82LaNMvM	rstart	1415.9150104166665
14729926_83LaMvM	b	1430.191103592529
14729926_83LaMvM	rstart	1432.5780520833332
14729926_85LaNMvNM	b	1443.41730227279
14729926_85LaNMvNM	rstart	1445.7373229166665
14729926_86HaMvNM	b	1454.779688243586
14729926_86HaMvNM	rstart	1456.6762812499999
14729926_87LaNMvM	b	1467.713742680746
14729926_87LaNMvM	rstart	1470.2737812499997
14729926_8HaMvNM	b	1525.8480800944008
14729926_8HaMvNM	rstart	1528.4086979166666
14729926_90HaMvNM	b	1547.5484654675251
14729926_90HaMvNM	rstart	1550.1785104166665
14729926_93LaMvM	b	1563.0306990263293
14729926_93LaMvM	rstart	1565.6962395833332
14729926_94HaMvM	b	1577.3075036055682
14729926_94HaMvM	rstart	1579.9297604166666
14729926_95HaNMvNM	b	1587.7002442811297
14729926_95HaNMvNM	rstart	1590.27928125
