label	timetype	timepoint
14783259_100LaMvNM	b	1.3418669997471628
14783259_100LaMvNM	rstart	4.124478458049887
14783259_102LaNMvM	b	28.50650863968208
14783259_102LaNMvM	rstart	32.82899092970521
14783259_103HaMvM	b	36.947185114335944
14783259_103HaMvM	rstart	40.384692846835705
14783259_104HaNMvNM	b	43.062198953044394
14783259_104HaNMvNM	rstart	46.34674603174603
14783259_105LaMvNM	b	48.415201091322906
14783259_105LaMvNM	rstart	51.85256235827664
14783259_107HaNMvM	b	53.728997225568634
14783259_107HaNMvM	rstart	56.89277777777777
14783259_108HaMvM	b	59.991257092103716
14783259_108HaMvM	rstart	63.543072562358276
14783259_109HaNMvNM	b	65.5224587542989
14783259_109HaNMvNM	rstart	67.92629457843745
14783259_10LaMvM	b	70.43892838841282
14783259_10LaMvM	rstart	73.58837868480727
14783259_110LaMvNM	b	75.8956279580739
14783259_110LaMvNM	rstart	78.80891156462584
14783259_111HaNMvM	b	81.18388785998528
14783259_111HaNMvM	rstart	83.7730634920635
14783259_112LaNMvNM	b	86.3644866553015
14783259_112LaNMvNM	rstart	89.30563492063493
14783259_113HaMvNM	b	91.29766119363558
14783259_113HaMvNM	rstart	93.88208994708995
14783259_114LaNMvM	b	96.65746735512474
14783259_114LaNMvM	rstart	99.13134070294785
14783259_115LaMvM	b	108.15832816523137
14783259_115LaMvM	rstart	111.47658730158732
14783259_117HaMvNM	b	149.30039578159963
14783259_117HaMvNM	rstart	151.87295918367346
14783259_118LaNMvM	b	154.89778120241553
14783259_118LaNMvM	rstart	158.38030612244899
14783259_119LaMvM	b	166.2161319236613
14783259_119LaMvM	rstart	169.78017006802722
14783259_120LaNMvNM	b	171.94236236868426
14783259_120LaNMvNM	rstart	174.6759448223734
14783259_121HaMvNM	b	177.63050188394425
14783259_121HaMvNM	rstart	180.74221088435374
14783259_122LaNMvM	b	183.2986289705547
14783259_122LaNMvM	rstart	186.77212018140588
14783259_123LaMvM	b	188.99620886966622
14783259_123LaMvM	rstart	192.0183560090703
14783259_124LaNMvNM	b	194.46115258245203
14783259_124LaNMvNM	rstart	197.91527210884354
14783259_126HaMvNM	b	203.84787973142494
14783259_126HaMvNM	rstart	207.16649659863944
14783259_127LaNMvM	b	208.99027010109987
14783259_127LaNMvM	rstart	212.19318027210883
14783259_128LaMvM	b	214.23321741793052
14783259_128LaMvM	rstart	217.2286507936508
14783259_129HaMvM	b	233.64917573771137
14783259_129HaMvM	rstart	236.9327551020408
