"sentence_label","number","condition","label_p1","label_p2","word_label","time_p1","time_p2","combine","beep","length1","length2"
"2H_aM","2H","aM","0","1","barn",2.31064930555556,2.4207199754902,"2H barn",0.364139035355676,1.94651027019988,2.05658094013452
"2L_aM","2L","aM","0","1","barn",5.36697826086957,5.4661625,"2L barn",3.51171970870678,1.85525855216279,1.95444279129322
"3H_aM","3H","aM","vow","vowh","bay",8.68929166666667,8.7688318452381,"3H bay",6.71629302434323,1.97299864232343,2.05253882089486
"3L_aM","3L","aM","vow","vowh","bay",12.0706345833333,12.1172708333333,"3L bay",9.65294742698356,2.41768715634977,2.46432340634977
"4H_aM","4H","aM","0","1","beak",16.1712267628205,16.3856851851852,"4H beak",13.7522326037409,2.41899415907956,2.63345258144424
"4L_aM","4L","aM","0","1","beak",19.8129596354167,19.9973262061404,"4L beak",17.5955845545787,2.21737508083795,2.40174165156163
"5H_aM","5H","aM","0","1","beam",23.6141755952381,23.75864375,"5H beam",21.3279551361804,2.2862204590577,2.4306886138196
"5L_aM","5L","aM","0","1","beam",27.1980270833333,27.3357923611111,"5L beam",25.0556727488692,2.14235433446412,2.2801196122419
"7H_aM","7H","aM","0","1","bend",30.9003194444444,31.1722303240741,"7H bend",28.7610274354788,2.13929200896562,2.41120288859525
"7L_aM","7L","aM","0","1","bend",34.3018667385057,34.5899925595238,"7L bend",32.1470475625194,2.15481917598638,2.44294499700445
"8H_aM","8H","aM","0","1","blame",38.2325729166667,38.3080604166667,"8H blame",35.8136603212725,2.41891259539419,2.49440009539419
"8L_aM","8L","aM","0","1","blame",41.500815625,41.6254427083333,"8L blame",39.7315250873001,1.76929053769994,1.89391762103327
"9H_aM","9H","aM","0","1","blast",44.7512482638889,45.0622118055556,"9H blast",42.4891119709431,2.26213629294577,2.57309983461244
"9L_aM","9L","aM","0","1","blast",48.3061909722222,48.6452451388889,"9L blast",46.4185339508973,1.88765702132491,2.22671118799157
"10H_aM","10H","aM","0","1","bowl",52.3202433814757,52.4910785984848,"10H bowl",50.0193951468615,2.30084823461424,2.47168345162336
"10L_aM","10L","aM","0","1","bowl",56.209853219697,56.3478976715686,"10L bowl",53.7969216132063,2.41293160649064,2.5509760583623
"11H_aM","11H","aM","0","1","brat",59.8472395833333,60.0600639880952,"11H brat",57.6570058064317,2.19023377690164,2.40305818166355
"11L_aM","11L","aM","0","1","brat",63.3481633928571,63.5693395833333,"11L brat",61.2404265859298,2.10773680692737,2.32891299740356
"12H_aM","12H","aM","0","1","bread",67.4569855769231,67.6397215277778,"12H bread",65.0757848252255,2.38120075169761,2.5639367025523
"12L_aM","12L","aM","0","1","bread",70.7840451388889,70.9485511775362,"12L bread",68.8321014323085,1.95194370658034,2.11644974522768
"13H_aM","13H","aM","0","1","breath",74.1314056461353,74.3618609068627,"13H breath",71.8598740226113,2.27153162352393,2.50198688425141
"13L_aM","13L","aM","0","1","breath",78.3030107276119,78.40453125,"13L breath",75.7428967917903,2.5601139358216,2.66163445820968
"14H_aM","14H","aM","0","1","broom",81.2086603976458,81.3466279761905,"14H broom",79.1721458543263,2.03651454331948,2.17448212186416
"14L_aM","14L","aM","0","1","broom",84.8250500992064,84.9052951388889,"14L broom",82.2783764339189,2.54667366528746,2.62691870497
"15H_aM","15H","aM","0","1","bruise",88.73476625,88.9101423611111,"15H bruise",86.4228938895782,2.31187236042176,2.48724847153288
"15L_aM","15L","aM","0","1","bruise",92.7729087009804,92.9172153897849,"15L bruise",90.6486340845408,2.12427461643958,2.26858130524413
"16H_aM","16H","aM","0","1","cake",96.5819401041667,96.7440299479167,"16H cake",93.9317842464132,2.65015585775348,2.81224570150347
"16L_aM","16L","aM","0","1","cake",100.644919407895,100.85484375,"16L cake",98.1999370884158,2.44498231947895,2.65490666158422
"17H_aM","17H","aM","0","1","calf",104.407067956349,104.600564453125,"17H calf",101.853189537472,2.55387841887708,2.74737491565287
"17L_aM","17L","aM","0","1","calf",108.80118287037,109.033662828947,"17L calf",106.07773807681,2.72344479355992,2.95592475213691
