filename	num_of_intervals
210719_a08check.TextGrid	128
210719_a09check.TextGrid	128
210719_a25check.TextGrid	128
210719_a40check.TextGrid	128
210719_a41check.TextGrid	127
210719_c08check.TextGrid	126
210719_c12check.TextGrid	128
210719_c26check.TextGrid	128
210719_c27check.TextGrid	126
210719_c29check.TextGrid	124
210719_c47check.TextGrid	125
210719_c51check.TextGrid	125
210719_c53check.TextGrid	128
210719_c66check.TextGrid	121
210719_c71check.TextGrid	125
210723_a76check.TextGrid	128
210723_a78check.TextGrid	121
210723_a79check.TextGrid	126
210725_a120check.TextGrid	128
210725_a130check.TextGrid	128
210725_a132check.TextGrid	128
210725_a133check.TextGrid	127
210725_a138check.TextGrid	128
210725_a139check.TextGrid	128
210725_a147check.TextGrid	124
210725_a152check.TextGrid	127
210725_a156check.TextGrid	115
210725_a165check.TextGrid	127
210725_a176check.TextGrid	128
210725_a177check.TextGrid	128
210725_a185check.TextGrid	128
210725_a81check.TextGrid	128
210725_a84check.TextGrid	126
210725_a90check.TextGrid	128
210725_a96check.TextGrid	128
210725_a98check.TextGrid	128
210725_c122check.TextGrid	128
210725_c124check.TextGrid	120
210725_c125check.TextGrid	120
210725_c128check.TextGrid	127
210725_c130check.TextGrid	127
210725_c133check.TextGrid	123
210725_c135check.TextGrid	127
210725_c141check.TextGrid	128
210725_c76check.TextGrid	127
210725_c81check.TextGrid	126
210725_c84check.TextGrid	122
210725_c86check.TextGrid	121
210725_c94check.TextGrid	127
210823_c177check.TextGrid	127
210823_c179check.TextGrid	128
210823_c180check.TextGrid	127
