label	timetype	timepoint
15074698_100HaNMvNM	b	1.788310975650112
15074698_100HaNMvNM	rstart	4.27890625
15074698_101LaMvM	b	15.264693888955502
15074698_101LaMvM	rstart	18.439256135844747
15074698_102LaNMvM	b	23.1266736548804
15074698_102LaNMvM	rstart	25.831796874999995
15074698_103HaMvNM	b	29.9347338290282
15074698_103HaMvNM	rstart	33.667648897058825
15074698_104HaNMvM	b	36.7304828984829
15074698_104HaNMvM	rstart	39.719802083333335
15074698_105HaNMvNM	b	44.12362574400676
15074698_105HaNMvNM	rstart	46.76872916666667
15074698_107LaMvM	b	53.99956086279056
15074698_107LaMvM	rstart	57.148010416666665
15074698_108HaMvNM	b	60.59590184581812
15074698_108HaMvNM	rstart	63.56954255952381
15074698_109HaNMvM	b	68.52364672406439
15074698_109HaNMvM	rstart	70.98921821581197
15074698_10LaMvNM	b	74.42834924838587
15074698_10LaMvNM	rstart	77.66738541666666
15074698_110HaNMvNM	b	83.79233301126405
15074698_110HaNMvNM	rstart	86.22538541666667
15074698_111LaMvM	b	89.5047234489452
15074698_111LaMvM	rstart	92.24088541666667
15074698_112LaNMvM	b	95.38033056715845
15074698_112LaNMvM	rstart	97.99823768939393
15074698_113LaNMvNM	b	100.9712694409662
15074698_113LaNMvNM	rstart	103.31271875
15074698_114HaMvM	b	108.83432682134773
15074698_114HaMvM	rstart	111.06109375
15074698_115LaMvNM	b	116.14174510082887
15074698_115LaMvNM	rstart	118.99581905864197
15074698_116LaNMvM	b	123.32924962940513
15074698_116LaNMvM	rstart	126.30305208333333
15074698_117LaNMvNM	b	133.38427187046346
15074698_117LaNMvNM	rstart	136.22896875
15074698_118HaMvM	b	141.00995112712693
15074698_118HaMvM	rstart	143.38857859848486
15074698_119LaMvNM	b	149.38837372541275
15074698_119LaMvNM	rstart	152.39386458333334
15074698_120LaNMvM	b	155.21494879079984
15074698_120LaNMvM	rstart	157.70792291666666
15074698_121LaNMvNM	b	163.4025396668616
15074698_121LaNMvNM	rstart	166.24196614583332
15074698_122HaMvM	b	173.34470983753098
15074698_122HaMvM	rstart	176.05902857905983
15074698_123LaMvNM	b	179.96955135793743
15074698_123LaMvNM	rstart	182.96030208333332
15074698_124LaNMvM	b	185.8632739944861
15074698_124LaNMvM	rstart	188.68094791666667
15074698_126LaNMvNM	b	196.14753877686172
15074698_126LaNMvNM	rstart	198.68843541666666
15074698_127HaMvM	b	203.85705830755046
15074698_127HaMvM	rstart	206.40176041666666
15074698_128LaMvNM	b	209.52739243929634
15074698_128LaMvNM	rstart	211.9745
15074698_129HaMvNM	b	215.00008510498424
15074698_129HaMvNM	rstart	217.58428125
15074698_12LaNMvM	b	220.70239383358108
15074698_12LaNMvM	rstart	223.04628125
15074698_130HaNMvM	b	228.0319133520925
15074698_130HaNMvM	rstart	230.59444791666667
15074698_131HaNMvNM	b	233.92956465402062
15074698_131HaNMvNM	rstart	236.53655208333333
15074698_132LaMvM	b	242.99928591407553
15074698_132LaMvM	rstart	245.87326041666665
15074698_133HaMvNM	b	249.7037628528498
15074698_133HaMvNM	rstart	252.77446874999998
15074698_134HaNMvM	b	255.79900654567865
15074698_134HaNMvM	rstart	258.36948958333335
15074698_136HaNMvNM	b	261.5487509320103
15074698_136HaNMvNM	rstart	263.68378125
15074698_137LaMvM	b	266.3478525828172
15074698_137LaMvM	rstart	269.77323958333335
15074698_138HaMvNM	b	275.03650163754725
15074698_138HaMvNM	rstart	278.59365777439024
15074698_139HaNMvM	b	282.6127458682243
15074698_139HaNMvM	rstart	285.29563541666664
15074698_13HaMvM	b	294.8844018931018
15074698_13HaMvM	rstart	298.0650303240741
15074698_140HaNMvNM	b	300.5848864802189
15074698_140HaNMvNM	rstart	303.45317708333334
15074698_141LaMvM	b	306.846453181235
15074698_141LaMvM	rstart	309.46715625
15074698_14LaNMvNM	b	313.0524319467803
15074698_14LaNMvNM	rstart	316.11019791666666
15074698_15HaMvM	b	319.5401007720608
15074698_15HaMvM	rstart	322.1625520833333
15074698_16LaMvNM	b	325.91980022514304
15074698_16LaMvNM	rstart	328.99009374999997
15074698_17HaMvNM	b	332.5129572441595
15074698_17HaMvNM	rstart	335.48368229166664
15074698_19HaNMvM	b	342.1050646833043
15074698_19HaNMvM	rstart	345.0793645833333
15074698_20HaNMvNM	b	350.70238853302965
15074698_20HaNMvNM	rstart	353.1246371527778
15074698_21LaMvM	b	360.04985874229214
15074698_21LaMvM	rstart	363.3933020833333
15074698_22HaMvNM	b	390.4074642835305
15074698_22HaMvNM	rstart	393.1114270833333
15074698_23HaNMvM	b	397.12415131750754
15074698_23HaNMvM	rstart	399.7177317708333
15074698_24HaNMvNM	b	403.6225913890337
15074698_24HaNMvNM	rstart	406.36013541666665
15074698_25LaMvM	b	416.1690872052126
15074698_25LaMvM	rstart	420.03736875
15074698_26HaMvNM	b	422.74825653509805
15074698_26HaMvNM	rstart	425.31460416666664
15074698_27HaNMvM	b	430.54635029994745
15074698_27HaNMvM	rstart	433.83959375
15074698_28HaNMvNM	b	441.0299226180819
15074698_28HaNMvNM	rstart	443.6545208333333
15074698_29LaMvM	b	447.02561932550367
15074698_29LaMvM	rstart	450.15039732142856
15074698_2LaNMvM	b	455.8002151728737
15074698_2LaNMvM	rstart	457.90068229166667
15074698_30HaMvNM	b	461.35496616922705
15074698_30HaMvNM	rstart	463.95326041666664
15074698_31HaNMvM	b	470.13772986119903
15074698_31HaNMvM	rstart	472.45034375
15074698_32HaNMvNM	b	479.0876270916486
15074698_32HaNMvNM	rstart	481.78758854166665
15074698_33LaMvM	b	486.7653001085175
15074698_33LaMvM	rstart	489.6114583333333
15074698_35LaNMvM	b	493.63868338865024
15074698_35LaNMvM	rstart	495.9962395833333
15074698_36LaNMvNM	b	505.3816526648683
15074698_36LaNMvNM	rstart	507.9838854166666
15074698_37HaMvM	b	512.8848564553591
15074698_37HaMvM	rstart	515.512671875
15074698_38LaMvNM	b	518.0724201470291
15074698_38LaMvNM	rstart	520.3840659722223
15074698_39LaNMvM	b	523.5406674708221
15074698_39LaNMvM	rstart	525.9566145833334
15074698_3LaNMvNM	b	529.1528216150411
15074698_3LaNMvNM	rstart	532.4373177083332
15074698_40LaNMvNM	b	536.4752674638008
15074698_40LaNMvNM	rstart	540.00309375
15074698_41HaMvM	b	544.7681335537454
15074698_41HaMvM	rstart	548.34324125
15074698_42LaMvNM	b	553.031419937566
15074698_42LaMvNM	rstart	555.6878020833333
15074698_43LaNMvM	b	560.0973574016963
15074698_43LaNMvM	rstart	563.2017320075757
15074698_44LaNMvNM	b	566.6140080223975
15074698_44LaNMvNM	rstart	570.1027395833333
15074698_45HaMvNM	b	573.6376832478705
15074698_45HaMvNM	rstart	576.3030729166667
15074698_46LaNMvNM	b	582.3814407853473
15074698_46LaNMvNM	rstart	584.97596875
15074698_47HaMvM	b	589.3779545010643
15074698_47HaMvM	rstart	592.1315052083332
15074698_48LaNMvM	b	595.5368634421492
15074698_48LaNMvM	rstart	597.7410479166666
15074698_4HaMvM	b	600.9410489781685
15074698_4HaMvM	rstart	604.1257395833334
15074698_50LaMvNM	b	610.929701958026
15074698_50LaMvNM	rstart	614.4592604166667
15074698_51LaNMvM	b	617.0324045313212
15074698_51LaNMvM	rstart	619.8326770833334
15074698_52HaMvNM	b	625.2570074204099
15074698_52HaMvNM	rstart	627.65634375
15074698_53LaNMvNM	b	631.0288257424485
15074698_53LaNMvNM	rstart	633.7461093750001
15074698_54LaMvM	b	637.9820014307937
15074698_54LaMvM	rstart	641.2381354166666
15074698_55HaNMvNM	b	646.9635150762728
15074698_55HaNMvNM	rstart	649.5981145833333
15074698_57HaMvM	b	652.1892077226473
15074698_57HaMvM	rstart	654.8832797619048
15074698_58LaMvNM	b	659.2142295699074
15074698_58LaMvNM	rstart	661.9244322916666
15074698_59HaMvNM	b	664.4770124799172
15074698_59HaMvNM	rstart	666.6852041666666
15074698_5LaMvNM	b	670.1570297673334
