label	timetype	timepoint
14947964_100LaNMvNM	b	1.9173437336101138
14947964_100LaNMvNM	rstart	3.8985412499999996
14947964_102LaNMvM	b	13.266502897854673
14947964_102LaNMvM	rstart	15.792124999999999
14947964_103HaNMvM	b	20.408471304126465
14947964_103HaNMvM	rstart	23.64084265350877
14947964_104HaMvM	b	27.24464593770109
14947964_104HaMvM	rstart	29.910587372448976
14947964_105LaNMvNM	b	32.78163282880289
14947964_105LaNMvNM	rstart	35.513072916666665
14947964_107HaMvNM	b	39.32790797626155
14947964_107HaMvNM	rstart	41.65388352272728
14947964_108HaNMvM	b	44.58748389584985
14947964_108HaNMvM	rstart	47.29568154761905
14947964_109HaMvM	b	50.52841548678275
14947964_109HaMvM	rstart	52.710536210317464
14947964_10LaNMvM	b	56.43867343372495
14947964_10LaNMvM	rstart	59.16939973958333
14947964_110LaNMvNM	b	62.884561863092024
14947964_110LaNMvNM	rstart	65.12778382201645
14947964_111HaMvNM	b	68.04372019145285
14947964_111HaMvNM	rstart	70.36079089765101
14947964_112LaMvM	b	73.52734691276363
14947964_112LaMvM	rstart	75.93500102124183
14947964_113LaMvNM	b	79.55348934048567
14947964_113LaMvNM	rstart	81.67975125
14947964_114HaNMvNM	b	84.68564374417348
14947964_114HaNMvNM	rstart	86.9025946557971
14947964_115LaNMvM	b	89.95934531363852
14947964_115LaNMvM	rstart	92.51778567708334
14947964_116LaMvM	b	94.97012048157283
14947964_116LaMvM	rstart	97.57725902777777
14947964_117LaMvNM	b	100.67466478969611
14947964_117LaMvNM	rstart	103.30959726731602
14947964_118HaNMvNM	b	106.77202863205432
14947964_118HaNMvNM	rstart	109.15603776041667
14947964_119LaNMvM	b	112.40307905246482
14947964_119LaNMvM	rstart	115.26130208333333
14947964_120LaMvM	b	118.16897900715958
14947964_120LaMvM	rstart	120.58275054824561
14947964_121LaMvNM	b	124.01325230072872
14947964_121LaMvNM	rstart	126.58977483974358
14947964_122HaNMvNM	b	130.02718573634505
14947964_122HaNMvNM	rstart	132.37451692708333
14947964_123LaNMvM	b	135.97490864506872
14947964_123LaNMvM	rstart	138.43524479166666
14947964_124LaMvM	b	141.57443853782667
14947964_124LaMvM	rstart	144.47271319444442
14947964_126LaMvNM	b	147.53409057010055
14947964_126LaMvNM	rstart	149.89349080882351
14947964_127HaNMvNM	b	153.17651857370836
14947964_127HaNMvNM	rstart	155.77656597222222
14947964_128LaNMvM	b	158.6571031381533
14947964_128LaNMvM	rstart	160.94112586805556
14947964_129HaNMvM	b	163.59743223915174
14947964_129HaNMvM	rstart	166.72592113095237
14947964_12LaMvM	b	169.4951468368852
14947964_12LaMvM	rstart	171.97716220238095
14947964_130HaMvM	b	174.8326382298706
14947964_130HaMvM	rstart	177.23287615740742
14947964_131LaNMvNM	b	184.06902581019452
14947964_131LaNMvNM	rstart	186.73847971491227
14947964_132HaMvNM	b	189.36098841394156
14947964_132HaMvNM	rstart	192.0433767857143
14947964_133HaNMvM	b	194.90562411543593
14947964_133HaNMvM	rstart	197.34826325757575
14947964_134HaMvM	b	199.84896263156736
14947964_134HaMvM	rstart	202.12214213709677
14947964_136LaNMvNM	b	205.31378761672275
14947964_136LaNMvNM	rstart	207.49728402777777
14947964_137HaMvNM	b	210.52686221588067
14947964_137HaMvNM	rstart	212.8889578598485
14947964_138HaNMvM	b	216.45894664746248
14947964_138HaNMvM	rstart	219.44926838235295
14947964_139HaMvM	b	222.90429055831018
14947964_139HaMvM	rstart	225.2060652281746
14947964_13HaMvM	b	228.00349272098416
14947964_13HaMvM	rstart	231.28902529761905
14947964_140LaNMvNM	b	235.68394901284026
14947964_140LaNMvNM	rstart	238.59017771464644
14947964_141HaMvNM	b	241.93422181636538
14947964_141HaMvNM	rstart	244.69076171874997
14947964_14LaMvNM	b	247.93754767958086
14947964_14LaMvNM	rstart	250.88746874999998
14947964_15HaNMvNM	b	254.0398064268365
14947964_15HaNMvNM	rstart	256.5000347222222
14947964_16LaNMvM	b	259.916120364805
14947964_16LaNMvM	rstart	262.64497021198827
14947964_17HaNMvM	b	267.11016103737586
14947964_17HaNMvM	rstart	270.0808082561728
14947964_19HaMvM	b	274.0657626279968
14947964_19HaMvM	rstart	276.7361714015151
14947964_20LaNMvNM	b	279.90266638735903
14947964_20LaNMvNM	rstart	282.7383784722222
14947964_21HaMvNM	b	286.47032410633784
14947964_21HaMvNM	rstart	289.43583680555554
14947964_22HaNMvM	b	292.37961841337506
14947964_22HaNMvM	rstart	294.8846309523809
14947964_23HaMvM	b	298.1086208192038
14947964_23HaMvM	rstart	300.2762421875
14947964_24LaNMvNM	b	303.44453292308964
14947964_24LaNMvNM	rstart	305.9635126096491
14947964_25HaMvNM	b	309.27319339237545
14947964_25HaMvNM	rstart	311.8211676747312
14947964_26HaNMvM	b	315.4942231091616
14947964_26HaNMvM	rstart	317.42674652777777
14947964_27HaMvM	b	320.7112331261101
14947964_27HaMvM	rstart	323.45026799242424
14947964_28LaNMvNM	b	326.0869565775837
14947964_28LaNMvNM	rstart	328.9271408514493
14947964_29HaMvNM	b	332.7388839188605
14947964_29HaMvNM	rstart	335.4564057539682
14947964_2LaMvM	b	338.33581727909905
14947964_2LaMvM	rstart	340.6654242886179
14947964_30HaNMvM	b	343.9134968427401
14947964_30HaNMvM	rstart	346.46036521464646
14947964_31HaMvM	b	349.8209066711146
14947964_31HaMvM	rstart	351.9805908333333
14947964_32LaNMvNM	b	357.25383021115294
14947964_32LaNMvNM	rstart	359.9978977864583
14947964_33HaMvNM	b	362.981055541311
14947964_33HaMvNM	rstart	364.96355879629624
14947964_35LaMvM	b	367.73749750320707
14947964_35LaMvM	rstart	372.10269424019606
14947964_36LaMvNM	b	374.9090596031745
14947964_36LaMvNM	rstart	377.60588654279275
14947964_37HaNMvNM	b	380.85358424178946
14947964_37HaNMvNM	rstart	383.1951800595238
14947964_38LaNMvM	b	386.40416446623783
14947964_38LaNMvM	rstart	394.13689791666667
14947964_39LaMvM	b	396.553261489127
14947964_39LaMvM	rstart	398.99442013888887
14947964_3LaMvNM	b	402.10921678929043
14947964_3LaMvNM	rstart	404.91236673850574
14947964_40LaMvNM	b	407.8620400498982
14947964_40LaMvNM	rstart	410.20576846590905
14947964_41HaNMvNM	b	412.99775760127244
14947964_41HaNMvNM	rstart	415.4018828914141
14947964_42LaNMvM	b	418.24461675726917
14947964_42LaNMvM	rstart	420.96308246527775
14947964_43LaMvM	b	424.27469609663797
14947964_43LaMvM	rstart	426.63562890625
14947964_44LaNMvNM	b	430.1963522551339
14947964_44LaNMvNM	rstart	433.1570551861702
14947964_45HaMvNM	b	438.9135632226561
14947964_45HaMvNM	rstart	441.6940960648148
14947964_46LaMvNM	b	446.63899682253094
14947964_46LaMvNM	rstart	449.1741973039215
14947964_47HaNMvNM	b	451.53297176372155
14947964_47HaNMvNM	rstart	454.0321583333333
14947964_48LaNMvM	b	457.62746578952516
14947964_48LaNMvM	rstart	459.75827184139786
14947964_4HaNMvNM	b	466.0212718957421
14947964_4HaNMvNM	rstart	468.802236328125
14947964_50LaNMvM	b	471.36334105641424
14947964_50LaNMvM	rstart	473.9744094551282
14947964_51LaMvM	b	477.1830961860825
14947964_51LaMvM	rstart	480.72803124999996
14947964_52HaMvNM	b	484.6944962948062
14947964_52HaMvNM	rstart	487.08950721153843
14947964_53LaMvNM	b	491.70671013737143
14947964_53LaMvNM	rstart	494.47361698717947
14947964_54HaMvNM	b	497.97112586810744
14947964_54HaMvNM	rstart	500.6036770833333
14947964_55HaNMvNM	b	504.60863023034466
14947964_55HaNMvNM	rstart	507.20272291666663
14947964_57HaNMvNM	b	511.302274912588
14947964_57HaNMvNM	rstart	513.60975
14947964_58LaNMvM	b	516.6149281668044
14947964_58LaNMvM	rstart	519.0716375
14947964_59HaNMvM	b	522.583438093422
14947964_59HaNMvM	rstart	524.8143194444444
14947964_5LaNMvM	b	528.9271564827549
14947964_5LaNMvM	rstart	531.4916266447368
14947964_60HaMvM	b	535.3597938795704
14947964_60HaMvM	rstart	538.1328923611111
14947964_61LaNMvNM	b	540.9235809506096
14947964_61LaNMvNM	rstart	543.1183348214286
14947964_62HaMvNM	b	546.4197872324805
14947964_62HaMvNM	rstart	548.889078125
14947964_63HaNMvM	b	551.4510903423694
14947964_63HaNMvM	rstart	554.1544366319445
14947964_64HaMvM	b	557.5632296239165
14947964_64HaMvM	rstart	560.4269340277777
14947964_65LaNMvNM	b	562.7971780420036
14947964_65LaNMvNM	rstart	565.495670138889
14947964_66HaMvNM	b	567.8826547041986
14947964_66HaMvNM	rstart	570.6741333333333
14947964_67HaNMvM	b	574.0616589155425
14947964_67HaNMvM	rstart	576.8099925595237
