label	timetype	timepoint
14456668_100HaMvM	b	1.4680614987336444
14456668_100HaMvM	rstart	3.6946354166666664
14456668_101LaMvM	b	8.904139152110384
14456668_101LaMvM	rstart	12.279341826923078
14456668_102LaNMvM	b	16.83008044247994
14456668_102LaNMvM	rstart	19.84858723958333
14456668_103LaNMvM	b	22.54111837003735
14456668_103LaNMvM	rstart	25.234489583333332
14456668_104LaNMvNM	b	28.579124952417946
14456668_104LaNMvNM	rstart	31.329819058641974
14456668_105HaMvM	b	33.27928828232856
14456668_105HaMvM	rstart	36.04055989583333
14456668_107LaMvNM	b	39.02056899949078
14456668_107LaMvNM	rstart	41.563467524509804
14456668_108LaNMvM	b	45.238982892735734
14456668_108LaNMvM	rstart	48.17655505952381
14456668_109LaNMvNM	b	50.551343357073264
14456668_109LaNMvNM	rstart	53.05198958333333
14456668_10HaNMvM	b	55.441926846018674
14456668_10HaNMvM	rstart	58.300052083333334
14456668_110HaMvM	b	61.02616121746429
14456668_110HaMvM	rstart	63.38020486111111
14456668_111LaMvNM	b	66.64288750977856
14456668_111LaMvNM	rstart	68.7735775462963
14456668_112HaNMvNM	b	71.00724190625085
14456668_112HaNMvNM	rstart	73.19431712962962
14456668_113LaMvM	b	75.37729447782968
14456668_113LaMvM	rstart	77.5269875672043
14456668_114HaMvNM	b	80.48243174707467
14456668_114HaMvNM	rstart	82.66904315476191
14456668_115HaNMvM	b	85.38063891637897
14456668_115HaNMvM	rstart	87.91268718434344
14456668_116HaNMvNM	b	91.0763018977452
14456668_116HaNMvNM	rstart	93.68766475340136
14456668_117LaMvM	b	96.23759399275983
14456668_117LaMvM	rstart	98.76443778153153
14456668_118HaMvNM	b	102.20631485835622
14456668_118HaMvNM	rstart	104.61614022435897
14456668_119HaNMvM	b	107.45996474311212
14456668_119HaNMvM	rstart	109.94563132440476
14456668_120HaNMvNM	b	112.53268859330953
14456668_120HaNMvNM	rstart	115.19178234649124
14456668_121LaMvM	b	118.65085476304164
14456668_121LaMvM	rstart	121.40321458333332
14456668_122HaMvNM	b	123.79769661359562
14456668_122HaMvNM	rstart	126.09888541666666
14456668_123HaNMvM	b	128.41024355899057
14456668_123HaNMvM	rstart	130.84371693840578
14456668_124HaNMvNM	b	138.59908508601734
14456668_124HaNMvNM	rstart	140.9384254807692
14456668_126LaMvM	b	142.84551730408813
14456668_126LaMvM	rstart	145.21007291666666
14456668_127HaMvNM	b	147.46513443357543
14456668_127HaMvNM	rstart	149.84037161624204
14456668_128HaNMvM	b	152.84319521268054
14456668_128HaNMvM	rstart	155.34198402777778
14456668_129LaNMvM	b	157.42615044194747
14456668_129LaNMvM	rstart	160.04978938802083
14456668_12HaNMvNM	b	163.05705336056434
14456668_12HaNMvNM	rstart	165.63818880208333
14456668_130LaNMvNM	b	168.47851468610696
14456668_130LaNMvNM	rstart	170.74669401041666
14456668_131HaMvM	b	173.432984624493
14456668_131HaMvM	rstart	175.5179284722222
14456668_132LaMvNM	b	177.70987549398652
14456668_132LaMvNM	rstart	180.35103028100775
14456668_133LaNMvM	b	183.17273652575628
14456668_133LaNMvM	rstart	185.28139871509407
14456668_134LaNMvNM	b	187.38726764260886
14456668_134LaNMvNM	rstart	189.5319558683904
14456668_136HaMvM	b	192.25478448521866
14456668_136HaMvM	rstart	194.571234375
14456668_137LaMvNM	b	197.06575207628433
14456668_137LaMvNM	rstart	199.54469010416665
14456668_138LaNMvM	b	202.2762081298652
14456668_138LaNMvM	rstart	204.67699635416665
14456668_139LaNMvNM	b	207.05612744863794
14456668_139LaNMvNM	rstart	209.8381903409091
14456668_13HaMvM	b	213.87637827482104
14456668_13HaMvM	rstart	216.73096818693693
14456668_140HaMvM	b	219.26187791194957
14456668_140HaMvM	rstart	222.04421614583333
14456668_141LaMvNM	b	224.63804335694007
14456668_141LaMvNM	rstart	226.994
14456668_14LaMvM	b	229.32240100765517
14456668_14LaMvM	rstart	232.1328424479167
14456668_15HaMvNM	b	234.8634319561905
14456668_15HaMvNM	rstart	237.38419791666666
14456668_16HaNMvM	b	241.0528274783851
14456668_16HaNMvM	rstart	243.9762716346154
14456668_17LaNMvM	b	246.51994447662526
14456668_17LaNMvM	rstart	249.61704017857141
14456668_19LaNMvNM	b	251.9396442401256
14456668_19LaNMvNM	rstart	254.68177430555556
14456668_20HaMvM	b	258.9021347884037
14456668_20HaMvM	rstart	261.4800757575757
14456668_21LaMvNM	b	264.4901869498157
14456668_21LaMvNM	rstart	267.3306822916667
14456668_22LaNMvM	b	271.74730478326757
14456668_22LaNMvM	rstart	274.05744338768113
14456668_23LaNMvNM	b	276.6473098289756
14456668_23LaNMvNM	rstart	279.3722263257576
14456668_24HaMvM	b	283.55295620047934
14456668_24HaMvM	rstart	286.3571381944444
14456668_25LaMvNM	b	288.8646092213519
14456668_25LaMvNM	rstart	291.7919601293103
14456668_26LaNMvM	b	295.3613366109644
14456668_26LaNMvM	rstart	298.00175130208333
14456668_27LaNMvNM	b	301.09948347477587
14456668_27LaNMvNM	rstart	303.51078314393936
14456668_28HaMvM	b	306.59970773636826
14456668_28HaMvM	rstart	309.28319560185184
14456668_29LaMvNM	b	311.8192043205658
14456668_29LaMvNM	rstart	314.56999019607844
14456668_2HaNMvNM	b	316.76874493276773
14456668_2HaNMvNM	rstart	319.214912109375
14456668_30LaNMvM	b	323.7839229809509
14456668_30LaNMvM	rstart	326.2734174679487
14456668_31LaNMvNM	b	329.9183282581482
14456668_31LaNMvNM	rstart	332.61705803571425
14456668_32HaMvM	b	334.75589570467815
14456668_32HaMvM	rstart	337.56199255952384
14456668_33LaMvNM	b	339.7931454821658
14456668_33LaMvNM	rstart	342.0286585648148
14456668_35HaNMvNM	b	344.30433420650024
14456668_35HaNMvNM	rstart	347.1467988782051
14456668_36LaMvM	b	349.07921765418723
14456668_36LaMvM	rstart	351.5080144817073
14456668_37HaMvNM	b	354.21575380856933
14456668_37HaMvNM	rstart	356.1945303442029
14456668_38HaNMvM	b	359.7970422554317
14456668_38HaNMvM	rstart	362.60396279761903
14456668_39HaNMvNM	b	383.62290590207516
14456668_39HaNMvNM	rstart	385.66298043699186
14456668_3LaMvM	b	388.4392840031304
14456668_3LaMvM	rstart	391.36887222222225
14456668_40LaMvM	b	395.1882886761826
14456668_40LaMvM	rstart	397.49470572916664
14456668_41HaMvNM	b	400.02807570935045
14456668_41HaMvNM	rstart	402.2576861645299
14456668_42HaNMvM	b	406.27237540412733
14456668_42HaNMvM	rstart	408.5631354166667
14456668_43HaNMvNM	b	410.59229681649254
14456668_43HaNMvNM	rstart	412.9458267045454
14456668_44LaNMvNM	b	416.36891323094136
14456668_44LaNMvNM	rstart	419.639694760101
14456668_45HaMvNM	b	423.3071345610932
14456668_45HaMvNM	rstart	426.21141369047615
14456668_46LaMvM	b	429.849522029344
14456668_46LaMvM	rstart	432.3546677442529
14456668_47HaMvNM	b	434.12766808450664
14456668_47HaMvNM	rstart	436.875295
14456668_48LaNMvM	b	440.3525969100446
14456668_48LaNMvM	rstart	442.83600260416665
14456668_4HaMvNM	b	445.9688283115615
14456668_4HaMvNM	rstart	448.64728521825396
14456668_50HaNMvM	b	451.34978864214105
14456668_50HaNMvM	rstart	453.63791550925924
14456668_51HaNMvNM	b	456.4273000036409
14456668_51HaNMvNM	rstart	458.91264291666664
14456668_52HaMvNM	b	461.67544298784276
14456668_52HaMvNM	rstart	464.4536708333333
14456668_53LaMvM	b	466.6635474266086
14456668_53LaMvM	rstart	468.90461845930236
14456668_54LaMvNM	b	472.46130096649034
14456668_54LaMvNM	rstart	475.4596647376543
14456668_55HaNMvNM	b	478.7389926221705
14456668_55HaNMvNM	rstart	481.59445711881216
14456668_57HaMvNM	b	483.51911532037116
14456668_57HaMvNM	rstart	486.0730586622807
14456668_58HaNMvM	b	488.3759880095301
14456668_58HaNMvM	rstart	490.8010030637255
14456668_59LaNMvM	b	492.6421217184413
14456668_59LaNMvM	rstart	495.338177734375
14456668_5HaNMvM	b	497.94679448253305
14456668_5HaNMvM	rstart	500.4845520833333
14456668_60LaNMvNM	b	503.3207126046927
14456668_60LaNMvNM	rstart	505.88673958333334
14456668_61HaMvM	b	508.7063028300699
14456668_61HaMvM	rstart	511.04471484374994
