label	correctans	note	duration2
14456668_100HaMvM	pole	1_	0.09978348214285715
14456668_101LaMvM	pool	1_	0.04528124999999994
14456668_102LaNMvM	prize	1_	0.1296145833333333
14456668_103LaNMvM	raft	1_	0.1638381410256411
14456668_104LaNMvNM	rent	1_	0.16857932692307687
14456668_105HaMvM	rim	1_	0.11875876322751289
14456668_107LaMvNM	rope	1_	0.195864583333333
14456668_108LaNMvM	row	1_	0.13906640625000044
14456668_109LaNMvNM	sand	1_	0.11065291666666699
14456668_10HaNMvM	bowl	1_	0.2094592391304353
14456668_110HaMvM	scab	1_	0.109151515151515
14456668_111LaMvNM	seeds	1_	0.06697211021505467
14456668_112HaNMvNM	shed	1_onset not sure	0.10257060185185196
14456668_113LaMvM	sheep	1_	0.12339010885885848
14456668_114HaMvNM	silk	1_	0.1550146683673468
14456668_115HaNMvM	skirt	1_	0.09823386437908432
14456668_116HaNMvNM	sleeves	1_	0.039638621794871653
14456668_117LaMvM	slice	1_	0.13819618055555516
14456668_118HaMvNM	sling	1_	0.15005095720720263
14456668_119HaNMvM	splash	1_	0.09027662037036777
14456668_120HaNMvNM	sponge	1_	0.08098583984374841
14456668_121LaMvM	spool	1_	0.1265645833333302
14456668_122HaMvNM	spoon	1_	0.13130842391304043
14456668_123HaNMvM	sport	1_	0.05938224637680989
14456668_124HaNMvNM	spray	1_	0.09839743589743222
14456668_126LaMvM	strap	1_	0.13005208333332874
14456668_127HaMvNM	swamps	1_	0.11438541666666424
14456668_128HaNMvM	swan	1_	0.10400018274853551
14456668_129LaNMvM	tea	1_	0.1993028724747461
14456668_12HaNMvNM	bread	1_including pre-nasalisation	0.1763124999999981
14456668_130LaNMvNM	tent	1_	0.12731881561679614
14456668_131HaMvM	thief	1_preceded by f	0.12108291666666204
14456668_132LaMvNM	thorns	1_say 'many thorns'	0.27025536616161006
14456668_133LaNMvM	throat	1_	0.20842708333332993
14456668_134LaNMvNM	tin	1_	0.16279488863863634
14456668_136HaMvM	trail	1_	0.09977916666666431
14456668_137LaMvNM	trap	1_	0.1482439484126985
14456668_138LaNMvM	truck	1_	0.1483611111111074
14456668_139LaNMvNM	tub	1_	0.15825278755868055
14456668_13HaMvM	breath	1_	0.24544216954022602
14456668_140HaMvM	van	1_	0.17054947916666663
