label	timetype	timepoint
14758059_100HaNMvNM	b	1.4975254517078735
14758059_100HaNMvNM	rstart	3.9528495842781552
14758059_101LaMvM	b	10.07295643206002
14758059_101LaMvM	rstart	12.825204081632654
14758059_102LaNMvM	b	26.75009505498201
14758059_102LaNMvM	rstart	29.68853741496599
14758059_103HaMvNM	b	34.72248978416139
14758059_103HaMvNM	rstart	38.16318948412698
14758059_104HaNMvM	b	41.26379970055532
14758059_104HaNMvM	rstart	44.4896485260771
14758059_105HaNMvNM	b	48.25635226943077
14758059_105HaNMvNM	rstart	51.64586491739553
14758059_107LaMvM	b	55.979673327404996
14758059_107LaMvM	rstart	58.89155328798186
14758059_108HaMvNM	b	62.19502900637306
14758059_108HaMvNM	rstart	65.40057823129253
14758059_109HaNMvM	b	68.83846678291455
14758059_109HaNMvM	rstart	71.52243764172336
14758059_10LaMvNM	b	74.64283194918468
14758059_10LaMvNM	rstart	78.19701814058958
14758059_110HaNMvNM	b	80.93560381685622
14758059_110HaNMvNM	rstart	83.54681405895693
14758059_111LaMvM	b	86.37570554758187
14758059_111LaMvM	rstart	89.05849206349207
14758059_112LaNMvM	b	91.77082624993618
14758059_112LaNMvM	rstart	94.53665532879819
14758059_113LaNMvNM	b	97.23650755392227
14758059_113LaNMvNM	rstart	99.62312858476724
14758059_114HaMvM	b	102.39230597221243
14758059_114HaMvM	rstart	105.05531746031747
14758059_115LaMvNM	b	108.02172081252967
14758059_115LaMvNM	rstart	110.83334467120181
14758059_116LaNMvM	b	113.58324134519371
14758059_116LaNMvM	rstart	116.69067865241335
14758059_117LaNMvNM	b	120.64172695314083
14758059_117LaNMvNM	rstart	123.51504913076343
14758059_118HaMvM	b	125.765893070793
14758059_118HaMvM	rstart	128.37494104308388
14758059_119LaMvNM	b	133.17030800510688
14758059_119LaMvNM	rstart	136.1225736961451
14758059_120LaNMvM	b	138.62920307735243
14758059_120LaNMvM	rstart	141.1858030990174
14758059_121LaNMvNM	b	143.6219320977095
