label	correctans	note	duration2
15151086_100HaNMvNM	pole	1_	0.10051523827047482
15151086_101LaMvM	pool	1_	0.36203520256917
15151086_102LaNMvM	prize	1_	0.21978253700128736
15151086_103HaMvNM	raft	1_	0.20602368197278942
15151086_104HaNMvM	rent	1_	0.11685868902439012
15151086_105HaNMvNM	rim	1_	0.07483858775811214
15151086_107LaMvM	rope	1_	0.3082417075163395
15151086_108HaMvNM	row	1_	0.12942424242424266
15151086_109HaNMvM	sand	1_	0.18774549230146143
15151086_10LaMvNM	bowl	1_	0.09703626745200822
15151086_110HaNMvNM	scab	1_	0.2176935410135883
15151086_111LaMvM	seeds	1_	0.09047893632268611
15151086_112LaNMvM	shed	1_	0.10257675165837554
15151086_113LaNMvNM	sheep	1_	0.06072095588235271
15151086_114HaMvM	silk	1_	0.1804195669934643
15151086_115LaMvNM	skirt	1_	0.13265363325281498
15151086_116LaNMvM	sleeves	1_	0.09120275821595669
15151086_117LaNMvNM	slice	1_	0.05148066448801103
15151086_118HaMvM	sling	1_	0.0224233333333288
15151086_119LaMvNM	splash	1_	0.03718828124999618
15151086_120LaNMvM	sponge	1_	0.13212499999999494
15151086_121LaNMvNM	spool	1_	0.05141392543858814
15151086_122HaMvM	spoon	1_	0.008376364278369408
15151086_123LaMvNM	sport	1_	0.03975119274807781
15151086_124LaNMvM	spray	1_	0.10741528451994498
15151086_126LaNMvNM	strap	1_	0.21671468982959396
15151086_127HaMvM	swamps	1_	0.17542190510596356
15151086_128LaMvNM	swan	1_	0.04572727623455819
15151086_129HaMvNM	tea	1_	0.09154429757015237
15151086_12LaNMvM	bread	1_	0.10777350663715879
15151086_130HaNMvM	tent	1_	0.06374362125466604
15151086_131HaNMvNM	thief	1_	0.12025292138809363
15151086_132LaMvM	thorns	1_	0.3085293269230647
15151086_133HaMvNM	throat	1_	0.1641787439613509
15151086_134HaNMvM	tin	1_	0.05947663365209621
15151086_136HaNMvNM	trail	1_	0.10158255952380557
15151086_137LaMvM	trap	1_	0.2102182491987179
15151086_138HaMvNM	truck	1_	0.14182918747027884
15151086_139HaNMvM	tub	1_	0.061892293689325584
15151086_13HaMvM	breath	1_	0.14511807105655805
15151086_140HaNMvNM	van	1_	0.1234471636546175
15151086_141LaMvM	wax	1_	0.19699510542169207
15151086_14LaNMvNM	broom	1_	0.12920729397635
15151086_15HaMvM	bruise	1_	0.27053166010499297
15151086_16LaMvNM	cake	1_	0.30336152974783204
15151086_17HaMvNM	calf	1_	0.03724994747898336
15151086_19HaNMvM	chat	1_	0.10364709172257847
15151086_20HaNMvNM	chunks	1_	0.06909011994947889
15151086_21LaMvM	clerk	0_sound like 'clock'	0.17761722332849672
15151086_22HaMvNM	cliff	1_	0.1938789202508815
15151086_23HaNMvM	clock	1_	0.028659040758029164
15151086_24HaNMvNM	clue	1_	0.05067922008544201
15151086_25LaMvM	coach	1_	0.04603411259540735
15151086_26HaMvNM	coast	1_	0.037348710317445466
15151086_27HaNMvM	coin	1_	0.11103496600250651
15151086_28HaNMvNM	cops	1_	0.18505941205532395
15151086_29LaMvM	crash	1_	0.30990298579106934
15151086_2LaNMvM	barn	1_	0.18095068784637647
15151086_30HaMvNM	crew	1_	0.036525505829885674
15151086_31HaNMvM	crib	1_	0.023229910714263724
15151086_32HaNMvNM	crop	1_	0.1496878033980238
15151086_33LaMvM	crown	1_	0.11498668248943034
15151086_35LaNMvM	curb	1_	0.08990644955297
15151086_36LaNMvNM	dart	1_	0.3193576639590532
15151086_37HaMvM	deck	1_	0.28079172237073635
15151086_38LaMvNM	den	1_	0.4151087734741452
15151086_39LaNMvM	dent	1_	0.14038566767064253
15151086_3LaNMvNM	bay	1_	0.09728443627449224
15151086_40LaNMvNM	ditch	1_	0.0807247474747328
15151086_41HaMvM	dive	1_	0.057874218749986994
15151086_42LaMvNM	doll	1_	0.1992899000974262
15151086_43LaNMvM	dove	1_	0.07943501180832868
15151086_44LaNMvNM	draft	1_	0.10056116952230809
15151086_45HaMvNM	drain	1_	0.2175163690476154
15151086_46LaNMvNM	drug	1_	0.06975324328448096
15151086_47HaMvM	drum	1_	0.01792070458799344
15151086_48LaNMvM	feast	1_	0.1616169329573438
15151086_4HaMvM	beak	1_	0.20686532738091046
15151086_50LaMvNM	flame	1_	0.21944998573053454
15151086_51LaNMvM	flock	1_	0.19800541666660365
15151086_52HaMvNM	flood	1_	0.06193942901228411
15151086_53LaNMvNM	frogs	1_	0.055991319444387955
15151086_54LaMvM	fudge	1_	0.23560550213670695
15151086_55HaNMvNM	fur	1_	0.25240145383688173
15151086_57HaMvM	glue	1_	0.054135661764632914
15151086_58LaMvNM	goal	1_	0.1813115764604163
15151086_59HaMvNM	gown	1_	0.04468656994040998
15151086_5LaMvNM	beam	1_	0.2171272422797017
15151086_60HaNMvM	grin	1_	0.10835533243076156
15151086_61HaNMvNM	growl	0_sound like 'grown'	0.18764985889768582
15151086_62LaMvM	hay	1_	0.3140670383816939
15151086_63HaMvNM	hedge	1_	0.051210090877873427
15151086_64HaNMvM	hen	1_	0.06027053357311729
15151086_65HaNMvNM	herd	1_There is an overlap	0.33223594432311643
15151086_66LaMvM	hint	1_	0.04551768410848922
15151086_67HaMvNM	hips	1_	0.049618184156344114
15151086_68HaNMvM	hive	1_	0.07443887937589011
15151086_69HaNMvNM	host	1_	0.21820551571030933
15151086_70LaMvM	hug	1_	0.0588765243902003
15151086_71HaMvNM	jar	1_	0.05723017769602734
15151086_72HaNMvM	juice	1_	0.11785479417665101
15151086_73HaNMvNM	junk	1_	0.24536677981890875
15151086_74LaMvM	kick	1_	0.120251572327021
15151086_75LaNMvM	knife	1_	0.05713590342674024
15151086_76LaNMvNM	knob	1_	0.24180358483476994
15151086_78HaMvM	lap	1_	0.13996889269401436
15151086_79LaMvNM	lid	1_	0.26229337686561394
15151086_7LaNMvM	bend	1_	0.13071614583327573
15151086_80LaNMvM	lock	1_	0.06624390889822962
15151086_81LaNMvNM	logs	1_	0.027689940476108177
15151086_82HaMvM	lungs	1_	0.0707254032257083
15151086_83LaMvNM	map	1_	0.2221199596773431
15151086_85LaNMvM	mat	1_	0.07942611183065651
15151086_86LaNMvNM	meal	0_self correction	0.8358465149176197
15151086_87HaMvM	mop	1_	0.2580110119046992
15151086_88LaMvNM	mouse	0_'house'	0.22914999999994734
15151086_89LaNMvM	mug	1_	0.17999232456136838
15151086_8LaNMvNM	blame	1_	0.08157233255448659
15151086_90LaNMvNM	net	0_'knet'?	0.3748744959677026
15151086_91HaMvM	notch	1_	0.029995571357233075
15151086_93LaMvNM	pad	1_	0.13901776552961564
