label	correctans	note	duration2
15355404_100LaNMvM	pole	1__	0.15050744047619047
15355404_101LaMvM	pool	1__	0.2115437499999997
15355404_102LaNMvM	prize	1__	0.2303993055555562
15355404_103LaMvNM	raft	1__	0.13778125000000063
15355404_104LaMvM	rent	1__	0.1658333333333335
15355404_105LaNMvM	rim	1__	0.2270520833333336
15355404_107HaNMvNM	rope	0_unsure_a rope	0.13822874999999968
15355404_108LaMvNM	row	0_unsure_a row	0.20971608527131735
15355404_109LaMvM	sand	1__	0.2304464285714225
15355404_10HaMvNM	bowl	1__	0.15035416666666634
15355404_110LaNMvM	scab	1__	0.16322569444444213
15355404_111HaNMvNM	seeds	1__	0.08511458333333266
15355404_112HaNMvM	shed	1__	0.12279236111110947
15355404_113HaMvM	sheep	1__	0.2632187499999965
15355404_114LaNMvNM	silk	1__	0.24636268939393702
15355404_115HaMvNM	skirt	1__	0.35617113095237585
15355404_116HaNMvM	sleeves	1__	0.19247222222221794
15355404_117HaMvM	slice	1__	0.39180208333333155
15355404_118LaNMvNM	sling	1__	0.2794005681818206
15355404_119HaMvNM	splash	1__	0.25426699561403154
15355404_120HaNMvM	sponge	1__	0.17030208333332553
15355404_121HaMvM	spool	0_discard_school	0.2637395833333329
15355404_122LaNMvNM	spoon	1__	0.2552366071428551
15355404_123HaMvNM	sport	1__	0.3168993055555518
15355404_124HaNMvM	spray	1__	0.13242013888888948
15355404_126HaMvM	strap	1__	0.14955208333333303
15355404_127LaNMvNM	swamps	1__	0.0954538690476241
15355404_128HaMvNM	swan	1__	0.21115479651162872
15355404_129LaMvNM	tea	1__	0.14442995689655902
15355404_12HaNMvM	bread	1__	0.09417708333334218
15355404_130LaMvM	tent	1__	0.2889965277777833
15355404_131LaNMvM	thief	1__	0.19418333333334203
15355404_132HaNMvNM	thorns	1__	0.2804531250000153
15355404_133LaMvNM	throat	1__	0.20298697916668118
15355404_134LaMvM	tin	1__	0.27173660714286996
15355404_136LaNMvM	trail	1__	0.3180319683908266
15355404_137HaNMvNM	trap	1__	0.1542363281250232
15355404_138LaMvNM	truck	1__	0.12420513888889673
15355404_139LaMvM	tub	1__	0.33581919642858793
15355404_13HaMvM	breath	1__	0.1801979166666854
15355404_140LaNMvM	van	1__	0.27859753787879526
15355404_141HaNMvNM	wax	1__	0.13482291666667834
15355404_14HaMvM	broom	1__	0.34137132352941535
15355404_15LaNMvNM	bruise	1__	0.23072708333334901
15355404_16HaMvNM	cake	1__	0.09961480496455977
15355404_17LaMvNM	calf	0_discard_don't know	0.21074652777778624
15355404_19LaMvM	chat	1__	0.12725694444446844
15355404_20LaNMvM	chunks	1__	0.10371496212123077
15355404_21HaNMvNM	clerk	1__	0.2805395833333506
15355404_22LaMvNM	cliff	1__	0.11099810606062022
15355404_23LaMvM	clock	1__	0.1449479166666805
15355404_24LaNMvM	clue	1__	0.2008498774510059
15355404_25HaNMvNM	coach	1__	0.12402986111112568
15355404_26LaMvNM	coast	1__	0.46284375000001887
15355404_27LaMvM	coin	0_discard_don't know	0.21968750000002046
15355404_28LaNMvM	cops	1__	0.14317144423560535
15355404_29HaNMvNM	crash	1__	0.1519427083333511
15355404_2HaNMvM	barn	1__	0.1413793339416145
15355404_30LaMvNM	crew	1__	0.26372916666667834
15355404_31LaMvM	crib	1__	0.13250761217950924
15355404_32LaNMvM	crop	1__	0.06545803571430042
15355404_33HaNMvNM	crown	1__	0.13888541666668175
15355404_35HaNMvM	curb	1__	0.24155605158730964
15355404_36HaMvM	dart	1__	0.155609953703717
15355404_37LaNMvNM	deck	1__	0.17916467198581643
15355404_38HaMvNM	den	1__	0.13026041666668675
15355404_39HaNMvM	dent	1__	0.20582291666666208
15355404_3HaMvM	bay	1__	0.15818256578947398
15355404_40HaMvM	ditch	1__	0.20585868710691102
15355404_41LaNMvNM	dive	1__	0.17754166666665583
15355404_42HaMvNM	doll	0_discard_don't know	0.13132638888887982
15355404_43HaNMvM	dove	1__	0.16122079005933188
15355404_44LaNMvNM	draft	1__	0.27095299796746986
15355404_45HaMvNM	drain	1__	0.24805791666668142
15355404_46HaMvM	drug	1__	0.19013541666666356
15355404_47LaNMvNM	drum	1__	0.21565625000002342
15355404_48LaNMvM	feast	1__	0.18416087962964411
15355404_4LaNMvNM	beak	1__	0.21497685185187265
15355404_50HaMvNM	flame	1__	0.1840286458333651
15355404_51HaNMvM	flock	1__	0.17935496794876826
15355404_52HaMvNM	flood	1__	0.13952430555559658
15355404_53HaMvM	frogs	1__	0.14629170015831505
15355404_54HaNMvNM	fudge	1__	0.2250848214285952
15355404_55HaNMvNM	fur	1__	0.18633796296299465
15355404_57LaNMvNM	glue	1__	0.196454861111107
15355404_58HaMvNM	goal	1__	0.18389699074074883
15355404_59LaMvNM	gown	0_discard_gap	0.11064242788464185
15355404_5HaMvNM	beam	1__	0.22605086805558017
15355404_60LaMvM	grin	1__	0.1532672472677632
15355404_61LaNMvM	growl	1__	0.24311537447258047
15355404_62HaNMvNM	hay	1__	0.17519328703704673
15355404_63LaMvNM	hedge	1__	0.24493321078435315
15355404_64LaMvM	hen	0_discard_head	0.1918246527777967
