label	timetype	timepoint
14745923_100LaNMvM	b	0.9924087681290397
14745923_100LaNMvM	rstart	3.717834467120181
14745923_101LaMvM	b	7.214777835544077
14745923_101LaMvM	rstart	10.953316326530611
14745923_102LaNMvM	b	15.895411601087053
14745923_102LaNMvM	rstart	19.874274376417237
14745923_103LaMvNM	b	23.098111840060284
14745923_103LaMvNM	rstart	27.07309523809524
14745923_104LaMvM	b	29.549292231855638
14745923_104LaMvM	rstart	32.708514739229024
14745923_105LaNMvM	b	34.46617157247091
14745923_105LaNMvM	rstart	38.25818594104308
14745923_107HaNMvNM	b	39.735904171274655
14745923_107HaNMvNM	rstart	42.82300453514739
14745923_108LaMvNM	b	45.14802313220771
14745923_108LaMvNM	rstart	48.706868480725625
14745923_109LaMvM	b	50.97966230447884
14745923_109LaMvM	rstart	54.04547619047619
14745923_10HaMvNM	b	55.930273681908844
14745923_10HaMvNM	rstart	59.33887301587302
14745923_110LaNMvM	b	61.73409198557754
14745923_110LaNMvM	rstart	64.58987528344672
14745923_111HaNMvNM	b	67.41823179596787
14745923_111HaNMvNM	rstart	69.9643575207861
14745923_112HaNMvM	b	74.64618212750241
14745923_112HaNMvM	rstart	77.60314058956916
14745923_113HaMvM	b	79.78029344422995
14745923_113HaMvM	rstart	82.81896825396827
14745923_114LaNMvNM	b	84.99362022278217
14745923_114LaNMvNM	rstart	87.96266439909297
14745923_115HaMvNM	b	90.5544833098574
14745923_115HaMvNM	rstart	93.81024092970523
14745923_116HaNMvM	b	95.78452071261391
14745923_116HaNMvM	rstart	98.88579660849848
14745923_117HaMvM	b	102.0397394431091
14745923_117HaMvM	rstart	105.26046485260771
14745923_118LaNMvNM	b	107.71490592073535
14745923_118LaNMvNM	rstart	112.10964852607711
14745923_119HaMvNM	b	114.1139310799818
14745923_119HaMvNM	rstart	117.1830045351474
14745923_120HaNMvM	b	119.37968920379771
14745923_120HaNMvM	rstart	122.81988559059988
14745923_121HaMvM	b	125.55207722575483
14745923_121HaMvM	rstart	129.05405239288697
14745923_122LaNMvNM	b	131.6946833851627
14745923_122LaNMvNM	rstart	135.11284580498867
14745923_123HaMvNM	b	137.88690705112717
14745923_123HaMvNM	rstart	141.2854081632653
14745923_124HaNMvM	b	144.29470247930644
14745923_124HaNMvM	rstart	147.2033597883598
14745923_126HaMvM	b	149.7775652184587
14745923_126HaMvM	rstart	152.6121088435374
14745923_127LaNMvNM	b	154.41111719015382
14745923_127LaNMvNM	rstart	157.35373015873014
14745923_128HaMvNM	b	160.35820203226015
14745923_128HaMvNM	rstart	163.37706349206348
14745923_129LaMvNM	b	165.43686474745712
14745923_129LaMvNM	rstart	168.61889527932385
14745923_12HaNMvM	b	170.3983184155416
14745923_12HaNMvM	rstart	174.16833333333332
14745923_131LaNMvM	b	182.9340010380017
14745923_131LaNMvM	rstart	185.9844784580499
14745923_132HaNMvNM	b	189.0062404026841
14745923_132HaNMvNM	rstart	192.9037679516251
14745923_133LaMvNM	b	195.7922046277259
14745923_133LaMvNM	rstart	198.8919501133787
