"parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","batch","original_label"
"210719_a25","14557507",1033.8798624695,872.532700113133,"1","","100L","pole","aNM","vM","L","a","aNMvM",2.61500574878191,1.58112588631241,1.74247304866878,1,"14557507_100LaNMvM"
"210719_a25","14557507",1019.02269611757,826.430582273292,"1","","101L","pool","aM","vM","L","a","aMvM",2.97663246788754,1.95760977176997,2.15020188561425,1,"14557507_101LaMvM"
"210719_a25","14557507",743.308599747599,544.418090488319,"1","","102L","prize","aNM","vM","L","a","aNMvM",2.97470737956736,2.23139877981976,2.43028928907904,1,"14557507_102LaNMvM"
"210719_a25","14557507",649.936546314772,314.570761116362,"1","","103L","raft","aM","vNM","L","a","aMvNM",2.88043848360488,2.23050193729011,2.56586772248852,1,"14557507_103LaMvNM"
"210719_a25","14557507",649.397376909235,282.856972868845,"1","","104L","rent","aM","vM","L","a","aMvM",2.8652414388202,2.21584406191096,2.58238446595135,1,"14557507_104LaMvM"
"210719_a25","14557507",704.099835063044,569.997138984694,"1","","105L","rim","aNM","vM","L","a","aNMvM",3.16273187667557,2.45863204161253,2.59273473769088,1,"14557507_105LaNMvM"
"210719_a25","14557507",632.539918530287,401.610896163817,"1","","107H","rope","aNM","vNM","H","a","aNMvNM",2.64967295613284,2.01713303760255,2.24806205996902,1,"14557507_107HaNMvNM"
"210719_a25","14557507",505.119702644845,459.219239681845,"1","","108L","row","aM","vNM","L","a","aMvNM",2.86972984653699,2.36461014389215,2.41051060685515,1,"14557507_108LaMvNM"
"210719_a25","14557507",513.965024490247,267.587620644187,"1","","109L","sand","aM","vM","L","a","aMvM",2.64140496700209,2.12743994251184,2.3738173463579,1,"14557507_109LaMvM"
"210719_a25","14557507",497.071343584239,326.236126575119,"1","","10H","bowl","aM","vNM","H","a","aMvNM",2.79791957819848,2.30084823461424,2.47168345162336,1,"14557507_10HaMvNM"
"210719_a25","14557507",475.716270054721,313.27414042506,"1","","110L","scab","aNM","vM","L","a","aNMvM",2.50137118406009,2.02565491400537,2.18809704363503,1,"14557507_110LaNMvM"
