parid,Missing
210719_a41,14610319_96HaMvNM
210723_a76,NONE
210725_a102,14566634_96LaNMvNM
210723_a78,14657603_113LaNMvM
210723_a78,14657603_130LaMvNM
210723_a78,14657603_132HaMvM
210723_a78,14657603_52HaMvNM
210723_a78,14657603_86LaNMvM
210723_a78,14657603_98HaNMvNM
210723_a78,14657603_22HaNMvNM
210723_a78,14657603_88LaNMvNM
210723_a78,14657603_107HaMvM
210725_a83,14570364_101LaMvM
210725_a120,14668484_9HaMvM
210725_a90,NONE
210725_a156,14930256_114LaNMvNM
210725_a156,14930256_20LaNMvM
210725_a156,14930256_33HaNMvNM
210725_a156,14930256_43HaNMvM
210725_a156,14930256_58HaMvNM
210725_a156,14930256_61LaNMvM
210725_a156,14930256_67LaMvNM
210725_a156,14930256_78LaNMvNM
210725_a156,14930256_7HaNMvM
210725_a156,14930256_85HaNMvM
210725_a156,14930256_94LaMvNM
210725_a165,14947964_101LaMvM
210719_c26,14526592_76LaNMvNM
210719_c71,14549435_101LaMvM
210719_c71,14549435_38LaNMvM
210719_c71,14549435_58LaNMvM
210719_c47,14557278_101LaMvM
210719_c47,14557278_54HaMvNM
210719_c47,14557278_99HaMvM
210725_c94,14889970_101LaMvM
210719_c29,14956811_101LaMvM
210719_c29,14956811_110HaMvM
210719_c29,14956811_82HaMvNM
210719_c29,14956811_95LaNMvNM
210725_a176,NONE
210725_a133,14990368_111HaNMvNM
210725_a81,NONE
210725_a177,NONE
210725_a152,15094721_101LaMvM
210725_a98,NONE
210719_a54,NONE
210725_a185,NONE
210725_c84,14993977_109LaNMvM
210725_c84,14993977_128HaNMvNM
210725_c84,14993977_54LaNMvNM
210725_c84,14993977_72LaNMvM
210725_c84,14993977_7HaMvM
210725_c84,14993977_9LaMvNM
210719_c53,NONE
210725_c122,NONE
210725_a147,14731771_111HaMvNM
210725_a147,14731771_112LaMvM
210725_a147,14731771_14LaMvNM
210725_a147,14731771_17HaNMvM
210823_c179,NONE
210725_c130,15367679_101LaMvM
210725_c135,15571068_67HaNMvM
210725_c135,15571068_82HaNMvNM
210725_c135,15571068_121LaMvNM
210725_c135,15571068_96LaNMvNM
210725_c76,14745223_101LaMvM
210725_c81,14745923_130LaMvM
210725_c81,14745923_9LaNMvNM
210725_c86,14742950_101LaMvM
210725_c86,14742950_133HaNMvNM
210725_c86,14742950_30HaNMvNM
210725_c86,14742950_42LaNMvNM
210725_c86,14742950_47LaMvM
210725_c86,14742950_76LaNMvM
210725_c86,14742950_83LaNMvNM
210719_c66,14758562_113HaNMvM
210719_c66,14758562_133LaMvM
210719_c66,14758562_29LaNMvNM
210719_c66,14758562_37LaMvNM
210719_c66,14758562_53HaNMvM
210719_c66,14758562_89HaMvM
210719_c66,14758562_98LaMvM
210725_c128,15186960_8LaMvNM
210823_c177,15326180_101LaMvM
210719_c08,15216048_101LaMvM
210719_c08,15216048_141LaNMvM
210725_c134,15353794_123LaNMvNM
210725_c134,15353794_131HaNMvM
210725_c134,15353794_141HaMvM
210725_c134,15353794_21HaMvM
210725_c134,15353794_25HaMvM
210725_c134,15353794_26HaNMvNM
210725_c134,15353794_27LaMvNM
210725_c124,15410143_101LaMvM
210725_c124,15410143_103LaMvM
210725_c124,15410143_108LaMvM
210725_c124,15410143_123HaNMvNM
210725_c124,15410143_130LaNMvM
210725_c124,15410143_22LaMvM
210725_c124,15410143_73HaMvNM
210725_c124,15410143_8HaNMvM
210725_c125,15465974_116HaNMvNM
210725_c125,15465974_119HaNMvM
210725_c125,15465974_123HaNMvM
210725_c125,15465974_127HaMvNM
210725_c125,15465974_133LaNMvM
210725_c125,15465974_20HaMvM
210725_c125,15465974_48LaNMvM
210725_c125,15465974_65HaMvM
210725_a138,no missing trials
210719_a46,14765602_101LaMvM
210725_a136,14837862_101LaMvM
210725_a136,14837862_119LaMvNM
210725_a136,14837862_63HaMvNM
210725_a136,14837862_74LaMvM
210719_a40,no missing trials
210725_a127,14863743_103HaNMvNM
210725_a127,14863743_104LaMvNM
210725_a127,14863743_110HaNMvM
210719_a09,no missing trials
210719_c25,14864154_101LaMvM
210719_c25,14864154_122LaNMvNM
210719_c25,14864154_22LaMvNM
210719_c25,14864154_67LaMvNM
210719_c25,14864154_99LaMvM
210723_a79,14566634_96LaNMvNM
210725_a83,14570364_101LaMvM
210719_c27,15318438_21LaNMvM
210719_c27,15318438_79HaMvM
210725_c98,14889358_100LaNMvNM
210725_c98,14889358_104HaMvM
210725_c98,14889358_108HaNMvM
210725_c98,14889358_111HaMvNM
210725_c98,14889358_115LaNMvM
210725_c98,14889358_118HaNMvNM
210725_c98,14889358_121LaMvNM
210725_c98,14889358_127HaNMvNM
210725_c98,14889358_131LaNMvNM
210725_c98,14889358_133HaNMvM
210725_c98,14889358_137HaMvNM
210725_c98,14889358_139HaMvM
210725_c98,14889358_13HaMvM
210725_c98,14889358_140LaNMvNM
210725_c98,14889358_15HaNMvNM
210725_c98,14889358_19HaMvM
210725_c98,14889358_20LaNMvNM
210725_c98,14889358_21HaMvNM
210725_c98,14889358_22HaNMvM
210725_c98,14889358_24LaNMvNM
210725_c98,14889358_2LaMvM
210725_c98,14889358_31HaMvM
210725_c98,14889358_32LaNMvNM
210725_c98,14889358_38LaNMvM
210725_c98,14889358_3LaMvNM
210725_c98,14889358_40LaMvNM
210725_c98,14889358_41HaNMvNM
210725_c98,14889358_43LaMvM
210725_c98,14889358_45HaMvNM
210725_c98,14889358_46LaMvNM
210725_c98,14889358_48LaNMvM
210725_c98,14889358_50LaNMvM
210725_c98,14889358_51LaMvM
210725_c98,14889358_52HaMvNM
210725_c98,14889358_54HaMvNM
210725_c98,14889358_62HaMvNM
210725_c98,14889358_64HaMvM
210725_c98,14889358_65LaNMvNM
210725_c98,14889358_68HaMvM
210725_c98,14889358_71HaNMvM
210725_a84,14783259_101LaMvM
210725_a84,14783259_116LaNMvNM
210719_c27,15318438_21LaNMvM
210719_c27,15318438_79HaMvM
210719_c45,15153565_20HaMvM
210719_c45,15153565_75HaNMvNM
210719_c45,15153565_89HaNMvNM
210719_c45,15153565_100HaMvM
210719_c45,15153565_108LaNMvM
210719_c45,15153565_10HaNMvM
210719_c45,15153565_112HaNMvNM
210719_c45,15153565_114HaMvNM
210719_c45,15153565_117LaMvM
210719_c45,15153565_118HaMvNM
210719_c45,15153565_120HaNMvNM
210719_c45,15153565_123HaNMvM
210719_c45,15153565_128HaNMvM
210719_c45,15153565_130LaNMvNM
210719_c45,15153565_134LaNMvNM
210719_c45,15153565_13HaMvM
210719_c45,15153565_14LaMvM
210719_c45,15153565_27LaNMvNM
210719_c45,15153565_28HaMvM
210719_c45,15153565_29LaMvNM
210719_c45,15153565_36LaMvM
210719_c45,15153565_38HaNMvM
210719_c45,15153565_40LaMvM
210719_c45,15153565_41HaMvNM
210719_c45,15153565_43HaNMvNM
210719_c45,15153565_4HaMvNM
210719_c45,15153565_51HaNMvNM
210719_c45,15153565_52HaMvNM
210719_c45,15153565_53LaMvM
210719_c45,15153565_57HaMvNM
210719_c45,15153565_58HaNMvM
210719_c45,15153565_59LaNMvM
210719_c45,15153565_61HaMvM
210719_c45,15153565_62LaMvNM
210719_c45,15153565_63LaNMvM
210719_c45,15153565_64LaNMvNM
210719_c45,15153565_66LaMvNM
210719_c45,15153565_69HaMvM
210719_c45,15153565_71LaNMvM
210719_c45,15153565_72LaNMvNM
210719_c45,15153565_73HaMvM
210719_c45,15153565_76LaMvM
210719_c45,15153565_78HaMvNM
210719_c45,15153565_7HaNMvNM
210719_c45,15153565_87HaMvNM
210719_c45,15153565_94LaNMvM
210719_c51,15126922_136LaMvNM
210719_c51,15126922_48LaNMvM
210719_c51,15126922_71HaMvM
210725_a113,14876122_101LaMvM
210818_c166,15254546_134HaNMvM
210818_c166,15254546_136HaNMvNM
210818_c166,15254546_137LaMvM
210818_c166,15254546_138HaMvNM
210818_c166,15254546_19HaNMvM
210818_c166,15254546_33LaMvM
210818_c166,15254546_38LaMvNM
210725_c96,14886549_101LaMvM
210725_c96,14886549_105HaMvNM
210725_c96,14886549_10HaNMvNM
210725_c96,14886549_114LaMvNM
210725_c96,14886549_115HaNMvNM
210725_c96,14886549_117HaNMvM
210725_c96,14886549_118LaMvNM
210725_c96,14886549_120HaMvM
210725_c96,14886549_128HaNMvNM
210725_c96,14886549_129LaMvM
210725_c96,14886549_132LaNMvNM
210725_c96,14886549_134LaNMvM
210725_c96,14886549_136HaMvNM
210725_c96,14886549_138LaMvM
210725_c96,14886549_13HaMvM
210725_c96,14886549_141LaNMvNM
210725_c96,14886549_15LaMvNM
210725_c96,14886549_17LaMvM
210725_c96,14886549_21LaNMvNM
210725_c96,14886549_22LaMvM
210725_c96,14886549_25LaNMvNM
210725_c96,14886549_26LaMvM
210725_c96,14886549_27LaNMvM
210725_c96,14886549_29LaNMvNM
210725_c96,14886549_37LaMvNM
210725_c96,14886549_3HaNMvM
210725_c96,14886549_40HaNMvM
210725_c96,14886549_43HaMvM
210725_c96,14886549_45HaMvNM
210725_c96,14886549_48LaNMvM
210725_c96,14886549_51HaMvM
210725_c96,14886549_55HaNMvNM
210725_c96,14886549_58HaNMvNM
210725_c96,14886549_5HaNMvNM
210725_c96,14886549_61HaMvNM
210725_c96,14886549_60LaNMvM
210725_c96,14886549_57LaMvNM
210725_c96,14886549_54LaNMvNM
210725_c96,14886549_63LaMvM
210725_c96,14886549_64LaNMvM
210725_c96,14886549_66LaNMvNM
210725_c96,14886549_67LaMvM
210725_c96,14886549_73HaMvNM
210725_c96,14886549_74LaNMvNM
210725_c96,14886549_80HaMvM
210725_c96,14886549_81HaNMvM
210725_c96,14886549_86HaNMvM
210725_c96,14886549_89HaMvM
210725_c96,14886549_90HaNMvM
210725_c96,14886549_91LaMvNM
210725_c96,14886549_96HaMvNM
210725_c96,14886549_98LaMvM
210725_c96,14886549_99LaNMvM
210823_c180,15344475_58HaNMvM
210725_c133,15185742_101LaMvM
210725_c133,15185742_116HaNMvNM
210725_c133,15185742_138LaNMvM
210725_c133,15185742_38HaNMvM
210725_c133,15185742_85HaNMvNM
210719_c43,14729926_101LaMvM
210719_c43,14729926_103HaMvM
210719_c43,14729926_104HaNMvNM
210719_c43,14729926_108HaMvM
210719_c43,14729926_109HaNMvNM
210719_c43,14729926_10LaMvM
210719_c43,14729926_111HaNMvM
210719_c43,14729926_112LaNMvNM
210719_c43,14729926_118LaNMvM
210719_c43,14729926_123LaMvM
210719_c43,14729926_127LaNMvM
210719_c43,14729926_12LaNMvNM
210719_c43,14729926_130HaNMvNM
210719_c43,14729926_134HaNMvNM
210719_c43,14729926_138HaMvM
210719_c43,14729926_13HaMvM
210719_c43,14729926_141HaNMvM
210719_c43,14729926_14HaMvNM
210719_c43,14729926_16LaMvM
210719_c43,14729926_19HaNMvNM
210719_c43,14729926_22HaMvM
210719_c43,14729926_23HaNMvNM
210719_c43,14729926_30HaMvM
210719_c43,14729926_35LaNMvNM
210719_c43,14729926_39LaNMvNM
210719_c43,14729926_3HaMvNM
210719_c43,14729926_41LaNMvM
210719_c43,14729926_48LaNMvM
210719_c43,14729926_4LaNMvM
210719_c43,14729926_50LaMvM
210719_c43,14729926_51LaNMvNM
210719_c43,14729926_52HaMvNM
210719_c43,14729926_57LaNMvM
210719_c43,14729926_60HaNMvNM
210719_c43,14729926_61LaMvNM
210719_c43,14729926_71HaMvM
210719_c43,14729926_72HaNMvNM
210719_c43,14729926_75LaNMvNM
210719_c43,14729926_78LaNMvM
210719_c43,14729926_79LaMvM
210719_c43,14729926_7LaNMvNM
210719_c43,14729926_88LaMvM
210719_c43,14729926_89LaNMvNM
210719_c43,14729926_91LaNMvM
210719_c43,14729926_96LaMvNM
210719_c43,14729926_97HaNMvM
210719_c43,14729926_98HaMvM
210719_c43,14729926_99HaNMvNM
210719_c43,14729926_9LaNMvM
210725_c98,14889358_101LaMvM
210725_c98,14889358_104HaMvM
210725_c98,14889358_10LaNMvM
210725_c98,14889358_111HaMvNM
210725_c98,14889358_114HaNMvNM
210725_c98,14889358_115LaNMvM
210725_c98,14889358_118HaNMvNM
210725_c98,14889358_121LaMvNM
210725_c98,14889358_124LaMvM
210725_c98,14889358_126LaMvNM
210725_c98,14889358_129HaNMvM
210725_c98,14889358_130HaMvM
210725_c98,14889358_131LaNMvNM
210725_c98,14889358_133HaNMvM
210725_c98,14889358_136LaNMvNM
210725_c98,14889358_137HaMvNM
210725_c98,14889358_138HaNMvM
210725_c98,14889358_140LaNMvNM
210725_c98,14889358_19HaMvM
210725_c98,14889358_20LaNMvNM
210725_c98,14889358_24LaNMvNM
210725_c98,14889358_25HaMvNM
210725_c98,14889358_28LaNMvNM
210725_c98,14889358_31HaMvM
210725_c98,14889358_38LaNMvM
210725_c98,14889358_3LaMvNM
210725_c98,14889358_41HaNMvNM
210725_c98,14889358_42LaNMvM
210725_c98,14889358_43LaMvM
210725_c98,14889358_45HaMvNM
210725_c98,14889358_4HaNMvNM
210725_c98,14889358_50LaNMvM
210725_c98,14889358_51LaMvM
210725_c98,14889358_52HaMvNM
210725_c98,14889358_54HaMvNM
210725_c98,14889358_55HaNMvNM
210725_c98,14889358_60HaMvM
210725_c98,14889358_61LaNMvNM
210725_c98,14889358_62HaMvNM
210725_c98,14889358_63HaNMvM
210725_c98,14889358_64HaMvM
210725_c98,14889358_65LaNMvNM
210725_c98,14889358_68HaMvM
210725_c98,14889358_70HaMvNM
210725_c98,14889358_71HaNMvM
210725_c98,14889358_74HaMvNM
210725_c98,14889358_75LaMvM
210725_c98,14889358_76LaMvNM
210725_c98,14889358_79LaNMvM
210725_c98,14889358_81LaMvNM
210725_c98,14889358_87HaNMvNM
210725_c98,14889358_8LaMvNM
210725_c98,14889358_91HaNMvNM
210725_c98,14889358_98HaNMvM
210725_c98,14889358_99HaMvM
210725_c98,14889358_9HaNMvNM
