"parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","batch","original_label"
"210719_a08","14866651",534.227288153397,257.162092074987,"1","","100H","pole","aM","vNM","H","a","aMvNM",2.28585743278668,1.75163014463328,2.02869534071169,2,"14866651_100HaMvNM"
"210719_a08","14866651",601.685363858855,409.093250014575,"1","","101L","pool","aM","vM","L","a","aMvM",2.55929513562883,1.95760977176997,2.15020188561425,2,"14866651_101LaMvM"
"210719_a08","14866651",390.58588063382,191.69537137454,"1","","102L","prize","aNM","vM","L","a","aNMvM",2.62198466045358,2.23139877981976,2.43028928907904,2,"14866651_102LaNMvM"
"210719_a08","14866651",604.035441480742,268.669656282332,"1","","103L","raft","aM","vM","L","a","aMvM",2.83453737877085,2.23050193729011,2.56586772248852,2,"14866651_103LaMvM"
"210719_a08","14866651",727.348536548485,382.679319268085,"1","","104L","rent","aNM","vM","L","a","aNMvM",2.88177095674772,2.15442242019924,2.49909163747964,2,"14866651_104LaNMvM"
"210719_a08","14866651",342.646568827166,179.934447615116,"1","","105H","rim","aM","vNM","H","a","aMvNM",2.69906247590634,2.35641590707917,2.51912802829122,2,"14866651_105HaMvNM"
"210719_a08","14866651",609.834883135202,395.127174801772,"1","","107L","rope","aNM","vNM","L","a","aNMvNM",2.8077829232961,2.1979480401609,2.41265574849433,2,"14866651_107LaNMvNM"
"210719_a08","14866651",561.887707373977,515.987244410977,"0","a row","108L","row","aM","vM","L","a","aMvM",2.92649785126613,2.36461014389215,2.41051060685515,2,"14866651_108LaMvM"
"210719_a08","14866651",560.693155297597,304.713385182587,"1","","109L","sand","aNM","vM","L","a","aNMvM",2.69119777784442,2.13050462254682,2.38648439266183,2,"14866651_109LaNMvM"
"210719_a08","14866651",387.16895636308,228.95078506678,"1","","10H","bowl","aNM","vNM","H","a","aNMvNM",2.63352802376011,2.24635906739703,2.40457723869333,2,"14866651_10HaNMvNM"
"210719_a08","14866651",330.056679184058,168.522258894318,"1","","110H","scab","aM","vNM","H","a","aMvNM",2.45465517912181,2.12459849993775,2.28613292022749,2,"14866651_110HaMvNM"
"210719_a08","14866651",707.487755730097,405.284052026337,"1","","111L","seeds","aNM","vNM","L","a","aNMvNM",2.43453602197384,1.72704826624374,2.0292519699475,2,"14866651_111LaNMvNM"
"210719_a08","14866651",384.665987861222,212.336609003142,"1","","112H","shed","aM","vM","H","a","aMvM",2.36130769083705,1.97664170297583,2.14897108183391,2,"14866651_112HaMvM"
"210719_a08","14866651",740.779991640539,531.254528677519,"1","","113H","sheep","aNM","vM","H","a","aNMvM",2.80784555304009,2.06706556139955,2.27659102436257,2,"14866651_113HaNMvM"
"210719_a08","14866651",755.514189563243,567.503892628383,"1","","114L","silk","aM","vNM","L","a","aMvNM",2.67317383240463,1.91765964284139,2.10566993977625,2,"14866651_114LaMvNM"
"210719_a08","14866651",472.907430834163,226.217364409053,"1","","115H","skirt","aNM","vNM","H","a","aNMvNM",2.64729536423598,2.17438793340182,2.42107799982693,2,"14866651_115HaNMvNM"
"210719_a08","14866651",514.949819092189,287.101121175628,"1","","116H","sleeves","aM","vM","H","a","aMvM",2.83422342873178,2.31927360963959,2.54712230755615,2,"14866651_116HaMvM"
"210719_a08","14866651",420.762061577115,156.800229312165,"1","","117H","slice","aNM","vM","H","a","aNMvM",2.52377923978331,2.10301717820619,2.36697901047114,2,"14866651_117HaNMvM"
"210719_a08","14866651",482.299241116294,326.872993344434,"1","","118L","sling","aM","vNM","L","a","aMvNM",2.81856980818409,2.3362705670678,2.49169681483966,2,"14866651_118LaMvNM"
"210719_a08","14866651",436.744646892781,165.713374962971,"1","","119H","splash","aNM","vNM","H","a","aNMvNM",2.60740630553122,2.17066165863844,2.44169293056825,2,"14866651_119HaNMvNM"
"210719_a08","14866651",523.622960354078,128.320422094867,"1","","120H","sponge","aM","vM","H","a","aMvM",2.72410679052967,2.20048383017559,2.5957863684348,2,"14866651_120HaMvM"
"210719_a08","14866651",382.242790837606,134.641021992356,"1","","121H","spool","aNM","vM","H","a","aNMvM",2.22046893734898,1.83822614651137,2.08582791535662,2,"14866651_121HaNMvM"
"210719_a08","14866651",325.038347297108,166.389041741478,"1","","122L","spoon","aM","vNM","L","a","aMvNM",2.5491956558475,2.22415730855039,2.38280661410602,2,"14866651_122LaMvNM"
"210719_a08","14866651",333.063894593367,151.271753092957,"1","","123H","sport","aNM","vNM","H","a","aNMvNM",2.67993687451214,2.34687297991877,2.52866512141918,2,"14866651_123HaNMvNM"
"210719_a08","14866651",276.575889496318,223.846722829588,"1","","124H","spray","aM","vM","H","a","aMvM",2.35922764680271,2.08265175730639,2.13538092397312,2,"14866651_124HaMvM"
"210719_a08","14866651",274.401001973654,68.1334732379737,"1","","126H","strap","aNM","vM","H","a","aNMvM",2.30487878795331,2.03047778597966,2.23674531471534,2,"14866651_126HaNMvM"
"210719_a08","14866651",712.240237731939,247.095477631059,"1","","127L","swamps","aM","vNM","L","a","aMvNM",2.7181357129194,2.00589547518746,2.47104023528834,2,"14866651_127LaMvNM"
"210719_a08","14866651",400.488360180506,272.495213731566,"1","","128H","swan","aNM","vNM","H","a","aNMvNM",2.5948749827168,2.19438662253629,2.32237976898523,2,"14866651_128HaNMvNM"
"210719_a08","14866651",452.160340586413,403.221702631343,"1","","129L","tea","aM","vM","L","a","aMvM",2.67564110211087,2.22348076152446,2.27241939947953,2,"14866651_129LaMvM"
"210719_a08","14866651",450.38226800631,267.646317151621,"1","","12H","bread","aM","vM","H","a","aMvM",2.83158301970392,2.38120075169761,2.5639367025523,2,"14866651_12HaMvM"
"210719_a08","14866651",618.807983471848,265.372451064458,"1","","130L","tent","aNM","vM","L","a","aNMvM",2.37676434084373,1.75795635737188,2.11139188977927,2,"14866651_130LaNMvM"
"210719_a08","14866651",626.714774404489,353.94514299435,"1","","131H","thief","aM","vNM","H","a","aMvNM",2.48068410566782,1.85396933126333,2.12673896267347,2,"14866651_131HaMvNM"
"210719_a08","14866651",676.117512117283,379.203533622614,"1","","132L","thorns","aNM","vNM","L","a","aNMvNM",2.98653308814556,2.31041557602828,2.60732955452295,2,"14866651_132LaNMvNM"
"210719_a08","14866651",564.591476506851,328.635189304581,"1","","133L","throat","aM","vM","L","a","aMvM",2.40413649707171,1.83954502056486,2.07550130776713,2,"14866651_133LaMvM"
"210719_a08","14866651",584.85762002542,430.986362309431,"1","","134L","tin","aNM","vM","L","a","aNMvM",2.33992292660136,1.75506530657594,1.90893656429193,2,"14866651_134LaNMvM"
"210719_a08","14866651",470.059872905735,271.717787849765,"1","","136H","trail","aM","vNM","H","a","aMvNM",2.27852503929059,1.80846516638485,2.00680725144082,2,"14866651_136HaMvNM"
