"combine","sentence_label","start_1","start_n","end_1","end_n","beep","length1","length2","length3"
"2H barn","2H_aM",1.97,2.33,2.06,2.45,0.364132753237326,1.60586724676267,1.69586724676267,2.08586724676267
"2L barn","2L_aM",5.007,5.377,5.087,5.477,3.51170023214436,1.49529976785564,1.57529976785564,1.96529976785564
"3H bay","3H_aM",8.342,8.422,8.422,8.792,6.71629025238852,1.62570974761148,1.70570974761148,2.07570974761148
"3L bay","3L_aM",11.7229,11.8129,11.8129,12.1529,9.6529399330924,2.0699600669076,2.1599600669076,2.4999600669076
"4H beak","4H_aM",15.8719,16.1719,15.9619,16.3919,13.7522270278938,2.11967297210624,2.20967297210624,2.63967297210624
"4L beak","4L_aM",19.5029,19.8129,19.5929,19.9929,17.5955677580951,1.90733224190494,1.99733224190494,2.39733224190493
"5H beam","5H_aM",23.3759,23.5959,23.4359,23.7559,21.327934500054,2.047965499946,2.107965499946,2.427965499946
"5L beam","5L_aM",26.9548,27.1948,27.0248,27.3448,25.0556561422884,1.89914385771163,1.96914385771163,2.28914385771163
"7H bend","7H_aM",30.6318,31.0018,30.7318,31.1418,28.7610160439257,1.87078395607425,1.97078395607425,2.38078395607425
"7L bend","7L_aM",34.0488,34.4188,34.1488,34.6088,32.1470368712986,1.90176312870144,2.00176312870144,2.46176312870144
"8H blame","8H_aM",37.8678,38.2078,37.9478,38.3078,35.8136476976634,2.0541523023366,2.1341523023366,2.49415230233659
"8L blame","8L_aM",41.1168,41.4868,41.2068,41.6468,39.7315195213643,1.38528047863569,1.4752804786357,1.91528047863569
"9H blast","9H_aM",44.3857,44.9357,44.4757,45.0657,42.4891155379564,1.89658446204357,1.98658446204357,2.57658446204357
"9L blast","9L_aM",47.9427,48.5127,48.0227,48.6527,46.418522847755,1.52417715224495,1.60417715224495,2.23417715224495
"10H bowl","10H_aM",51.9597,52.3297,52.0797,52.4997,50.0193854076708,1.9403145923292,2.06031459232921,2.4803145923292
"10L bowl","10L_aM",55.8767,56.2367,55.9867,56.3767,53.7969160378751,2.07978396212494,2.18978396212494,2.57978396212494
"11H brat","11H_aM",59.5437,59.8437,59.6437,60.0637,57.6570029066324,1.88669709336763,1.98669709336763,2.40669709336763
"11L brat","11L_aM",63.0226,63.3426,63.1226,63.6026,61.2404121843729,1.78218781562705,1.88218781562706,2.36218781562706
"12H bread","12H_aM",67.1156,67.4456,67.2156,67.6356,65.0757778302244,2.03982216977565,2.13982216977564,2.55982216977564
"12L bread","12L_aM",70.4626,70.7726,70.5526,70.9426,68.8321005117311,1.63049948826885,1.72049948826886,2.11049948826886
"13H breath","13H_aM",73.8716,74.1816,73.9716,74.2116,71.859850494666,2.011749505334,2.11174950533399,2.351749505334
"13L breath","13L_aM",78.0366,78.3566,78.1366,78.4266,75.742881808176,2.29371819182404,2.39371819182404,2.68371819182403
"14H broom","14H_aM",80.8735,81.2235,80.9735,81.3535,79.1721287039619,1.70137129603813,1.80137129603813,2.18137129603812
"14L broom","14L_aM",84.4265,84.8265,84.5365,84.9165,82.2783673072344,2.14813269276561,2.25813269276561,2.63813269276561
"15H bruise","15H_aM",88.3095,88.7195,88.4095,88.9195,86.4228804099809,1.88661959001914,1.98661959001913,2.49661959001914
"15L bruise","15L_aM",92.3245,92.7745,92.4345,92.9345,90.6486317787956,1.67586822120437,1.78586822120437,2.28586822120437
"16H cake","16H_aM",96.3075,96.5775,96.4375,96.7475,93.9317722744069,2.37572772559309,2.50572772559309,2.81572772559309
"16L cake","16L_aM",100.3304,100.6404,100.4604,100.8504,98.1999126122409,2.13048738775908,2.26048738775908,2.65048738775907
"17H calf","17H_aM",104.0974,104.4274,104.2274,104.5674,101.85318087422,2.24421912578029,2.3742191257803,2.7142191257803
"17L calf","17L_aM",108.4404,108.8004,108.5604,108.8604,106.077730136179,2.36266986382067,2.48266986382068,2.78266986382067
"19H chat","19H_aM",111.6554,111.9554,111.8054,112.1954,109.908762235615,1.74663776438535,1.89663776438536,2.28663776438536
"19L chat","19L_aM",115.9904,116.2904,116.1404,116.5204,113.941552572718,2.04884742728203,2.19884742728203,2.57884742728203
"20H chunks","20H_aM",119.9593,120.4793,120.1293,120.6193,118.184471503378,1.77482849662235,1.94482849662235,2.43482849662234
"20L chunks","20L_aM",124.2323,124.7123,124.3823,124.8723,122.01987358387,2.21242641612974,2.36242641612975,2.85242641612975
"21H clerk","21H_aM",128.6773,129.0573,128.7773,129.2673,126.452269240163,2.22503075983654,2.32503075983654,2.81503075983655
"21L clerk","21L_aM",132.6963,133.0963,132.8063,133.2663,130.922361272535,1.77393872746458,1.88393872746457,2.34393872746458
"22H cliff","22H_aM",137.0153,137.2853,137.1253,137.5353,135.151869925959,1.86343007404145,1.97343007404146,2.38343007404146
"22L cliff","22L_aM",140.6662,140.9262,140.7662,140.9762,138.952307839715,1.71389216028527,1.81389216028526,2.02389216028527
"23H clock","23H_aM",143.5032,143.7732,143.6132,143.9632,141.986812733773,1.51638726622701,1.62638726622703,1.97638726622702
"23L clock","23L_aM",147.3262,147.5562,147.4262,147.8062,145.257900915409,2.06829908459108,2.16829908459107,2.54829908459106
"24H clue","24H_aM",150.7652,150.9652,150.8952,151.2152,148.665363524521,2.09983647547915,2.22983647547915,2.54983647547917
"24L clue","24L_aM",154.2982,154.4782,154.4282,154.7482,152.437740415306,1.86045958469433,1.99045958469432,2.31045958469431
"25H coach","25H_aM",158.2271,158.5271,158.3671,158.8171,156.426621223949,1.80047877605051,1.9404787760505,2.39047877605051
"25L coach","25L_aM",163.0321,163.3521,163.1721,163.5921,160.812533350985,2.21956664901549,2.35956664901548,2.77956664901546
"26H coast","26H_aM",166.2731,166.7631,166.4131,166.9031,164.933746277628,1.33935372237204,1.47935372237203,1.96935372237203
"26L coast","26L_aM",170.5521,171.0321,170.7021,171.1621,168.521628392635,2.03047160736477,2.18047160736478,2.64047160736479
"27H coin","27H_aM",174.729,175.149,174.839,175.289,172.738267171961,1.990732828039,2.10073282803899,2.55073282803897
"27L coin","27L_aM",178.178,178.548,178.288,178.698,176.188402084509,1.989597915491,2.09959791549102,2.50959791549101
"28H cops","28H_aM",182.093,182.503,182.213,182.693,180.232803485364,1.86019651463567,1.98019651463568,2.4601965146357
"28L cops","28L_aM",186.1,186.52,186.22,186.66,183.968124590336,2.13187540966402,2.25187540966402,2.69187540966402
"29H crash","29H_aM",189.831,190.151,189.921,190.181,187.929037694963,1.90196230503707,1.99196230503708,2.2519623050371
"29L crash","29L_aM",193.2939,193.6539,193.3939,193.8539,191.240180697094,2.0537193029059,2.1537193029059,2.61371930290591
"30H crew","30H_aM",196.3049,196.4749,196.4049,196.6949,194.515450181881,1.78944981811881,1.88944981811881,2.1794498181188
"30L crew","30L_aM",199.2659,199.4559,199.3859,199.7059,197.480546531759,1.7853534682406,1.90535346824061,2.22535346824063
"31H crib","31H_aM",202.7149,202.9949,202.8249,203.0249,201.084183751997,1.6307162480027,1.74071624800271,1.9407162480027
"31L crib","31L_aM",206.1079,206.4179,206.2379,206.4679,203.973811036832,2.13408896316815,2.26408896316815,2.49408896316814
"32H crop","32H_aM",209.9108,210.1908,210.0308,210.4108,207.980282461659,1.93051753834129,2.0505175383413,2.43051753834129
"32L crop","32L_aM",213.4098,213.6698,213.5198,213.8998,211.364461802721,2.04533819727922,2.15533819727924,2.53533819727923
"33H crown","33H_aM",216.9348,217.3048,217.0348,217.4348,215.512483373832,1.42231662616803,1.52231662616802,1.92231662616803
"33L crown","33L_aM",220.0618,220.4618,220.1718,220.5918,218.514426844374,1.54737315562605,1.65737315562603,2.07737315562605
"35H curb","35H_aM",223.6707,224.0507,223.8007,224.0907,221.643919398002,2.02678060199801,2.15678060199801,2.446780601998
