label	timetype	timepoint
15367679_100HaNMvNM	b	1.091268798869384
15367679_100HaNMvNM	rstart	3.471108796296296
15367679_102LaNMvMj	b	15.96458719880079
15367679_102LaNMvMj	rstart	18.64402543604651
15367679_103HaMvNM	b	23.283102003281048
15367679_103HaMvNM	rstart	26.669396648550723
15367679_104HaNMvM	b	28.983642031115696
15367679_104HaNMvM	rstart	32.034046296296296
15367679_105HaNMvNM	b	34.11605889715313
15367679_105HaNMvNM	rstart	36.652772116174056
15367679_107LaMvM	b	39.215478368981074
15367679_107LaMvM	rstart	42.28978067129629
15367679_108HaMvNM	b	43.879192803350904
15367679_108HaMvNM	rstart	46.363943359375
15367679_109HaNMvM	b	48.345916444342386
15367679_109HaNMvM	rstart	50.57865432098765
15367679_10LaMvNM	b	52.54611801247053
15367679_10LaMvNM	rstart	55.24988903985507
15367679_110HaNMvNM	b	58.145212585157715
15367679_110HaNMvNM	rstart	60.54139893447837
15367679_111LaMvM	b	63.871279940479475
15367679_111LaMvM	rstart	66.21359845430108
15367679_112LaNMvM	b	67.37546232935306
15367679_112LaNMvM	rstart	69.7960349970024
15367679_113LaNMvNM	b	71.39657802610004
15367679_113LaNMvNM	rstart	74.15124669715448
15367679_114HaMvM	b	80.78313248615551
15367679_114HaMvM	rstart	82.91408691406251
15367679_115LaMvNM	b	85.90593882828365
15367679_115LaMvNM	rstart	88.23513492063492
15367679_116LaNMvM	b	90.4082356011725
15367679_116LaNMvM	rstart	93.34540684523809
15367679_117LaNMvNM	b	95.9266396903824
15367679_117LaNMvNM	rstart	98.56106380208332
15367679_118HaMvM	b	100.71168197716933
15367679_118HaMvM	rstart	103.09304337431693
15367679_119LaMvNM	b	105.13827129627721
15367679_119LaMvNM	rstart	106.99299599358974
15367679_120LaNMvM	b	111.87074166566407
15367679_120LaNMvM	rstart	114.36731052927928
15367679_121LaNMvNM	b	116.33884464701124
15367679_121LaNMvNM	rstart	118.81009375
15367679_122HaMvM	b	120.96762588650722
15367679_122HaMvM	rstart	123.18304857209738
15367679_123LaMvNM	b	125.96195858748825
15367679_123LaMvNM	rstart	128.5216055812757
15367679_124LaNMvM	b	130.7852920889858
15367679_124LaNMvM	rstart	133.28621659482758
15367679_126LaNMvNM	b	135.88793065580944
15367679_126LaNMvNM	rstart	138.37895228494625
15367679_127HaMvM	b	140.04095005149523
15367679_127HaMvM	rstart	142.48827529761905
15367679_128LaMvNM	b	144.45688001432745
15367679_128LaMvNM	rstart	146.59758210301837
15367679_129HaMvNM	b	148.5551916656449
15367679_129HaMvNM	rstart	151.04055208333332
15367679_12LaNMvM	b	152.7016710087729
15367679_12LaNMvM	rstart	154.8162113095238
15367679_130HaNMvM	b	156.43096056438947
15367679_130HaNMvM	rstart	158.66213229166667
15367679_131HaNMvNM	b	161.15953316302645
15367679_131HaNMvNM	rstart	163.2686663572607
15367679_132LaMvM	b	165.2038147239811
15367679_132LaMvM	rstart	168.22089930555555
15367679_133HaMvNM	b	170.70097773438718
15367679_133HaMvNM	rstart	173.13808758802816
15367679_134HaNMvM	b	178.456490796901
15367679_134HaNMvM	rstart	180.9351941773504
15367679_136HaNMvNM	b	183.00144522985897
15367679_136HaNMvNM	rstart	185.11478819444443
15367679_137LaMvM	b	187.1061734955968
15367679_137LaMvM	rstart	189.60135624999998
15367679_138HaMvNM	b	192.5949079188015
15367679_138HaMvNM	rstart	195.74774495614034
15367679_139HaNMvM	b	197.86469753746076
15367679_139HaNMvM	rstart	200.1731640114379
15367679_13HaMvM	b	203.09218161517214
15367679_13HaMvM	rstart	206.0561446759259
15367679_140HaNMvNM	b	209.4255295516777
15367679_140HaNMvNM	rstart	212.3254779345878
15367679_141LaMvM	b	214.4696846126196
