label	timetype	timepoint
14956811_100HaMvM	b	1.4903754411591243
14956811_100HaMvM	rstart	3.547520833333333
14956811_102LaNMvM	b	12.75519441833659
14956811_102LaNMvM	rstart	15.188596221751412
14956811_103LaNMvM	b	18.8326401685641
14956811_103LaNMvM	rstart	21.575364583333332
14956811_104LaNMvNM	b	29.163293781668084
14956811_104LaNMvNM	rstart	31.79474513888889
14956811_105HaMvM	b	36.076224990621654
14956811_105HaMvM	rstart	38.70272916666667
14956811_107LaMvNM	b	41.95984430545683
14956811_107LaMvNM	rstart	44.32370486111111
14956811_108LaNMvM	b	46.89656445122605
14956811_108LaNMvM	rstart	49.420318452380954
14956811_109LaNMvNM	b	54.01521057790913
14956811_109LaNMvNM	rstart	56.54035625
14956811_10HaNMvM	b	60.660153411178385
14956811_10HaNMvM	rstart	63.36408506944444
14956811_111LaMvNM	b	72.12413741091179
14956811_111LaMvNM	rstart	74.29516908561739
14956811_112HaNMvNM	b	77.94587880910639
14956811_112HaNMvNM	rstart	80.06352994791666
14956811_113LaMvM	b	89.37575294371322
14956811_113LaMvM	rstart	91.25074813718165
14956811_114HaMvNM	b	93.85916138875321
14956811_114HaMvNM	rstart	95.95634375
14956811_115HaNMvM	b	98.44432344604891
14956811_115HaNMvM	rstart	100.81132481060607
14956811_116HaNMvNM	b	103.27679411362098
14956811_116HaNMvNM	rstart	105.96877787162161
14956811_117LaMvM	b	108.23145340910972
14956811_117LaMvM	rstart	110.83720703125
14956811_118HaMvNM	b	113.63514400922668
14956811_118HaMvNM	rstart	115.88369560185184
14956811_119HaNMvM	b	118.94255621735515
14956811_119HaNMvM	rstart	121.43803615196077
14956811_120HaNMvNM	b	126.623897822983
14956811_120HaNMvNM	rstart	129.2747509469697
14956811_121LaMvM	b	132.72929290140038
14956811_121LaMvM	rstart	134.99533333333332
14956811_122HaMvNM	b	137.92524435392193
14956811_122HaMvNM	rstart	140.08360714285715
14956811_123HaNMvM	b	143.1194259963218
14956811_123HaNMvM	rstart	145.54894791666666
14956811_124HaNMvNM	b	158.21312647345945
14956811_124HaNMvNM	rstart	160.50740579710146
14956811_126LaMvM	b	164.0686880368723
14956811_126LaMvM	rstart	166.42816550925926
14956811_127HaMvNM	b	169.36905734991174
14956811_127HaMvNM	rstart	171.79184606481482
14956811_128HaNMvM	b	174.2304340299638
14956811_128HaNMvM	rstart	176.57467708333334
14956811_129LaNMvM	b	179.73787325095478
14956811_129LaNMvM	rstart	182.0833316532258
14956811_12HaNMvNM	b	184.96736420658212
14956811_12HaNMvNM	rstart	187.44702724358976
14956811_130LaNMvNM	b	190.3680223951889
14956811_130LaNMvNM	rstart	192.52028124999998
14956811_131HaMvM	b	195.16046923831874
14956811_131HaMvM	rstart	197.52640625
14956811_132LaMvNM	b	200.13657132521814
14956811_132LaMvNM	rstart	203.0788611111111
14956811_133LaNMvM	b	214.69033089381
14956811_133LaNMvM	rstart	216.85667708333332
14956811_134LaNMvNM	b	219.4639240241942
14956811_134LaNMvNM	rstart	222.12428125
14956811_136HaMvM	b	223.57244864049812
