label	correctans	note	duration2
14657603_100HaNMvM	pole	1_	0.6035140398550725
14657603_101LaMvM	pool	1_	0.5703114035087715
14657603_102LaNMvM	prize	1_	0.5482903730936819
14657603_103HaNMvNM	raft	1_	0.5596132812499999
14657603_104LaMvNM	rent	1_	0.5649813988095236
14657603_105HaNMvM	rim	1_	0.5375091145833331
14657603_108HaNMvNM	row	1_	0.583747395833333
14657603_109LaMvNM	sand	1_	0.4999454656862721
14657603_10LaNMvNM	bowl	1_	0.5471065051020396
14657603_110HaNMvM	scab	1_	0.5509439102564091
14657603_111HaMvM	seeds	1_	0.5565494791666623
14657603_112HaMvNM	shed	1_	0.6845096153846129
14657603_113LaNMvM	sheep	1_	0.5859827651515133
14657603_114LaMvM	silk	1_	0.5253275462962961
14657603_115LaNMvNM	skirt	1_	0.5387281249999987
14657603_116HaMvNM	sleeves	1_	0.5355553728070177
14657603_117LaNMvM	slice	1_	0.5912187499999995
14657603_118LaMvM	sling	1_	0.551256249999998
14657603_119LaNMvNM	splash	1_	0.5235906249999971
14657603_120HaMvNM	sponge	1_	0.6247746883202119
14657603_121LaNMvM	spool	1_	0.5142685185185201
14657603_122LaMvM	spoon	1_	0.5181521990740805
14657603_123LaNMvNM	sport	1_	0.5528678385416725
14657603_124HaMvNM	spray	1_	0.5406032196969761
14657603_126LaNMvM	strap	1_	0.5349633824599778
14657603_127LaMvM	swamps	1_	0.5406630329457442
14657603_128LaNMvNM	swan	1_	0.670111979166677
14657603_129HaNMvNM	tea	1_	0.5801882062147001
14657603_12HaMvNM	bread	1_	0.608584556342791
14657603_131HaNMvM	thief	1_	0.9226479166666763
14657603_133HaNMvNM	throat	1_	0.6011794871794933
14657603_134LaMvNM	tin	1_	0.620955436550986
14657603_136HaNMvM	trail	1_	0.5247476478494733
14657603_137HaMvM	trap	1_	0.5627412990196135
14657603_138HaNMvNM	truck	1_	0.6292199577294753
14657603_139LaMvNM	tub	1_	0.636347526803128
14657603_13HaMvM	breath	1_	0.6976533376479352
14657603_140HaNMvM	van	1_	0.6102929687500023
14657603_141HaMvM	wax	1_	0.562031250000004
14657603_14LaNMvM	broom	1_	0.6418627450980523
14657603_15LaMvM	bruise	1_	0.6137616894426685
14657603_16LaNMvNM	cake	1_	0.6217932064575251
14657603_17HaNMvNM	calf	1_	0.5964071484071525
14657603_19LaMvNM	chat	1_	0.5784954044117683
14657603_20HaNMvM	chunks	1_	0.5500495323129257
14657603_21HaMvM	clerk	1_	0.5399790723981823
14657603_23LaMvNM	clock	1_	0.5358082022144401
14657603_24HaNMvM	clue	1_	0.5328993055555458
14657603_25HaMvM	coach	1_	0.5542350628930706
14657603_26HaNMvNM	coast	1_	0.5564090773809482
14657603_27LaMvNM	coin	1_	0.6115407986111023
14657603_28HaNMvM	cops	1_	0.5739891951345584
14657603_29HaMvM	crash	1_	0.539272916666647
14657603_2HaMvNM	barn	1_	0.5731394356955235
14657603_30HaNMvNM	crew	1_	0.5605551697530728
14657603_31LaMvNM	crib	1_	0.7194510648148054
14657603_32HaNMvM	crop	1_	0.5511647727272475
14657603_33HaMvM	crown	1_	0.5285937499999704
14657603_35HaMvNM	curb	1_	0.7028919642856835
14657603_36LaNMvM	dart	1_	0.5500367402208468
14657603_37LaMvM	deck	1_	0.5906510178842979
14657603_38LaNMvNM	den	1_	0.5536757812499786
14657603_39HaMvNM	dent	1_	0.5638458698830107
14657603_3LaNMvM	bay	1_	0.591333975205373
14657603_40LaNMvM	ditch	1_	0.5562858056920277
14657603_41LaMvM	dive	1_	0.616259027777744
14657603_42LaNMvNM	doll	1_	0.6114700501014312
14657603_43HaMvNM	dove	1_	0.7404136642588384
14657603_44LaNMvNM	draft	1_	0.6141127482728592
14657603_45HaMvNM	drain	1_	0.626820814220153
14657603_46LaNMvM	drug	1_	0.6700376602563836
14657603_47LaMvM	drum	1_	0.5881392746913292
14657603_48LaNMvM	feast	0_beast	0.6140364191729049
14657603_4LaMvM	beak	1_	0.6185971283783545
14657603_50LaNMvNM	flame	0_plane	0.5930640407985805
14657603_51HaMvNM	flock	1_	0.6013110119047269
14657603_53LaNMvM	frogs	1_	0.6115549768518207
14657603_54HaMvM	fudge	1_	0.5760355235042596
14657603_55HaNMvNM	fur	1_	0.6161636029411284
14657603_57LaMvM	glue	0_blue	0.6081225961538053
14657603_58LaNMvNM	goal	1_	0.6213885960508492
14657603_59HaNMvNM	gown	1_	0.6478753360214853
14657603_5LaNMvNM	beam	1_	0.6931049107142826
14657603_60LaMvNM	grin	1_	0.5974675925926078
14657603_61HaNMvM	growl	1_	0.5772909044715391
14657603_62HaMvM	hay	1_	0.6984699754902124
14657603_63HaNMvNM	hedge	1_	0.5853315373563532
14657603_64LaMvNM	hen	1_	0.5796354166666902
14657603_65HaNMvM	herd	1_	0.5972356150793985
14657603_66HaMvM	hint	1_	0.6007178819444619
14657603_67HaNMvNM	hips	1_	0.6062751225490501
14657603_68LaMvNM	hive	1_	0.5573184523809687
14657603_69HaNMvM	host	1_	0.567692234848522
14657603_70HaMvM	hug	1_	0.5601791158536571
14657603_71HaNMvNM	jar	1_	0.5711583528951394
14657603_72LaMvNM	juice	1_	0.6455490045156012
14657603_73HaNMvM	junk	1_	0.5445217435275254
14657603_74HaMvM	kick	1_	0.5450768346379959
14657603_75HaMvNM	knife	1_	0.5725989583333728
14657603_76LaNMvM	knob	1_	0.5351322916666845
14657603_78LaMvM	lap	1_	0.6168536706349244
14657603_79LaNMvNM	lid	1_	0.5633971920289866
14657603_7HaMvNM	bend	1_	0.5628939950980225
14657603_80HaMvNM	lock	1_	0.5694270833333519
14657603_81LaNMvM	logs	1_	0.566118856837619
14657603_82LaMvM	lungs	1_	0.5438462301587492
14657603_83LaNMvNM	map	1_	0.5591319444444594
14657603_85HaMvNM	mat	1_	0.5820400219298563
14657603_87LaMvM	mop	1_	0.5741309523809548
14657603_89HaMvNM	mug	1_	0.5750281250000171
14657603_8LaNMvM	blame	0_maim?	0.5834005681818439
14657603_90LaNMvM	net	1_	0.6275550130208387
14657603_91LaMvM	notch	0_nokch?	0.6407934027777742
14657603_93LaNMvNM	pad	1_	0.6223024814225369
14657603_94HaNMvNM	pet	1_	0.588885010822537
14657603_95LaMvNM	pie	1_	0.579897615131614
14657603_96HaNMvM	pile	1_	0.5732187500000236
14657603_97HaMvM	pill	1_	0.5354512266355584
14657603_98HaNMvNM	pine	1_	0.6326235397196456
14657603_99LaMvNM	plot	1_	0.5752354962000652
14657603_9LaMvM	blast	1_	0.611153356481509
