label	timetype	timepoint
14685140_100LaMvM	b	2.4019606926691788
14685140_100LaMvM	rstart	4.696663194444445
14685140_101LaMvM	b	11.32678856354585
14685140_101LaMvM	rstart	15.03796875
14685140_102LaNMvM	b	20.316628238620908
14685140_102LaNMvM	rstart	23.159635416666664
14685140_103LaNMvNM	b	26.08824667510272
14685140_103LaNMvNM	rstart	29.04363020833333
14685140_104HaMvNM	b	35.18673275848113
14685140_104HaMvNM	rstart	38.06325
14685140_105LaMvM	b	41.07009249035433
14685140_105LaMvM	rstart	44.93273958333334
14685140_107LaNMvM	b	47.28737454185404
14685140_107LaNMvM	rstart	50.086708333333334
14685140_108LaNMvNM	b	52.17904683567465
14685140_108LaNMvNM	rstart	55.200552083333335
14685140_109HaMvNM	b	62.77150031826806
14685140_109HaMvNM	rstart	65.33239236111112
14685140_10HaMvM	b	68.49632861848015
14685140_10HaMvM	rstart	71.53102604166666
14685140_110LaMvM	b	73.64212614392792
14685140_110LaMvM	rstart	76.25388541666666
14685140_111LaNMvM	b	80.05492894619591
14685140_111LaNMvM	rstart	82.49998958333333
14685140_112LaMvNM	b	84.99642431117837
14685140_112LaMvNM	rstart	87.59016666666666
14685140_113HaNMvNM	b	90.42525857075584
14685140_113HaNMvNM	rstart	92.99713541666667
14685140_114HaNMvM	b	95.4488240161121
14685140_114HaNMvM	rstart	98.11266666666667
14685140_115HaMvM	b	100.66392645221315
14685140_115HaMvM	rstart	103.38084375
14685140_116LaMvNM	b	106.02551096191381
14685140_116LaMvNM	rstart	108.92697395833333
14685140_117HaNMvNM	b	111.87487175319905
14685140_117HaNMvNM	rstart	114.57726041666666
14685140_118HaNMvM	b	117.13712825816667
14685140_118HaNMvM	rstart	119.88039082396132
14685140_119HaMvM	b	122.2921058651757
14685140_119HaMvM	rstart	125.19628645833333
14685140_120LaMvNM	b	127.86679954420191
14685140_120LaMvNM	rstart	130.60319791666666
14685140_121HaNMvNM	b	134.053434774313
14685140_121HaNMvNM	rstart	136.50751041666666
14685140_122HaNMvM	b	138.98962724684978
14685140_122HaNMvM	rstart	141.685875
14685140_123HaMvM	b	144.0042495113693
14685140_123HaMvM	rstart	146.58555208333334
14685140_124LaMvNM	b	149.0580437737295
14685140_124LaMvNM	rstart	152.10963541666666
14685140_126HaNMvNM	b	154.61753621747846
14685140_126HaNMvNM	rstart	157.07713541666666
14685140_127HaNMvM	b	163.37667473681174
14685140_127HaNMvM	rstart	166.20172800925926
14685140_128HaMvM	b	169.3056012890257
14685140_128HaMvM	rstart	172.06340624999999
14685140_129LaNMvNM	b	174.54786466706332
14685140_129LaNMvNM	rstart	177.54769791666666
