label	timetype	timepoint
14837862_100HaNMvNM	b	1.6570772916522254
14837862_100HaNMvNM	rstart	4.708459569209039
14837862_102LaNMvM	b	22.81410961330079
14837862_102LaNMvM	rstart	26.69192471122112
14837862_103HaMvNM	b	30.931589039163118
14837862_103HaMvNM	rstart	34.94555546875
14837862_104HaNMvM	b	37.97292074162076
14837862_104HaNMvM	rstart	40.73902317176871
14837862_105HaNMvNM	b	50.98324145130023
14837862_105HaNMvNM	rstart	55.26235489341085
14837862_107LaMvM	b	65.72666855747015
14837862_107LaMvM	rstart	68.53515184002433
14837862_108HaMvNM	b	74.02638718753033
14837862_108HaMvNM	rstart	77.0268821437563
14837862_109HaNMvM	b	88.53364540772255
14837862_109HaNMvM	rstart	91.23292134186352
14837862_10LaMvNM	b	94.40261027766918
14837862_10LaMvNM	rstart	97.54202739197531
14837862_110HaNMvNM	b	109.51179960896003
14837862_110HaNMvNM	rstart	112.02566666666667
14837862_111LaMvM	b	121.81152329804696
14837862_111LaMvM	rstart	124.0887446969697
14837862_112LaNMvM	b	134.05535786725008
14837862_112LaNMvM	rstart	137.29193236502346
14837862_113LaNMvNM	b	157.5223157311433
14837862_113LaNMvNM	rstart	159.87054002192983
14837862_114HaMvM	b	172.26047297581667
14837862_114HaMvM	rstart	175.0287466613248
14837862_115LaMvNM	b	183.60687684684024
14837862_115LaMvNM	rstart	185.94103696895425
14837862_116LaNMvM	b	193.62195159224518
14837862_116LaNMvM	rstart	196.49615624999998
14837862_117LaNMvNM	b	202.57781106359747
14837862_117LaNMvNM	rstart	205.7148622159091
14837862_118HaMvM	b	218.04626612050467
14837862_118HaMvM	rstart	220.594786865942
14837862_120LaNMvM	b	245.39372999433957
14837862_120LaNMvM	rstart	248.25308633474577
14837862_121LaNMvNM	b	257.84163606261626
14837862_121LaNMvNM	rstart	260.5543183876811
14837862_122HaMvM	b	268.590985709558
14837862_122HaMvM	rstart	271.3832406944444
14837862_123LaMvNM	b	274.5398809995068
14837862_123LaMvNM	rstart	277.2561038109756
14837862_124LaNMvM	b	289.44120763425406
14837862_124LaNMvM	rstart	292.45400887978144
14837862_126LaNMvNM	b	300.49052459110635
14837862_126LaNMvNM	rstart	303.16790666459366
14837862_127HaMvM	b	306.673375794778
14837862_127HaMvM	rstart	309.59628530092596
14837862_128LaMvNM	b	320.6307482366421
14837862_128LaMvNM	rstart	323.48470910904257
14837862_129HaMvNM	b	334.3820224341486
14837862_129HaMvNM	rstart	337.86175115740735
14837862_12LaNMvM	b	346.1006581943295
14837862_12LaNMvM	rstart	348.8151335851648
14837862_130HaNMvM	b	356.16018087764235
14837862_130HaNMvM	rstart	358.89896851851853
14837862_131HaNMvNM	b	371.6317330519101
14837862_131HaNMvNM	rstart	374.05106783536587
14837862_132LaMvM	b	390.30259197310727
14837862_132LaMvM	rstart	393.4156962159864
14837862_133HaMvNM	b	401.59013547034806
14837862_133HaMvNM	rstart	404.57841351744185
14837862_134HaNMvM	b	413.3866746338848
14837862_134HaNMvM	rstart	419.14640625
14837862_136HaNMvNM	b	428.8421991865114
14837862_136HaNMvNM	rstart	431.40298637820507
14837862_137LaMvM	b	436.14147060263286
14837862_137LaMvM	rstart	438.93936593614717
14837862_138HaMvNM	b	442.6067259499679
14837862_138HaMvNM	rstart	446.16433127653926
14837862_139HaNMvM	b	461.9251945304177
14837862_139HaNMvM	rstart	464.3972324486301
14837862_13HaMvM	b	474.78482269461665
14837862_13HaMvM	rstart	478.325308203125
14837862_140HaNMvNM	b	484.02024051481453
14837862_140HaNMvNM	rstart	488.2456290922619
14837862_141LaMvM	b	496.98242902942883
14837862_141LaMvM	rstart	499.8325475543478
14837862_14LaNMvNM	b	516.3815646476014
14837862_14LaNMvNM	rstart	522.3317794225146
14837862_15HaMvM	b	532.8390434580201
14837862_15HaMvM	rstart	536.1533789511494
14837862_16LaMvNM	b	545.1956079567005
14837862_16LaMvNM	rstart	548.5737791982324
14837862_17HaMvNM	b	561.6760492334787
14837862_17HaMvNM	rstart	565.2397743489583
14837862_19HaNMvM	b	568.8225352449024
14837862_19HaNMvM	rstart	571.8267436208009
14837862_20HaNMvNM	b	585.3556879874811
14837862_20HaNMvNM	rstart	588.2548263081395
14837862_21LaMvM	b	598.5782517688697
14837862_21LaMvM	rstart	602.7897604166667
14837862_22HaMvNM	b	611.523164787362
14837862_22HaMvNM	rstart	614.575942221223
14837862_23HaNMvM	b	627.4602897114278
14837862_23HaNMvM	rstart	630.01178125
14837862_24HaNMvNM	b	640.4055588945624
14837862_24HaNMvNM	rstart	643.621325071839
14837862_25LaMvM	b	647.4337983615534
14837862_25LaMvM	rstart	650.8445615942028
14837862_26HaMvNM	b	654.1697867382896
14837862_26HaMvNM	rstart	657.1934986979167
14837862_27HaNMvM	b	669.4989557118364
14837862_27HaNMvM	rstart	672.4998285714286
14837862_28HaNMvNM	b	679.7764586015606
14837862_28HaNMvNM	rstart	682.8963180717054
14837862_29LaMvM	b	686.5058134188147
14837862_29LaMvM	rstart	689.4040331439394
14837862_2LaNMvM	b	694.642078053448
14837862_2LaNMvM	rstart	701.1100083471302
14837862_30HaMvNM	b	708.718794941453
14837862_30HaMvNM	rstart	711.5064390470296
14837862_31HaNMvM	b	720.2183652685999
14837862_31HaNMvM	rstart	728.6487456317204
14837862_32HaNMvNM	b	734.8725618719209
14837862_32HaNMvNM	rstart	737.5333593016431
14837862_33LaMvM	b	747.3248523995351
14837862_33LaMvM	rstart	750.6225020354406
14837862_35LaNMvM	b	761.0580001700969
14837862_35LaNMvM	rstart	764.0007251602564
14837862_36LaNMvNM	b	766.9219571923527
14837862_36LaNMvNM	rstart	769.67478125
14837862_37HaMvM	b	780.6999464030478
14837862_37HaMvM	rstart	783.8412891865079
14837862_38LaMvNM	b	793.2266302211984
14837862_38LaMvNM	rstart	797.6104913896917
14837862_39LaNMvM	b	805.0255325753182
14837862_39LaNMvM	rstart	807.8377956912879
14837862_3LaNMvNM	b	813.2899970322079
14837862_3LaNMvNM	rstart	817.0835512152778
14837862_40LaNMvNM	b	833.7918774086975
14837862_40LaNMvNM	rstart	851.8045520833333
14837862_41HaMvM	b	855.0366454029079
14837862_41HaMvM	rstart	857.3996284179688
14837862_42LaMvNM	b	871.0816670393195
14837862_42LaMvNM	rstart	875.5696174768518
14837862_43LaNMvM	b	884.0596903502951
14837862_43LaNMvM	rstart	887.2358908071095
14837862_44LaNMvNM	b	900.230962699263
14837862_44LaNMvNM	rstart	903.9020086805555
14837862_45HaMvNM	b	909.7791215824116
14837862_45HaMvNM	rstart	913.4255245833333
14837862_46LaNMvNM	b	918.0545996077697
14837862_46LaNMvNM	rstart	921.0046332236841
14837862_47HaMvM	b	926.555068926872
14837862_47HaMvM	rstart	929.3376451388889
14837862_48LaNMvM	b	933.2247641809703
14837862_48LaNMvM	rstart	935.7620723914565
14837862_4HaMvM	b	941.2486666880069
14837862_4HaMvM	rstart	944.4125405092592
14837862_50LaMvNM	b	953.227511099413
14837862_50LaMvNM	rstart	957.3883198302469
14837862_51LaNMvM	b	966.95147192622
14837862_51LaNMvM	rstart	970.2053325320513
14837862_52HaMvNM	b	977.0619141800806
14837862_52HaMvNM	rstart	980.0065754368279
14837862_53LaNMvNM	b	983.6641147855897
14837862_53LaNMvNM	rstart	986.7525248502178
14837862_54LaMvM	b	990.62164294047
14837862_54LaMvM	rstart	994.6987603183962
14837862_55HaNMvNM	b	1004.2571587601003
14837862_55HaNMvNM	rstart	1007.4784687499999
14837862_57HaMvM	b	1010.5969949709943
14837862_57HaMvM	rstart	1013.3115949754902
14837862_58LaMvNM	b	1022.1141549101003
14837862_58LaMvNM	rstart	1024.899279473514
14837862_59HaMvNM	b	1037.6405199382057
14837862_59HaMvNM	rstart	1040.3341377923973
14837862_5LaMvNM	b	1043.9394746559503
14837862_5LaMvNM	rstart	1048.6279453855138
14837862_60HaNMvM	b	1059.392143305614
14837862_60HaNMvM	rstart	1062.9131820075756
14837862_61HaNMvNM	b	1076.8547996432521
14837862_61HaNMvNM	rstart	1080.1803164682537
14837862_62LaMvM	b	1093.513556733274
14837862_62LaMvM	rstart	1096.3305810688405
14837862_64HaNMvM	b	1120.675142462934
14837862_64HaNMvM	rstart	1123.5917886217949
14837862_65HaNMvNM	b	1136.1903857822495
14837862_65HaNMvNM	rstart	1139.344532512626
14837862_66LaMvM	b	1147.4457969527903
14837862_66LaMvM	rstart	1151.516275122549
14837862_67HaMvNM	b	1159.5705565622868
14837862_67HaMvNM	rstart	1162.468452546296
14837862_68HaNMvM	b	1170.4178676516099
14837862_68HaNMvM	rstart	1173.183356402705
14837862_69HaNMvNM	b	1181.8504081970623
14837862_69HaNMvNM	rstart	1185.1256399529568
14837862_70LaMvM	b	1188.5976054308092
14837862_70LaMvM	rstart	1192.0704925176055
14837862_71HaMvNM	b	1200.1740479597388
14837862_71HaMvNM	rstart	1203.895575840643
14837862_72HaNMvM	b	1210.5833033282022
14837862_72HaNMvM	rstart	1214.3840698302467
14837862_73HaNMvNM	b	1223.5748913870086
14837862_73HaNMvNM	rstart	1226.605783088235
14837862_75LaNMvM	b	1270.0178777591489
14837862_75LaNMvM	rstart	1275.6366151785712
14837862_76LaNMvNM	b	1282.8121986814956
14837862_76LaNMvNM	rstart	1285.240859814257
14837862_78HaMvM	b	1303.0539264185502
14837862_78HaMvM	rstart	1305.8750576073232
14837862_79LaMvNM	b	1314.3620009972349
14837862_79LaMvNM	rstart	1316.8400238575266
14837862_7LaNMvM	b	1326.2366981001096
14837862_7LaNMvM	rstart	1329.6468064793576
14837862_80LaNMvM	b	1332.6740868674026
14837862_80LaNMvM	rstart	1335.5995306234336
14837862_81LaNMvNM	b	1348.213732418046
14837862_81LaNMvNM	rstart	1351.630146588164
14837862_82HaMvM	b	1362.7021859191564
14837862_82HaMvM	rstart	1366.1535197916664
14837862_83LaMvNM	b	1378.8038737190507
14837862_83LaMvNM	rstart	1382.0554504368279
