label	correctans	note	duration2
14837862_100HaNMvNM	pole	1__	1.1774228983918127
14837862_102LaNMvM	prize	1__	1.1046945465686284
14837862_103HaMvNM	raft	1__	0.8247567172897199
14837862_104HaNMvM	rent	1__	0.9463822420634926
14837862_105HaNMvNM	rim	1__	1.2414927884615388
14837862_107LaMvM	rope	1__	1.2259673971861496
14837862_108HaMvNM	row	0_unsure_grow?	1.2867427734374992
14837862_109HaNMvM	sand	1__	1.0794515078746976
14837862_10LaMvNM	bowl	1__	1.1705653409090893
14837862_110HaNMvNM	scab	1__	1.4442073333333312
14837862_111LaMvM	seeds	1__	1.0747454973118273
14837862_112LaNMvM	shed	1__	1.3611711309523855
14837862_113LaNMvNM	sheep	1__	1.2631490091463462
14837862_114HaMvM	silk	1__	1.0945370737271887
14837862_115LaMvNM	skirt	1__	1.3200616319444478
14837862_116LaNMvM	sleeves	1__	0.9500236047400605
14837862_117LaNMvNM	slice	1__	1.3453047715053827
14837862_118HaMvM	sling	1__	1.2203912262618672
14837862_120LaNMvM	sponge	1__	1.3570002332089572
14837862_121LaNMvNM	spool	1__	1.3109655612244921
14837862_122HaMvM	spoon	1__	1.1519131171121089
14837862_123LaMvNM	sport	1__	1.1469093983209007
14837862_124LaNMvM	spray	1__	0.7860459479503845
14837862_126LaNMvNM	strap	1__	1.2322708333333452
14837862_127HaMvM	swamps	1__	1.0054006605691228
14837862_128LaMvNM	swan	1__	1.3964888523392176
14837862_129HaMvNM	tea	1__	1.1728592981809527
14837862_12LaNMvM	bread	1__	0.9111454131281249
14837862_130HaNMvM	tent	1__	1.161058562992153
14837862_131HaNMvNM	thief	1__	1.1822178819444815
14837862_132LaMvM	thorns	1__	0.9486417151163096
14837862_133HaMvNM	throat	1__	0.9799753787879126
14837862_134HaNMvM	tin	1__	1.3968196773772519
14837862_136HaNMvNM	trail	1__	0.8566336382114059
14837862_137LaMvM	trap	1__	1.2854927554869988
14837862_138HaMvNM	truck	1__	1.4443930280916817
14837862_139HaNMvM	tub	1__	1.226914967948744
14837862_13HaMvM	breath	1__	1.3086258048197408
14837862_140HaNMvNM	van	1__	1.3465636574074296
14837862_141LaMvM	wax	1__	1.1940048473597642
14837862_14LaNMvNM	broom	1__	1.2160364825581667
14837862_15HaMvM	bruise	1__	1.2359647802337719
14837862_16LaMvNM	cake	1__	1.109413970588264
14837862_17HaMvNM	calf	1__	1.2714931990358593
14837862_19HaNMvM	chat	1__	0.9916243714969255
14837862_20HaNMvNM	chunks	1__	1.3586939207014552
14837862_21LaMvM	clerk	1__	1.4373713568854498
14837862_22HaMvNM	cliff	1__	0.8496502016129455
14837862_23HaNMvM	clock	1__	1.2225535899834483
14837862_24HaNMvNM	clue	1__	0.956077369592947
14837862_25LaMvM	coach	1__	1.4473081345090293
14837862_26HaMvNM	coast	1__	0.9896571125266007
14837862_27HaNMvM	coin	1__	1.2496026785714491
14837862_28HaNMvNM	cops	1__	1.1710581808943061
14837862_29LaMvM	crash	1__	1.0973257319820107
14837862_2LaNMvM	barn	1__	1.02979359335842
14837862_30HaMvNM	crew	1__	1.0399809800944695
14837862_31HaNMvM	crib	1__	1.197494791666685
14837862_32HaNMvNM	crop	1__	1.0691009083728602
14837862_33LaMvM	crown	1__	1.2488960323779565
14837862_35LaNMvM	curb	1__	1.2449750983548142
14837862_36LaNMvNM	dart	1__	1.0381429687500372
14837862_37HaMvM	deck	1__	0.9176909984277017
14837862_38LaMvNM	den	1__	0.9970029316367572
14837862_39LaNMvM	dent	1__	0.914024676724182
14837862_3LaNMvNM	bay	1__	1.2146162956621254
14837862_40LaNMvNM	ditch	1__	1.413866811660597
14837862_41HaMvM	dive	1__	1.2108758508664152
