label	timetype	timepoint
15186960_100LaNMvNM	b	2.697716896627723
15186960_100LaNMvNM	rstart	4.727266098484849
15186960_101LaMvM	b	8.296092012945707
15186960_101LaMvM	rstart	11.972299583333333
15186960_102LaNMvM	b	15.552602163286815
15186960_102LaNMvM	rstart	18.03442708333333
15186960_103HaNMvM	b	22.272872113920126
15186960_103HaNMvM	rstart	25.4332825255102
15186960_104HaMvM	b	29.197938468223334
15186960_104HaMvM	rstart	31.775905381944444
15186960_105LaNMvNM	b	36.0384961870307
15186960_105LaNMvNM	rstart	38.68576113505747
15186960_107HaMvNM	b	43.34570126619921
15186960_107HaMvNM	rstart	45.79016239754098
15186960_108HaNMvM	b	50.61891098485601
15186960_108HaNMvM	rstart	53.481679166666666
15186960_109HaMvM	b	58.22838962604482
15186960_109HaMvM	rstart	60.72367083333334
15186960_10LaNMvM	b	64.00878757831545
15186960_10LaNMvM	rstart	66.72956321839081
15186960_110LaNMvNM	b	71.47163487078586
15186960_110LaNMvNM	rstart	73.67936036392406
15186960_111HaMvNM	b	79.31391085401187
15186960_111HaMvNM	rstart	81.54659440104166
15186960_112LaMvM	b	85.54969786919348
15186960_112LaMvM	rstart	87.8853980654762
15186960_113LaMvNM	b	91.58238206359277
15186960_113LaMvNM	rstart	93.73321875
15186960_114HaNMvNM	b	97.6421731909961
15186960_114HaNMvNM	rstart	99.90290870098039
15186960_115LaNMvM	b	104.31347664297891
15186960_115LaNMvM	rstart	106.60761736111111
15186960_116LaMvM	b	111.18701828815115
15186960_116LaMvM	rstart	113.75611973314606
15186960_117LaMvNM	b	117.48826127153428
15186960_117LaMvNM	rstart	119.43932858009708
15186960_118HaNMvNM	b	124.9882524870805
15186960_118HaNMvNM	rstart	127.51567344576719
15186960_119LaNMvM	b	130.88462401321556
15186960_119LaNMvM	rstart	133.49666630747126
15186960_120LaMvM	b	137.2063144740381
15186960_120LaMvM	rstart	139.58637996031746
15186960_121LaMvNM	b	143.38877494153482
15186960_121LaMvNM	rstart	145.7577936698718
15186960_122HaNMvNM	b	149.4845562942883
15186960_122HaNMvNM	rstart	151.1963515338828
15186960_123LaNMvM	b	154.92448703849783
15186960_123LaNMvM	rstart	157.3756332236842
15186960_124LaMvM	b	160.78076190465393
15186960_124LaMvM	rstart	163.36780208333332
15186960_126LaMvNM	b	165.71548283482116
15186960_126LaMvNM	rstart	168.0901340277778
15186960_127HaNMvNM	b	171.8158031725847
15186960_127HaNMvNM	rstart	174.39158854166666
15186960_128LaNMvM	b	177.62027799681994
15186960_128LaNMvM	rstart	179.6999264992212
15186960_129HaNMvM	b	182.47391888590946
15186960_129HaNMvM	rstart	184.71349183006538
15186960_12LaMvM	b	188.95760496879362
15186960_12LaMvM	rstart	191.26306801470588
15186960_130HaMvM	b	194.08941940239043
15186960_130HaMvM	rstart	196.45372943376069
15186960_131LaNMvNM	b	199.0944807882451
15186960_131LaNMvNM	rstart	201.59927604166666
15186960_132HaMvNM	b	205.6727681685534
15186960_132HaMvNM	rstart	208.26019791666667
15186960_133HaNMvM	b	211.66796920544235
15186960_133HaNMvM	rstart	214.05688541666666
15186960_134HaMvM	b	219.88477474159
15186960_134HaMvM	rstart	222.01947365196077
15186960_136LaNMvNM	b	227.67144123756904
15186960_136LaNMvNM	rstart	229.84254947916665
15186960_137HaMvNM	b	232.4354514851106
15186960_137HaMvNM	rstart	234.73495510057472
15186960_138HaNMvM	b	237.62474085535132
15186960_138HaNMvM	rstart	240.691384775641
15186960_139HaMvM	b	243.58256860794182
15186960_139HaMvM	rstart	245.92161369680852
15186960_13HaMvM	b	249.036817065912
15186960_13HaMvM	rstart	251.7510497685185
15186960_140LaNMvNM	b	256.0721401825002
15186960_140LaNMvNM	rstart	258.767248655914
15186960_141HaMvNM	b	262.32093559765156
15186960_141HaMvNM	rstart	264.9876098958333
15186960_14LaMvNM	b	268.2519691339249
15186960_14LaMvNM	rstart	271.20879017857146
15186960_15HaNMvNM	b	275.06582230106403
15186960_15HaNMvNM	rstart	277.6884989583333
15186960_16LaNMvM	b	282.0702166482638
15186960_16LaNMvM	rstart	284.79592337046205
15186960_17HaNMvM	b	287.69090336259796
15186960_17HaNMvM	rstart	290.3811007474555
15186960_19HaMvM	b	299.3953805742219
15186960_19HaMvM	rstart	301.958453525641
15186960_20LaNMvNM	b	307.38645144044585
15186960_20LaNMvNM	rstart	310.14047118055555
15186960_21HaMvNM	b	317.57345905988575
15186960_21HaMvNM	rstart	320.43148139880947
15186960_22HaNMvM	b	323.88291865511445
15186960_22HaNMvM	rstart	326.35858113465974
15186960_23HaMvM	b	329.8764877838203
15186960_23HaMvM	rstart	331.74840285852713
15186960_24LaNMvNM	b	335.1964866347341
15186960_24LaNMvNM	rstart	337.57609375
15186960_25HaMvNM	b	341.9952960917138
15186960_25HaMvNM	rstart	344.43134406094526
15186960_26HaNMvM	b	348.09185865231177
15186960_26HaNMvM	rstart	349.8503581629979
15186960_27HaMvM	b	353.48658966247257
15186960_27HaMvM	rstart	356.04082500000004
15186960_28LaNMvNM	b	358.87187809420624
15186960_28LaNMvNM	rstart	361.63429438405797
15186960_29HaMvNM	b	364.6057381586268
15186960_29HaMvNM	rstart	367.02403125
15186960_2LaMvM	b	371.6170075418491
15186960_2LaMvM	rstart	373.94445963541665
15186960_30HaNMvM	b	377.0421301553114
15186960_30HaNMvM	rstart	379.3180670289855
15186960_31HaMvM	b	382.42630624336306
15186960_31HaMvM	rstart	384.5121184675141
15186960_32LaNMvNM	b	388.67187762886374
15186960_32LaNMvNM	rstart	391.15153745567375
15186960_33HaMvNM	b	395.3145401102664
15186960_33HaMvNM	rstart	397.8275184811828
15186960_35LaMvM	b	400.6783897174052
15186960_35LaMvM	rstart	403.05473768939396
15186960_36LaMvNM	b	406.0111622914083
15186960_36LaMvNM	rstart	408.3139399038462
15186960_37HaNMvNM	b	411.96412034154724
15186960_37HaNMvNM	rstart	413.76903906250004
15186960_38LaNMvM	b	421.05765486841693
15186960_38LaNMvM	rstart	423.4625442708333
15186960_39LaMvM	b	427.53618604398787
15186960_39LaMvM	rstart	429.86175929054053
15186960_3LaMvNM	b	433.45576797838123
15186960_3LaMvNM	rstart	436.2774683908046
15186960_40LaMvNM	b	439.89105027056206
15186960_40LaMvNM	rstart	442.0580705128205
15186960_41HaNMvNM	b	445.2615015593728
15186960_41HaNMvNM	rstart	447.71373383620687
15186960_42LaNMvM	b	450.2843478137996
15186960_42LaNMvM	rstart	452.4354465811966
15186960_43LaMvM	b	455.80203479382936
15186960_43LaMvM	rstart	458.2648412093496
15186960_44LaNMvNM	b	461.9425664465195
15186960_44LaNMvNM	rstart	464.77809831871343
15186960_45HaMvNM	b	469.25254633511264
15186960_45HaMvNM	rstart	471.846146780303
15186960_46LaMvNM	b	476.9158155752747
15186960_46LaMvNM	rstart	479.2226350378788
15186960_47HaNMvNM	b	481.6849560294701
15186960_47HaNMvNM	rstart	484.1725430253623
15186960_48LaNMvM	b	487.62037466158455
15186960_48LaNMvM	rstart	490.0993869047619
15186960_4HaNMvNM	b	493.16284366961423
15186960_4HaNMvNM	rstart	495.88131650641026
15186960_50LaNMvM	b	502.5927398351055
15186960_50LaNMvM	rstart	505.29313541666664
15186960_51LaMvM	b	509.8681064986948
15186960_51LaMvM	rstart	512.2785919384058
15186960_52HaMvNM	b	516.2472105385259
15186960_52HaMvNM	rstart	518.9857146915584
15186960_53LaMvNM	b	522.8506857651311
15186960_53LaMvNM	rstart	525.4011538328729
15186960_54HaMvNM	b	539.841342604632
15186960_54HaMvNM	rstart	542.2581455662393
15186960_55HaNMvNM	b	547.0300339039965
15186960_55HaNMvNM	rstart	549.5204773284313
15186960_57HaNMvNM	b	553.0756386095687
15186960_57HaNMvNM	rstart	555.5941086309523
15186960_58LaNMvM	b	558.0924026926604
15186960_58LaNMvM	rstart	560.2836770833334
15186960_59HaNMvM	b	563.1206395978032
15186960_59HaNMvM	rstart	565.2281495471015
15186960_5LaNMvM	b	568.1469649042886
15186960_5LaNMvM	rstart	570.4712950078616
15186960_60HaMvM	b	573.9825623726074
15186960_60HaMvM	rstart	577.3458854166666
15186960_61LaNMvNM	b	580.1730458174316
15186960_61LaNMvNM	rstart	582.7162691487898
15186960_62HaMvNM	b	585.9754591260731
15186960_62HaMvNM	rstart	588.5629802083333
15186960_63HaNMvM	b	591.5355164318531
15186960_63HaNMvM	rstart	594.70184375
15186960_64HaMvM	b	596.9904891798215
15186960_64HaMvM	rstart	599.2123148674242
15186960_65LaNMvNM	b	603.0894511619574
15186960_65LaNMvNM	rstart	605.2859441287878
15186960_66HaMvNM	b	608.6161545285746
15186960_66HaMvNM	rstart	611.2304236111111
15186960_67HaNMvM	b	614.4138920053813
15186960_67HaNMvM	rstart	616.9218036706349
15186960_68HaMvM	b	619.8002253672743
15186960_68HaMvM	rstart	622.2703059675141
15186960_69LaNMvNM	b	624.6791719262342
15186960_69LaNMvNM	rstart	627.5136378205127
15186960_70HaMvNM	b	630.1437939598375
15186960_70HaMvNM	rstart	632.4637750686813
15186960_71HaNMvM	b	636.4507366827761
15186960_71HaNMvM	rstart	638.5455943247126
15186960_72HaMvM	b	642.6028504149396
15186960_72HaMvM	rstart	645.2865327083333
15186960_73LaNMvNM	b	649.3680148277018
15186960_73LaNMvNM	rstart	651.8001311063218
15186960_74HaMvNM	b	655.3641520640452
15186960_74HaMvNM	rstart	658.0241086676955
15186960_75LaMvM	b	662.7983219255719
15186960_75LaMvM	rstart	665.3783997844828
15186960_76LaMvNM	b	668.6870250025788
15186960_76LaMvNM	rstart	670.8984458333333
15186960_78HaNMvNM	b	674.8531648813441
15186960_78HaNMvNM	rstart	677.3141651785714
15186960_79LaNMvM	b	680.6367424652711
15186960_79LaNMvM	rstart	683.0492678952992
15186960_7LaMvM	b	685.2376959251417
15186960_7LaMvM	rstart	687.6847694128788
15186960_80LaMvM	b	691.0562041961355
15186960_80LaMvM	rstart	693.4978774257991
15186960_81LaMvNM	b	697.5601091048139
15186960_81LaMvNM	rstart	699.8405091145834
15186960_82HaNMvNM	b	703.1866246137637
15186960_82HaNMvNM	rstart	706.2639144570707
15186960_83LaNMvM	b	709.3346467853634
15186960_83LaNMvM	rstart	712.2887679924241
15186960_85LaMvM	b	715.7332361092923
15186960_85LaMvM	rstart	717.9997453051643
15186960_86LaMvNM	b	725.0737824727725
15186960_86LaMvNM	rstart	727.7858291666666
15186960_87HaNMvNM	b	730.7744843187029
15186960_87HaNMvNM	rstart	732.9477470619657
15186960_88LaNMvM	b	735.6964683129684
15186960_88LaNMvM	rstart	738.321227807971
15186960_89LaMvM	b	741.7774966070747
15186960_89LaMvM	rstart	744.6469772376543
15186960_90LaMvNM	b	768.9824702045622
15186960_90LaMvNM	rstart	771.5056775085034
15186960_91HaNMvNM	b	773.9611117980006
15186960_91HaNMvNM	rstart	776.1289015858209
15186960_93LaNMvM	b	779.480893660439
15186960_93LaNMvM	rstart	782.0559647295321
15186960_94HaNMvM	b	787.4553192332274
15186960_94HaNMvM	rstart	789.9635825320513
15186960_95HaMvM	b	793.8088044349843
15186960_95HaMvM	rstart	796.3690033941948
15186960_96LaNMvNM	b	800.9768426344947
15186960_96LaNMvNM	rstart	803.2252654024217
15186960_97HaMvNM	b	807.2378232384116
15186960_97HaMvNM	rstart	809.8688948863636
15186960_98HaNMvM	b	813.4862996323787
15186960_98HaNMvM	rstart	816.105364140071
15186960_99HaMvM	b	820.2555388846824
15186960_99HaMvM	rstart	822.5607060185185
15186960_9HaNMvNM	b	825.4929509560892
15186960_9HaNMvNM	rstart	827.9670319113757
