"Participant.Public.ID"	"n"
"210719_a10"	9
"210719_a12"	65
"210719_a15"	1
"210719_a33"	9
"210719_a45"	119
"210719_a47"	13
"210719_a61"	91
"210719_a68"	2
"210719_a69"	1
"210719_c11"	29
"210719_c26"	4
"210719_c27"	4
"210719_c29"	8
"210719_c37"	4
"210719_c44"	25
"210719_c45"	33
"210719_c51"	34
"210719_c53"	69
"210719_c56"	1
"210719_c64"	2
"210719_c66"	7
"210723_a76"	4
"210723_a77"	20
"210723_a78"	4
"210723_a79"	28
"210725_a101"	4
"210725_a102"	46
"210725_a118"	108
"210725_a120"	5
"210725_a124"	112
"210725_a127"	28
"210725_a130"	8
"210725_a133"	94
"210725_a134"	119
"210725_a135"	119
"210725_a136"	103
"210725_a149"	73
"210725_a151"	89
"210725_a152"	16
"210725_a153"	28
"210725_a154"	1
"210725_a155"	1
"210725_a156"	1
"210725_a171"	2
"210725_a174"	109
"210725_a177"	7
"210725_a178"	22
"210725_a186"	15
"210725_a81"	120
"210725_a82"	8
"210725_a83"	45
"210725_a98"	119
"210725_c102"	39
"210725_c103"	50
"210725_c104"	25
"210725_c107"	33
"210725_c108"	42
"210725_c109"	29
"210725_c120"	119
"210725_c124"	6
"210725_c125"	15
"210725_c126"	1
"210725_c132"	33
"210725_c133"	45
"210725_c134"	108
"210725_c135"	42
"210725_c141"	119
"210725_c142"	120
"210725_c72"	6
"210725_c76"	1
"210725_c77"	28
"210725_c80"	11
"210725_c81"	4
"210725_c83"	13
"210725_c90"	32
"210818_c162"	31
"210818_c164"	9
"210818_c166"	3
"210818_c167"	63
"210818_c169"	2
"210823_c179"	104
"210823_c180"	2
