"Participant.Public.ID"	"n"
"210719_a08"	1
"210719_a25"	4
"210719_a30"	3
"210719_a33"	1
"210719_a45"	2
"210719_a68"	1
"210719_c08"	1
"210719_c11"	1
"210719_c29"	1
"210719_c37"	5
"210719_c43"	2
"210719_c46"	4
"210719_c56"	8
"210723_a76"	1
"210723_a79"	3
"210725_a106"	1
"210725_a118"	14
"210725_a124"	5
"210725_a134"	1
"210725_a139"	3
"210725_a143"	1
"210725_a147"	23
"210725_a150"	7
"210725_a151"	3
"210725_a153"	14
"210725_a154"	9
"210725_a155"	8
"210725_a165"	1
"210725_a171"	5
"210725_a174"	1
"210725_a178"	2
"210725_a186"	10
"210725_a191"	2
"210725_a84"	18
"210725_a98"	1
"210725_c102"	8
"210725_c103"	5
"210725_c104"	7
"210725_c105"	2
"210725_c107"	5
"210725_c108"	9
"210725_c109"	9
"210725_c120"	1
"210725_c124"	25
"210725_c125"	8
"210725_c128"	1
"210725_c137"	1
"210725_c140"	1
"210725_c141"	1
"210725_c77"	7
"210725_c83"	19
"210725_c86"	1
"210725_c90"	5
"210725_c95"	5
"210725_c96"	11
"210725_c97"	7
"210725_c98"	5
"210818_c162"	9
"210818_c164"	9
"210818_c166"	31
"210823_c179"	8
