correctans,phonetics,onsettype
raft,r¾ft,sonorant
rent,r_nt,sonorant
rim,r_m,sonorant
rope,ro_p,sonorant
row,ro_,sonorant
sand,s¾nd,fricative
bowl,bo_l,plosive
scab,sk¾b,fricative
seeds,sidz,fricative
shed,__d,fricative
sheep,_ip,fricative
silk,s_lk,fricative
skirt,sk_rt,fricative
sleeves,slivz,fricative
slice,sla_s,fricative
sling,sl__,fricative
splash,spl¾_,fricative
sponge,sp_n_,fricative
spool,spul,fricative
sport,sp_rt,fricative
spray,spre_,fricative
strap,str¾p,fricative
swamps,sw_mps,fricative
swan,sw_n,fricative
tea,ti,plosive
bread,br_d,plosive
tent,t_nt,plosive
thief,_if,fricative
thorns,__rnz,fricative
throat,_ro_t,fricative
trail,tre_l,plosive
trap,tr¾p,plosive
truck,tr_k,plosive
tub,t_b,plosive
van,v¾n,fricative
wax,w¾ks,sonorant
broom,brum,plosive
bruise,bruz,plosive
cake,ke_k,plosive
calf,k¾f,plosive
chat,_¾t,affricate
chunks,___ks,affricate
clerk,kl_rk,plosive
cliff,kl_f,plosive
clock,kl_k,plosive
clue,klu,plosive
coach,ko__,plosive
coast,ko_st,plosive
coin,k__n,plosive
cops,k_ps,plosive
crash,kr¾_,plosive
barn,b_rn,plosive
crew,kru,plosive
crop,kr_p,plosive
crown,kra_n,plosive
curb,k_rb,plosive
dart,d_rt,plosive
deck,d_k,plosive
den,d_n,plosive
dent,d_nt,plosive
bay,be_,plosive
ditch,d__,plosive
dive,da_v,plosive
doll,d_l,plosive
dove,d_v,plosive
drug,dr_g,plosive
drum,dr_m,plosive
beak,bik,plosive
flame,fle_m,fricative
flock,fl_k,fricative
frogs,fr_gz,fricative
fudge,f__,fricative
glue,glu,plosive
goal,go_l,plosive
gown,ga_n,plosive
beam,bim,plosive
grin,gr_n,plosive
growl,gra_l,plosive
hay,he_,fricative
hedge,h__,fricative
hen,h_n,fricative
herd,h_rd,fricative
hint,h_nt,fricative
hips,h_ps,fricative
hive,ha_v,fricative
host,ho_st,fricative
hug,h_g,fricative
jar,__r,affricate
juice,_us,affricate
junk,___k,affricate
kick,k_k,plosive
knife,na_f,sonorant
lap,l¾p,sonorant
lid,l_d,sonorant
bend,b_nd,plosive
lock,l_k,sonorant
logs,l_gz,sonorant
lungs,l__z,sonorant
map,m¾p,sonorant
mat,m¾t,sonorant
mop,m_p,sonorant
mouse,ma_s,sonorant
mug,m_g,sonorant
blame,ble_m,plosive
notch,n__,sonorant
pad,p¾d,plosive
pet,p_t,plosive
pie,pa_,plosive
pile,pa_l,plosive
pill,p_l,plosive
pine,pa_n,plosive
plot,pl_t,plosive
blast,bl¾st,plosive
pole,po_l,plosive
spoon,spun,fricative
tin,t_n,plosive
crib,kr_b,plosive
cler,cler*,plosive
