Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1627071975210,23/07/2021 20:26:15,1627071975102,1,23/07/2021 21:26:15,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1627071981183,23/07/2021 20:26:21,1627071981130,1,23/07/2021 21:26:21,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1627071984228,23/07/2021 20:26:24,1627071984145,1,23/07/2021 21:26:24,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1627071984531,23/07/2021 20:26:24,1627071984155,1,23/07/2021 21:26:24,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,,,,58324-7-4294974-task-fbmh-14550439-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1627071984531,23/07/2021 20:26:24,1627071984155,1,23/07/2021 21:26:24,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14550439?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1627071984531,23/07/2021 20:26:24,1627071984156,1,23/07/2021 21:26:24,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,9000.000000000002,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1627071984652,23/07/2021 20:26:24,1627071984392,1,23/07/2021 21:26:24,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,1,1 ISI,Zone1,fixation,251,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1627071984652,23/07/2021 20:26:24,1627071984477,1,23/07/2021 21:26:24,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1627071987158,23/07/2021 20:26:27,1627071987070,1,23/07/2021 21:26:27,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,video1,content_video,2667,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1627071987228,23/07/2021 20:26:27,1627071987083,1,23/07/2021 21:26:27,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,video1,content_video,2680,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
11,1627071987455,23/07/2021 20:26:27,1627071987326,1,23/07/2021 21:26:27,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,video1,content_video,2923.000000000002,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
12,1627071987510,23/07/2021 20:26:27,1627071987327,1,23/07/2021 21:26:27,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,video1,content_video,2854.971449000002,,,ADJUSTED START TIME based on TIMEUPDATE EVENT,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
13,1627071991015,23/07/2021 20:26:31,1627071990376,1,23/07/2021 21:26:30,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,video1,content_video,5973,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
14,1627071995052,23/07/2021 20:26:35,1627071994981,1,23/07/2021 21:26:34,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,Zone3,response_button_text,10571,,,Next,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
15,1627071995833,23/07/2021 20:26:35,1627071995046,1,23/07/2021 21:26:35,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
16,1627071995833,23/07/2021 20:26:35,1627071995049,1,23/07/2021 21:26:35,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,58324-7-4294974-task-fbmh-14550439-101LaMvMmp4-1-2.weba,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
17,1627071995833,23/07/2021 20:26:35,1627071995049,1,23/07/2021 21:26:35,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14550439?filename=101LaMvMmp4-1-2.weba,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
18,1627071997494,23/07/2021 20:26:37,1627071996973,1,23/07/2021 21:26:36,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,3,4 Feedback,Zone1,timelimit_screen,1504,,,,,0,1,0,,,1,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
19,1627072010442,23/07/2021 20:26:50,1627072010404,1,23/07/2021 21:26:50,58324,7,task-fbmh,,14550439,210719_a22,4294974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.2,1280x800,1280x800,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,4,Screen 1,advancementZone,continue_button,13421.999999999996,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
