Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1627121515742,24/07/2021 10:11:55,1627121515717,1,24/07/2021 11:11:55,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1627121517921,24/07/2021 10:11:57,1627121517874,1,24/07/2021 11:11:57,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1627121520863,24/07/2021 10:12:00,1627121520834,1,24/07/2021 11:12:00,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1627121520987,24/07/2021 10:12:00,1627121520853,1,24/07/2021 11:12:00,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,58324-7-4294982-task-klg9-14555260-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1627121520987,24/07/2021 10:12:00,1627121520853,1,24/07/2021 11:12:00,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14555260?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1627121520987,24/07/2021 10:12:00,1627121520855,1,24/07/2021 11:12:00,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,5074.5,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1627121521129,24/07/2021 10:12:01,1627121521074,1,24/07/2021 11:12:01,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,1,1 ISI,Zone1,fixation,250.1319999999996,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1627121521129,24/07/2021 10:12:01,1627121521135,1,24/07/2021 11:12:01,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1627121523648,24/07/2021 10:12:03,1627121523676,1,24/07/2021 11:12:03,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,video1,content_video,2570,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1627121523726,24/07/2021 10:12:03,1627121523702,1,24/07/2021 11:12:03,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,video1,content_video,2597.2999999998137,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
11,1627121523934,24/07/2021 10:12:03,1627121523951,1,24/07/2021 11:12:03,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,video1,content_video,2846.100000000559,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
12,1627121524075,24/07/2021 10:12:04,1627121523957,1,24/07/2021 11:12:03,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,video1,content_video,2826.9979999998136,,,ADJUSTED START TIME based on TIMEUPDATE EVENT,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
13,1627121527130,24/07/2021 10:12:07,1627121527145,1,24/07/2021 11:12:07,58324,7,task-klg9,,14555260,210719_a42,4294982,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1333x888,1333x817,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,video1,content_video,6040.299999999814,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
