Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1628083714460,04/08/2021 13:28:34,1628083714373,1,04/08/2021 14:28:34,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1628083719479,04/08/2021 13:28:39,1628083719300,1,04/08/2021 14:28:39,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,4834.600000000559,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1628083722344,04/08/2021 13:28:42,1628083722321,1,04/08/2021 14:28:42,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,7856,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1628083722563,04/08/2021 13:28:42,1628083722327,1,04/08/2021 14:28:42,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,7861.9000000003725,,,58324-8-4340784-task-11ne-14863487-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1628083722563,04/08/2021 13:28:42,1628083722329,1,04/08/2021 14:28:42,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,7864,,,https://gorilla.sc/uploads/schedule/14863487?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1628083722563,04/08/2021 13:28:42,1628083722333,1,04/08/2021 14:28:42,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,7867.600000000559,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1628083722657,04/08/2021 13:28:42,1628083722566,1,04/08/2021 14:28:42,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,2,1,1,1 ISI,Zone1,fixation,249.94900000000052,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1628083722657,04/08/2021 13:28:42,1628083722610,1,04/08/2021 14:28:42,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,2,1,2,2 Video Screen,Zone2,audio_recording2,32.39999999944121,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1628083725190,04/08/2021 13:28:45,1628083725093,1,04/08/2021 14:28:45,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,2,1,2,2 Video Screen,video1,content_video,2515.7999999998137,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1628083725359,04/08/2021 13:28:45,1628083725104,1,04/08/2021 14:28:45,58324,8,task-11ne,,14863487,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,2,1,2,2 Video Screen,video1,content_video,2526.7999999998137,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
