Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1627398871104,27/07/2021 15:14:31,1627398875256,1,27/07/2021 16:14:35,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1627398875509,27/07/2021 15:14:35,1627398879686,1,27/07/2021 16:14:39,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1627398877941,27/07/2021 15:14:37,1627398882202,1,27/07/2021 16:14:42,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1627398878535,27/07/2021 15:14:38,1627398882325,1,27/07/2021 16:14:42,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,,,,58324-8-4340787-task-7xnq-14620826-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1627398878535,27/07/2021 15:14:38,1627398882326,1,27/07/2021 16:14:42,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14620826?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1627398878535,27/07/2021 15:14:38,1627398882331,1,27/07/2021 16:14:42,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,6738.365000000044,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1627398878604,27/07/2021 15:14:38,1627398882477,1,27/07/2021 16:14:42,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,2,1,1,1 ISI,Zone1,fixation,249.94900000000052,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1627398878604,27/07/2021 15:14:38,1627398882581,1,27/07/2021 16:14:42,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1627398880925,27/07/2021 15:14:40,1627398885171,1,27/07/2021 16:14:45,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,2,1,2,2 Video Screen,video1,content_video,2667.524999999956,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1627398880997,27/07/2021 15:14:40,1627398885209,1,27/07/2021 16:14:45,58324,8,task-7xnq,,14620826,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,2,1,2,2 Video Screen,video1,content_video,2705.325000000017,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
