Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1628976837158,14/08/2021 21:33:57,1628976838054,1,14/08/2021 22:33:58,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1536x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1628976839889,14/08/2021 21:33:59,1628976840831,1,14/08/2021 22:34:00,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,1,1,1,Screen 1,Zone2,audio_recording2,2662.0999999940395,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1628976842887,14/08/2021 21:34:02,1628976843835,1,14/08/2021 22:34:03,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,1,1,1,Screen 1,Zone2,audio_recording2,5666.29999999702,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1628976842980,14/08/2021 21:34:02,1628976843851,1,14/08/2021 22:34:03,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,1,1,1,Screen 1,Zone2,audio_recording2,5682.29999999702,,,58324-9-4294945-task-b6hw-15145862-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1628976842980,14/08/2021 21:34:02,1628976843852,1,14/08/2021 22:34:03,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,1,1,1,Screen 1,Zone2,audio_recording2,5682.5999999940395,,,https://gorilla.sc/uploads/schedule/15145862?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1628976842980,14/08/2021 21:34:02,1628976843854,1,14/08/2021 22:34:03,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,1,1,1,Screen 1,Zone2,audio_recording2,5684.70000000298,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1628976843108,14/08/2021 21:34:03,1628976844075,1,14/08/2021 22:34:04,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,2,1,1,1 ISI,Zone1,fixation,249.933,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1628976843184,14/08/2021 21:34:03,1628976844113,1,14/08/2021 22:34:04,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,2,1,2,2 Video Screen,Zone2,audio_recording2,26.700000002980232,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1628976845890,14/08/2021 21:34:05,1628976846864,1,14/08/2021 22:34:06,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,2,1,2,2 Video Screen,video1,content_video,2777.0999999940395,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1628976845949,14/08/2021 21:34:05,1628976846868,1,14/08/2021 22:34:06,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,2,1,2,2 Video Screen,video1,content_video,2781.4000000059605,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
