Participant Public ID,Task Version,Spreadsheet,videoname,Response,display,row_number,filename
210723_a76,7.0,Version8,101L_aM_vM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=101LaMvMmp4-1-2.weba,Practice,1,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,48L_aNM_vM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=48LaNMvMmp4-2-2.weba,Practice,2,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,44L_aNM_vNM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=44LaNMvNMmp4-3-2.weba,Practice,3,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,45H_aM_vNM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=45HaMvNMmp4-4-2.weba,Practice,4,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,13H_aM_vM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=13HaMvMmp4-5-2.weba,Practice,5,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,102L_aNM_vM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=102LaNMvMmp4-6-2.weba,Practice,6,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,55H_aNM_vNM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=55HaNMvNMmp4-7-2.weba,Practice,7,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,52H_aM_vNM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=52HaMvNMmp4-8-2.weba,Practice,8,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,57L_aNM_vNM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=57LaNMvNMmp4-10-2.weba,Block1,1,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,113H_aM_vM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=113HaMvMmp4-11-2.weba,Block1,2,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,123H_aM_vNM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=123HaMvNMmp4-12-2.weba,Block1,3,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
210723_a76,7.0,Version8,127L_aNM_vNM.mp4,https://gorilla.sc/uploads/schedule/14582654?filename=127LaNMvNMmp4-13-2.weba,Block1,4,/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv
