Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1626729227495,19/07/2021 21:13:47,1626729226818,1,19/07/2021 22:13:46,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1626729233050,19/07/2021 21:13:53,1626729232421,1,19/07/2021 22:13:52,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1626729236066,19/07/2021 21:13:56,1626729235464,1,19/07/2021 22:13:55,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1626729236132,19/07/2021 21:13:56,1626729235481,1,19/07/2021 22:13:55,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,1,1,1,Screen 1,Zone2,audio_recording2,,,,58325-3-4294861-task-tucf-14456668-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1626729236132,19/07/2021 21:13:56,1626729235482,1,19/07/2021 22:13:55,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14456668?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1626729236132,19/07/2021 21:13:56,1626729235485,1,19/07/2021 22:13:55,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,1,1,1,Screen 1,Zone2,audio_recording2,8566.599999999627,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1626729236331,19/07/2021 21:13:56,1626729235701,1,19/07/2021 22:13:55,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,2,1,1,1 ISI,Zone1,fixation,251.67999999999847,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1626729236414,19/07/2021 21:13:56,1626729235748,1,19/07/2021 22:13:55,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1626729239523,19/07/2021 21:13:59,1626729238901,1,19/07/2021 22:13:58,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,2,1,2,2 Video Screen,video1,content_video,3182.899999999907,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1626729239657,19/07/2021 21:13:59,1626729238929,1,19/07/2021 22:13:58,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,2,1,2,2 Video Screen,video1,content_video,3210.7000000001863,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
11,1626729239813,19/07/2021 21:13:59,1626729239207,1,19/07/2021 22:13:59,58325,3,task-tucf,,14456668,210719_c12,4294861,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.77.0,Chrome 91.0.4472.147,1920x1080,1920x961,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version2,Version2,Version2,2,1,2,2 Video Screen,video1,content_video,3488.899999999907,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
