Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1626963291276,22/07/2021 14:14:51,1626963290230,1,22/07/2021 15:14:50,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1626963300648,22/07/2021 14:15:00,1626963299630,1,22/07/2021 15:14:59,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1626963303646,22/07/2021 14:15:03,1626963302641,1,22/07/2021 15:15:02,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1626963303724,22/07/2021 14:15:03,1626963302654,1,22/07/2021 15:15:02,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,,,,58325-4-4294904-task-u5lv-14519670-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1626963303724,22/07/2021 14:15:03,1626963302654,1,22/07/2021 15:15:02,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14519670?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1626963303724,22/07/2021 14:15:03,1626963302655,1,22/07/2021 15:15:02,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,1,1,1,Screen 1,Zone2,audio_recording2,12356.000000000002,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1626963303874,22/07/2021 14:15:03,1626963302878,1,22/07/2021 15:15:02,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,1,1 ISI,Zone1,fixation,249,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1626963303990,22/07/2021 14:15:03,1626963302974,1,22/07/2021 15:15:02,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1626963307471,22/07/2021 14:15:07,1626963306463,1,22/07/2021 15:15:06,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,video1,content_video,3572.000000000002,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1626963307527,22/07/2021 14:15:07,1626963306476,1,22/07/2021 15:15:06,58325,4,task-u5lv,,14519670,210719_c32,4294904,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1,1366x768,1318x657,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version8,Version8,Version8,2,1,2,2 Video Screen,video1,content_video,3584.999999999998,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
