Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1627134735433,24/07/2021 13:52:15,1627134736339,1,24/07/2021 14:52:16,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1627134741802,24/07/2021 13:52:21,1627134742728,1,24/07/2021 14:52:22,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1627134744781,24/07/2021 13:52:24,1627134745737,1,24/07/2021 14:52:25,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1627134744844,24/07/2021 13:52:24,1627134745751,1,24/07/2021 14:52:25,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,58325-5-4294902-task-6srq-14557278-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1627134744844,24/07/2021 13:52:24,1627134745751,1,24/07/2021 14:52:25,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14557278?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1627134744844,24/07/2021 13:52:24,1627134745754,1,24/07/2021 14:52:25,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,9350.200000047684,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1627134745016,24/07/2021 13:52:25,1627134745978,1,24/07/2021 14:52:25,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,1,1 ISI,Zone1,fixation,250.0030000000006,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1627134745094,24/07/2021 13:52:25,1627134746003,1,24/07/2021 14:52:26,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1627134747342,24/07/2021 13:52:27,1627134748300,1,24/07/2021 14:52:28,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,video1,content_video,2312.899999976158,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1627134747407,24/07/2021 13:52:27,1627134748303,1,24/07/2021 14:52:28,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,video1,content_video,2316.099999964237,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
