Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1626988886434,22/07/2021 21:21:26,1626988874728,1,22/07/2021 22:21:14,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1626988893522,22/07/2021 21:21:33,1626988881868,1,22/07/2021 22:21:21,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1626988896832,22/07/2021 21:21:36,1626988884925,1,22/07/2021 22:21:24,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1626988897005,22/07/2021 21:21:37,1626988884970,1,22/07/2021 22:21:24,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,,,,58325-5-4294869-task-9d5m-14529743-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1626988897005,22/07/2021 21:21:37,1626988884971,1,22/07/2021 22:21:24,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14529743?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1626988897005,22/07/2021 21:21:37,1626988884979,1,22/07/2021 22:21:24,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,1,1,1,Screen 1,Zone2,audio_recording2,9996.364999999969,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1626988897005,22/07/2021 21:21:37,1626988885159,1,22/07/2021 22:21:25,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,2,1,1,1 ISI,Zone1,fixation,255.71099999999933,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1626988897005,22/07/2021 21:21:37,1626988885294,1,22/07/2021 22:21:25,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1626988899742,22/07/2021 21:21:39,1626988888092,1,22/07/2021 22:21:28,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,2,1,2,2 Video Screen,video1,content_video,2902.7850000002218,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1626988899929,22/07/2021 21:21:39,1626988888204,1,22/07/2021 22:21:28,58325,5,task-9d5m,,14529743,210719_c11,4294869,,live,,,computer,Desktop or Laptop,Chromium OS 12105.100.0,Chrome 75.0.3770.144,1366x768,1366x697,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version6,Version6,Version6,2,1,2,2 Video Screen,video1,content_video,3014.675000000352,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
