Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1627228439588,25/07/2021 15:53:59,1627228436687,1,25/07/2021 16:53:56,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1627228447399,25/07/2021 15:54:07,1627228444528,1,25/07/2021 16:54:04,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1627228450486,25/07/2021 15:54:10,1627228447534,1,25/07/2021 16:54:07,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1627228450981,25/07/2021 15:54:10,1627228447546,1,25/07/2021 16:54:07,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,1,1,1,Screen 1,Zone2,audio_recording2,,,,58325-6-4294905-task-f475-14568960-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1627228450981,25/07/2021 15:54:10,1627228447546,1,25/07/2021 16:54:07,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14568960?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1627228450981,25/07/2021 15:54:10,1627228447548,1,25/07/2021 16:54:07,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,1,1,1,Screen 1,Zone2,audio_recording2,10796.90000000596,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1627228460484,25/07/2021 15:54:20,1627228457577,1,25/07/2021 16:54:17,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,,,,,,,,LOADING DELAY,,,A loading delay of more than 10s was detected.,,0,1,0,,,,,,,,,,,,,,,,,,
8,1627228469816,25/07/2021 15:54:29,1627228466961,1,25/07/2021 16:54:26,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,2,1,1,1 ISI,Zone1,fixation,250.02700000000186,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1627228470452,25/07/2021 15:54:30,1627228467008,1,25/07/2021 16:54:27,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1627228472782,25/07/2021 15:54:32,1627228469914,1,25/07/2021 16:54:29,58325,6,task-f475,,14568960,210719_c46,4294905,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x937,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,2,1,2,2 Video Screen,video1,content_video,2927.5,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
