Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1627306653497,26/07/2021 13:37:33,1627306651440,1,26/07/2021 14:37:31,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1627306657061,26/07/2021 13:37:37,1627306655000,1,26/07/2021 14:37:35,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1627306659880,26/07/2021 13:37:39,1627306657863,1,26/07/2021 14:37:37,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1627306660099,26/07/2021 13:37:40,1627306657871,1,26/07/2021 14:37:37,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,,,,58325-6-4294880-task-gv44-14586634-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1627306660099,26/07/2021 13:37:40,1627306657871,1,26/07/2021 14:37:37,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14586634?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1627306660099,26/07/2021 13:37:40,1627306657871,1,26/07/2021 14:37:37,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,1,1,1,Screen 1,Zone2,audio_recording2,6388.000000000001,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1627306669967,26/07/2021 13:37:49,1627306667938,1,26/07/2021 14:37:47,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,,,,,,,,LOADING DELAY,,,A loading delay of more than 10s was detected.,,0,1,0,,,,,,,,,,,,,,,,,,
8,1627306683717,26/07/2021 13:38:03,1627306681691,1,26/07/2021 14:38:01,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,2,1,1,1 ISI,Zone1,fixation,251,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1627306683936,26/07/2021 13:38:03,1627306681924,1,26/07/2021 14:38:01,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1627306686166,26/07/2021 13:38:06,1627306684147,1,26/07/2021 14:38:04,58325,6,task-gv44,,14586634,210719_c56,4294880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,768x1024,1024x649,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version4,Version4,Version4,2,1,2,2 Video Screen,video1,content_video,2436,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
