Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1,1627316779150,26/07/2021 16:26:19,1627316780513,1,26/07/2021 17:26:20,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1627316783611,26/07/2021 16:26:23,1627316785004,1,26/07/2021 17:26:25,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
3,1627316786747,26/07/2021 16:26:26,1627316788027,1,26/07/2021 17:26:28,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
4,1627316786826,26/07/2021 16:26:26,1627316788046,1,26/07/2021 17:26:28,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,58325-7-4335172-task-jhw4-14591922-audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
5,1627316786826,26/07/2021 16:26:26,1627316788047,1,26/07/2021 17:26:28,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14591922?filename=audioFile-0-1.weba,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
6,1627316786826,26/07/2021 16:26:26,1627316788050,1,26/07/2021 17:26:28,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,1,1,1,Screen 1,Zone2,audio_recording2,7436,,,,,0,1,0,,,,,,Mic_Test,,,,,,,,,,,,2
7,1627316786904,26/07/2021 16:26:26,1627316788272,1,26/07/2021 17:26:28,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,1,1 ISI,Zone1,fixation,248.8770000000004,,,,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
8,1627316786904,26/07/2021 16:26:26,1627316788309,1,26/07/2021 17:26:28,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
9,1627316788872,26/07/2021 16:26:28,1627316790272,1,26/07/2021 17:26:30,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,video1,content_video,1989.5,,,VIDEO STARTED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
10,1627316788921,26/07/2021 16:26:28,1627316790282,1,26/07/2021 17:26:30,58325,7,task-jhw4,,14591922,210725_c72,4335172,,complete,,,computer,Desktop or Laptop,Windows 8.1,Chrome 91.0.4472.164,1280x720,1280x624,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,2,1,2,2 Video Screen,video1,content_video,2000,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,,,Practice,101L_aM_vM.mp4,,pool.jpg,1,pool,0,1,1,,,,3
