"parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2"
"210719_a08","14866651",1034.2272881534,757.162092074987,"1","","100H","pole","aM","vNM","H","a","aMvNM",2.78585743278668,1.75163014463328,2.02869534071169
"210719_a08","14866651",1101.68536385885,909.093250014575,"1","","101L","pool","aM","vM","L","a","aMvM",3.05929513562883,1.95760977176997,2.15020188561425
"210719_a08","14866651",890.58588063382,691.69537137454,"1","","102L","prize","aNM","vM","L","a","aNMvM",3.12198466045358,2.23139877981976,2.43028928907904
"210719_a08","14866651",1104.03544148074,768.669656282332,"1","","103L","raft","aM","vM","L","a","aMvM",3.33453737877085,2.23050193729011,2.56586772248852
"210719_a08","14866651",1227.34853654848,882.679319268085,"1","","104L","rent","aNM","vM","L","a","aNMvM",3.38177095674772,2.15442242019924,2.49909163747964
"210719_a08","14866651",842.646568827166,679.934447615116,"1","","105H","rim","aM","vNM","H","a","aMvNM",3.19906247590634,2.35641590707917,2.51912802829122
"210719_a08","14866651",1109.8348831352,895.127174801772,"1","","107L","rope","aNM","vNM","L","a","aNMvNM",3.3077829232961,2.1979480401609,2.41265574849433
"210719_a08","14866651",1061.88770737398,1015.98724441098,"0","a row","108L","row","aM","vM","L","a","aMvM",3.42649785126613,2.36461014389215,2.41051060685515
"210719_a08","14866651",1060.6931552976,804.713385182587,"1","","109L","sand","aNM","vM","L","a","aNMvM",3.19119777784442,2.13050462254682,2.38648439266183
"210719_a08","14866651",887.16895636308,728.95078506678,"1","","10H","bowl","aNM","vNM","H","a","aNMvNM",3.13352802376011,2.24635906739703,2.40457723869333
"210719_a08","14866651",830.056679184058,668.522258894318,"1","","110H","scab","aM","vNM","H","a","aMvNM",2.95465517912181,2.12459849993775,2.28613292022749
"210719_a08","14866651",1207.4877557301,905.284052026337,"1","","111L","seeds","aNM","vNM","L","a","aNMvNM",2.93453602197384,1.72704826624374,2.0292519699475
"210719_a08","14866651",884.665987861222,712.336609003142,"1","","112H","shed","aM","vM","H","a","aMvM",2.86130769083705,1.97664170297583,2.14897108183391
"210719_a08","14866651",1240.77999164054,1031.25452867752,"1","","113H","sheep","aNM","vM","H","a","aNMvM",3.30784555304009,2.06706556139955,2.27659102436257
"210719_a08","14866651",1255.51418956324,1067.50389262838,"1","","114L","silk","aM","vNM","L","a","aMvNM",3.17317383240463,1.91765964284139,2.10566993977625
"210719_a08","14866651",972.907430834163,726.217364409053,"1","","115H","skirt","aNM","vNM","H","a","aNMvNM",3.14729536423598,2.17438793340182,2.42107799982693
"210719_a08","14866651",1014.94981909219,787.101121175628,"1","","116H","sleeves","aM","vM","H","a","aMvM",3.33422342873178,2.31927360963959,2.54712230755615
"210719_a08","14866651",920.762061577115,656.800229312165,"1","","117H","slice","aNM","vM","H","a","aNMvM",3.02377923978331,2.10301717820619,2.36697901047114
"210719_a08","14866651",982.299241116294,826.872993344434,"1","","118L","sling","aM","vNM","L","a","aMvNM",3.31856980818409,2.3362705670678,2.49169681483966
"210719_a08","14866651",936.744646892781,665.713374962971,"1","","119H","splash","aNM","vNM","H","a","aNMvNM",3.10740630553122,2.17066165863844,2.44169293056825
"210719_a08","14866651",1023.62296035408,628.320422094867,"1","","120H","sponge","aM","vM","H","a","aMvM",3.22410679052967,2.20048383017559,2.5957863684348
"210719_a08","14866651",882.242790837606,634.641021992356,"1","","121H","spool","aNM","vM","H","a","aNMvM",2.72046893734898,1.83822614651137,2.08582791535662
"210719_a08","14866651",825.038347297108,666.389041741478,"1","","122L","spoon","aM","vNM","L","a","aMvNM",3.0491956558475,2.22415730855039,2.38280661410602
"210719_a08","14866651",833.063894593367,651.271753092957,"1","","123H","sport","aNM","vNM","H","a","aNMvNM",3.17993687451214,2.34687297991877,2.52866512141918
"210719_a08","14866651",776.575889496318,723.846722829588,"1","","124H","spray","aM","vM","H","a","aMvM",2.85922764680271,2.08265175730639,2.13538092397312
"210719_a08","14866651",774.401001973654,568.133473237974,"1","","126H","strap","aNM","vM","H","a","aNMvM",2.80487878795331,2.03047778597966,2.23674531471534
"210719_a08","14866651",1212.24023773194,747.095477631059,"1","","127L","swamps","aM","vNM","L","a","aMvNM",3.2181357129194,2.00589547518746,2.47104023528834
