label	sentence	time
b	14557507_100LaNMvM	1.4435793002636221
r	14557507_100LaNMvM	4.054395833333333
b	14557507_101LaMvM	8.5474528212658
r	14557507_101LaMvM	11.525583333333334
b	14557507_102LaNMvM	15.82176016851804
r	14557507_102LaNMvM	18.791333333333334
b	14557507_103LaMvNM	22.680551577696274
r	14557507_103LaMvNM	25.55757291666667
b	14557507_104LaMvM	28.696837911460243
r	14557507_104LaMvM	31.55644791666667
b	14557507_105LaNMvM	34.24842894322804
r	14557507_105LaNMvM	37.40346875
b	14557507_107HaNMvNM	40.23059953866583
r	14557507_107HaNMvNM	42.875822916666664
b	14557507_108LaMvNM	45.14507031823752
r	14557507_108LaMvNM	47.944322916666664
b	14557507_109LaMvM	50.25047856423285
r	14557507_109LaMvM	52.892260416666666
b	14557507_10HaMvNM	56.29895479927726
r	14557507_10HaMvNM	59.08576041666666
b	14557507_110LaNMvM	61.81972206120635
r	14557507_110LaNMvM	64.31675
b	14557507_111HaNMvNM	66.47055795465118
r	14557507_111HaNMvNM	68.9125625
b	14557507_112HaNMvM	71.19259514740482
r	14557507_112HaNMvM	73.61569791666666
b	14557507_113HaMvM	75.76765569055658
r	14557507_113HaMvM	78.47215625000001
b	14557507_114LaNMvNM	80.51741856345842
r	14557507_114LaNMvNM	83.08351041666666
b	14557507_115HaMvNM	85.28247048222782
r	14557507_115HaMvNM	87.91688541666666
b	14557507_116HaNMvM	90.57137692141623
r	14557507_116HaNMvM	93.46496875
b	14557507_117HaMvM	96.01029109664165
r	14557507_117HaMvM	98.53401041666666
b	14557507_118LaNMvNM	101.31878231671688
r	14557507_118LaNMvNM	104.25528125
b	14557507_119HaMvNM	106.60685831730615
r	14557507_119HaMvNM	109.29402083333335
b	14557507_120HaNMvM	112.2230575529316
r	14557507_120HaNMvM	114.95608333333334
b	14557507_121HaMvM	117.75542669272164
r	14557507_121HaMvM	120.15489583333333
b	14557507_122LaNMvNM	123.24904342528681
r	14557507_122LaNMvNM	125.8055
b	14557507_123HaMvNM	128.54369250808207
r	14557507_123HaMvNM	131.24934374999998
b	14557507_124HaNMvM	133.72473584737966
r	14557507_124HaNMvM	136.2327708333333
b	14557507_126HaMvM	138.95381586940513
r	14557507_126HaMvM	141.418875
b	14557507_127LaNMvNM	144.45583641395802
r	14557507_127LaNMvNM	147.17370833333334
b	14557507_128HaMvNM	150.69811998338602
r	14557507_128HaMvNM	153.21742708333332
b	14557507_129LaMvNM	156.06463160195105
r	14557507_129LaMvNM	158.98766666666666
b	14557507_12HaNMvM	162.40815019211502
r	14557507_12HaNMvM	165.3800833333333
b	14557507_130LaMvM	167.98245245144838
r	14557507_130LaMvM	170.45232291666665
b	14557507_131LaNMvM	172.5487750946752
r	14557507_131LaNMvM	175.15963541666665
b	14557507_132HaNMvNM	177.89449801336295
r	14557507_132HaNMvNM	180.71078124999997
b	14557507_133LaMvNM	183.26868133495464
