label	sentence	time
b	100LaMvM	1.233532081359378
r	100LaMvM	4.333083333333333
b	101LaMvM	9.957219105601956
b	102LaNMvM	19.086404848218386
r	102LaNMvM	23.339020833333333
b	103HaMvNM	26.914881564661325
r	103HaMvNM	30.858541666666664
b	104LaNMvNM	32.893740391390615
r	104LaNMvNM	36.2076875
b	105LaMvM	40.233317171180005
r	105LaMvM	45.18361458333332
b	107HaNMvM	47.8139873141731
r	107HaNMvM	50.94831249999999
b	108HaMvNM	57.00680757467784
r	108HaMvNM	60.58538541666666
b	109LaNMvNM	63.82145160337258
r	109LaNMvNM	66.70322916666669
b	10HaNMvM	69.720476337878
r	10HaNMvM	72.7931875
b	110LaMvM	75.51934535992567
r	110LaMvM	78.15465625
b	111HaNMvM	85.48776197171577
r	111HaNMvM	88.12447916666667
b	112HaMvNM	94.79113344035062
r	112HaMvNM	97.75280208333334
b	113LaNMvNM	100.74210750333786
r	113LaNMvNM	103.89051041666667
b	114LaMvM	107.35137131616975
r	114LaMvM	110.94666666666667
b	115HaNMvM	114.32463905388354
r	115HaNMvM	118.48169791666666
b	116HaMvNM	122.47753334003004
r	116HaMvNM	126.33053125
b	117LaNMvNM	129.35301143694514
r	117LaNMvNM	132.78763541666666
b	118LaMvM	136.12290293429817
r	118LaMvM	142.584
b	119HaNMvM	145.85058068323733
r	119HaNMvM	148.56768749999998
b	120HaMvNM	152.14584213087224
r	120HaMvNM	155.4586145833333
b	121LaNMvNM	158.00616392202826
r	121LaNMvNM	162.49144791666666
b	122LaMvM	165.4389954486143
r	122LaMvM	168.38898958333334
b	123HaNMvM	171.47162802773624
r	123HaNMvM	175.24392708333332
b	124HaMvNM	178.59442938789206
r	124HaMvNM	181.27287499999997
b	126LaNMvNM	185.50537948471185
r	126LaNMvNM	188.796125
b	127LaMvM	190.67134748822608
r	127LaMvM	193.62773958333332
b	128HaNMvM	196.15596615635883
r	128HaNMvM	199.21835416666664
b	129HaMvNM	201.60710073003756
r	129HaMvNM	204.3774375
b	12HaMvNM	206.8815675601535
r	12HaMvNM	210.01387499999998
b	130LaNMvNM	214.36153036958555
r	130LaNMvNM	217.16772916666665
b	131LaMvM	219.02927327910527
r	131LaMvM	222.6770625
b	132HaNMvM	224.5276926249446
r	132HaNMvM	228.6730208333333
b	133HaMvNM	230.6065827775104
r	133HaMvNM	233.9421875
b	134LaNMvNM	236.0398137784706
r	134LaNMvNM	239.60841666666664
b	136LaMvM	242.28091825414288
r	136LaMvM	245.75158333333331
b	137HaNMvM	248.6608166239599
r	137HaNMvM	252.12847916666666
b	138HaMvNM	255.49568751554412
r	138HaMvNM	259.67411458333333
b	139LaNMvNM	264.13076630703193
r	139LaNMvNM	268.06513541666675
b	13HaMvM	273.476623324343
r	13HaMvM	278.04827083333333
b	140LaMvM	281.1322582802562
r	140LaMvM	285.07623958333335
b	141HaNMvM	288.12599933920245
r	141HaNMvM	291.6450520833333
b	14LaNMvNM	294.1957393113549
r	14LaNMvNM	298.12369791666663
b	15LaMvM	299.9863787183971
r	15LaMvM	303.1047708333333
b	16HaNMvM	305.4104313418193
r	16HaNMvM	308.88746875
b	17HaMvNM	311.61220646772864
r	17HaMvNM	315.02046875
