label	sentence	time
b	100LaNMvNM	0.8344823516381163
r	100LaNMvNM	2.6827916666666667
b	101LaMvM	6.343827362018931
r	101LaMvM	8.814270833333332
b	102LaNMvM	12.114300083641222
r	102LaNMvM	14.610929924242424
b	103HaNMvM	18.38681721033786
r	103HaNMvM	21.515278951149423
b	104LaMvM	23.89976701700567
r	104LaMvM	26.45979703282828
b	105LaNMvNM	29.186577924340668
r	105LaNMvNM	31.929145833333337
b	107HaMvNM	34.02823795527619
r	107HaMvNM	36.49855208333333
b	108HaNMvM	38.466423903939756
r	108HaNMvM	41.06686458333333
b	109LaMvM	43.58587176869004
r	109LaMvM	46.00127083333333
b	10HaMvNM	48.51275347460788
r	10HaMvNM	51.03522916666667
b	110LaNMvNM	53.45354496424042
r	110LaNMvNM	55.636604166666665
b	111HaMvNM	58.36504319086512
r	111HaMvNM	60.5243341503268
b	112HaNMvM	63.29781586704494
r	112HaNMvM	65.40373456325301
b	113LaMvM	67.48643070120806
r	113LaMvM	69.62511458333333
b	114LaNMvNM	72.62350663268747
r	114LaNMvNM	74.892625
b	115HaMvNM	76.8451481443515
r	115HaMvNM	79.13864547413793
b	116HaNMvM	81.48808961535887
r	116HaNMvM	84.08541857506361
b	117LaMvM	87.14938731311445
r	117LaMvM	89.65773845720722
b	118LaNMvNM	91.98103057959584
r	118LaNMvNM	94.59303125000001
b	119HaMvNM	98.49905100726131
r	119HaMvNM	100.86433840558195
b	120HaNMvM	103.98137186467638
r	120HaNMvM	106.56312773463594
b	121LaMvM	109.26316641324325
r	121LaMvM	111.70594791666666
b	122LaNMvNM	113.93925978417668
r	122LaNMvNM	116.27440110018726
b	123HaMvNM	120.07687688244759
r	123HaMvNM	122.60828954646017
b	124HaNMvM	125.34357291666666
r	124HaNMvM	127.60848878205128
b	126LaMvM	130.23725328111934
r	126LaMvM	132.74148958333333
b	127LaNMvNM	135.26657373105704
r	127LaNMvNM	137.66351429199648
b	128HaMvNM	140.93717556960206
r	128HaMvNM	143.30479631410256
b	129HaNMvM	146.02653099690104
r	129HaNMvM	148.25959375
b	12HaNMvM	150.57847047490614
r	12HaNMvM	153.13147916666665
b	130LaMvM	155.73717752592873
r	130LaMvM	157.94532291666664
b	131LaNMvNM	160.86541884811015
r	131LaNMvNM	163.4064325657895
b	132HaMvNM	165.67959630435553
r	132HaMvNM	168.115875672043
b	133HaNMvM	170.87348810984878
r	133HaNMvM	173.07418124999998
b	134LaMvM	175.692400226826
r	134LaMvM	177.76596874999998
b	136LaNMvNM	179.73371860793324
r	136LaNMvNM	181.80922916666665
b	137HaMvNM	184.38401168659905
r	137HaMvNM	186.68546874999998
b	138HaNMvM	189.21143815933948
r	138HaNMvM	192.33617708333333
b	139LaMvM	194.51561818074836
r	139LaMvM	197.22876041666663
b	13HaMvM	200.65807451273412
r	13HaMvM	203.22921875
b	140LaNMvNM	206.43531851942362
r	140LaNMvNM	209.20984151785714
b	141HaMvNM	211.50857584622895
r	141HaMvNM	214.10678653929187
b	14LaMvM	216.68522698719784
r	14LaMvM	219.42678124999998
b	15LaNMvNM	222.00605676798352
r	15LaNMvNM	224.29990624999996
b	16HaMvNM	226.8370934433912
r	16HaMvNM	229.66593161231881
b	17HaNMvM	232.41288800317687
r	17HaNMvM	235.19925942460316
b	19LaMvM	237.84155005871492
r	19LaMvM	240.64981180555554
b	20LaNMvNM	242.96162422686487
r	20LaNMvNM	245.7691077425373
b	21HaMvNM	248.4946700235462
r	21HaMvNM	251.3486966540404
b	22HaNMvM	253.93634305932238
r	22HaNMvM	256.3956041666667
b	23LaMvM	259.02872083082457
r	23LaMvM	261.8205208333333
b	24LaNMvNM	264.26238862664434
r	24LaNMvNM	266.64955208333333
b	25HaMvNM	269.51248957842176
r	25HaMvNM	271.9527916666667
b	26HaNMvM	274.87392392967615
r	26HaNMvM	276.6327988365801
b	27LaMvM	280.3636526935632
r	27LaMvM	282.96986458333333
b	28LaNMvNM	285.5355262433751
